unigram,unigram_freq,phon
around,541485,ɚ ɹ aʊ n d
yes,541115,j ɛ s
help,539450,h ɛ l p
sure,532823,ʃ ʊɹ
old,528720,oʊ l d
talk,523932,t ɔː k
better,522452,b ɛ ɾ ɚ
keep,508356,k iː p
long,508241,l ɔ ŋ
ever,505200,ɛ v ɚ
place,1005004,p l eɪ s
which,501341,w ɪ tʃ
made,497937,m eɪ d
everything,496981,ɛ v ɹ ɪ θ ɪ ŋ
doing,495000,d uː ɪ ŋ
money,494652,m ʌ n i
guy,488908,ɡ aɪ
doesn,474109,d oʊ s ə n
nothing,472519,n ʌ θ ɪ ŋ
every,467035,ɛ v ɹ i
being,466245,b iː ɪ ŋ
father,462688,f ɑː ð ɚ
through,462084,θ ɹ uː
someone,461276,s ʌ m w ʌ n
big,453464,b ɪ ɡ
lot,452423,l ɑː t
house,451126,h aʊ s
feel,449316,f iː l
world,448184,w ɜː l d
kind,439839,k aɪ n d
does,437103,d ʌ z
wanted,435397,w ɔ n t ᵻ d
great,433503,ɡ ɹ eɪ t
name,430296,n eɪ m
came,428559,k eɪ m
might,428191,m aɪ t
leave,426402,l iː v
left,425153,l ɛ f t
girl,418190,ɡ ɜː l
guys,411962,ɡ aɪ z
own,411836,oʊ n
today,408715,t ə d eɪ
another,405579,ɐ n ʌ ð ɚ
isn,404370,ɪ s ə n
mr,403075,m ɪ s t ɚ
may,399941,m eɪ
three,392053,θ ɹ iː
stop,390344,s t ɑː p
god,388061,ɡ ɑː d
mother,387061,m ʌ ð ɚ
same,384090,s eɪ m
found,383455,f aʊ n d
sorry,380994,s ɑː ɹ i
went,375847,w ɛ n t
sir,373117,s ɜː
believe,371153,b ᵻ l iː v
show,367380,ʃ oʊ
next,364272,n ɛ k s t
getting,362432,ɡ ɛ ɾ ɪ ŋ
done,357917,d ʌ n
many,354127,m ɛ n i
ask,353825,æ s k
looking,352655,l ʊ k ɪ ŋ
enough,351684,ɪ n ʌ f
without,347070,w ɪ ð aʊ t
bad,344932,b æ d
most,344771,m oʊ s t
coming,343997,k ʌ m ɪ ŋ
woman,343900,w ʊ m ə n
stay,340093,s t eɪ
car,339753,k ɑːɹ
remember,337624,ɹ ᵻ m ɛ m b ɚ
together,336732,t ə ɡ ɛ ð ɚ
family,335454,f æ m ɪ l i
best,334110,b ɛ s t
trying,333248,t ɹ aɪ ɪ ŋ
also,331949,ɔː l s oʊ
room,331188,ɹ uː m
kill,329914,k ɪ l
dad,328031,d æ d
son,325301,s ʌ n
else,324634,ɛ l s
try,322625,t ɹ aɪ
friend,322604,f ɹ ɛ n d
real,322486,ɹ iː ə l
saw,321446,s ɔː
since,317754,s ɪ n s
once,316182,w ʌ n s
already,314941,ɔː l ɹ ɛ d i
wasn,314555,w ɑː s ə n
called,314536,k ɔː l d
actually,314265,æ k tʃ uː əl i
head,313280,h ɛ d
while,311043,w aɪ l
used,309068,j uː z d
whole,307571,h oʊ l
wait,306307,w eɪ t
hear,306105,h ɪɹ
job,304543,dʒ ɑː b
wouldn,304016,w ʊ d ə n
dead,303644,d ɛ d
live,302078,l aɪ v
care,301220,k ɛɹ
took,301022,t ʊ k
men,300929,m ɛ n
use,299285,j uː s
year,296518,j ɪɹ
nice,295690,n aɪ s
days,295233,d eɪ z
such,294955,s ʌ tʃ
seen,292934,s iː n
cause,290718,k ɔː z
boy,288385,b ɔɪ
yourself,287631,j ɔːɹ s ɛ l f
bit,286331,b ɪ t
mind,282787,m aɪ n d
school,281812,s k uː l
until,280797,ʌ n t ɪ l
wife,280764,w aɪ f
start,280499,s t ɑːɹ t
listen,278768,l ɪ s ə n
bring,278733,b ɹ ɪ ŋ
talking,278017,t ɔː k ɪ ŋ
end,276767,ɛ n d
heard,273071,h ɜː d
hard,272491,h ɑːɹ d
miss,272123,m ɪ s
few,271429,f j uː
happened,271284,h æ p ə n d
brother,269620,b ɹ ʌ ð ɚ
knew,269590,n uː
understand,267835,ʌ n d ɚ s t æ n d
mom,266804,m ɑː m
wrong,266383,ɹ ɔ ŋ
both,266108,b oʊ θ
wanna,264326,w ɔ n ə
pretty,263450,p ɹ ɪ ɾ i
its,262869,ɪ t s
baby,261065,b eɪ b i
face,260375,f eɪ s
myself,259335,m aɪ s ɛ l f
tonight,257953,t ə n aɪ t
ago,257506,ɐ ɡ oʊ
play,257423,p l eɪ
everyone,255034,ɛ v ɹ ɪ w ʌ n
case,254175,k eɪ s
haven,253308,h eɪ v ə n
says,252241,s ɛ z
run,251813,ɹ ʌ n
morning,251621,m ɔːɹ n ɪ ŋ
killed,249234,k ɪ l d
looks,248787,l ʊ k s
each,246630,iː tʃ
tomorrow,246389,t ə m ɑː ɹ oʊ
friends,244735,f ɹ ɛ n d z
yet,244089,j ɛ t
wants,243994,w ɔ n t s
meet,243811,m iː t
fucking,243547,f ʌ k ɪ ŋ
person,242837,p ɜː s ə n
couldn,242511,k ʊ d ə n
anyone,241956,ɛ n ɪ w ʌ n
heart,238714,h ɑːɹ t
guess,238031,ɡ ɛ s
having,235570,h æ v ɪ ŋ
happy,234767,h æ p i
course,232837,k ɔːɹ s
hand,232787,h æ n d
probably,232302,p ɹ ɑː b ə b l i
saying,231921,s eɪ ɪ ŋ
part,230929,p ɑːɹ t
gone,229794,ɡ ɔ n
young,229010,j ʌ ŋ
l,226667,ɛ l
gotta,226492,ɡ ɑː ɾ ə
soon,226323,s uː n
hope,226226,h oʊ p
lost,225429,l ɔ s t
under,224421,ʌ n d ɚ
police,224194,p ə l iː s
death,222969,d ɛ θ
business,222275,b ɪ z n ə s
move,219703,m uː v
idea,219465,aɪ d iə
turn,218973,t ɜː n
thank,217300,θ æ ŋ k
gave,217002,ɡ eɪ v
hell,216206,h ɛ l
die,215471,d aɪ
stuff,215299,s t ʌ f
alone,215147,ɐ l oʊ n
phone,211684,f oʊ n
ready,211628,ɹ ɛ d i
working,211485,w ɜː k ɪ ŋ
ok,210389,oʊ k eɪ
pay,209652,p eɪ
open,209598,oʊ p ə n
five,207192,f aɪ v
kids,206960,k ɪ d z
water,206220,w ɔː ɾ ɚ
door,204780,d ɔːɹ
body,204247,b ɑː d i
times,202250,t aɪ m z
matter,202200,m æ ɾ ɚ
thinking,201840,θ ɪ ŋ k ɪ ŋ
fine,201667,f aɪ n
taking,200802,t eɪ k ɪ ŋ
against,200603,ɐ ɡ ɛ n s t
shit,200498,ʃ ɪ t
eat,200421,iː t
far,199590,f ɑːɹ
change,198038,tʃ eɪ n dʒ
making,197707,m eɪ k ɪ ŋ
kid,196908,k ɪ d
high,195606,h aɪ
second,195589,s ɛ k ə n d
asked,194542,æ s k t
able,194533,eɪ b əl
means,194228,m iː n z
huh,192073,h ʌ
between,191671,b ᵻ t w iː n
different,191348,d ɪ f ɹ ə n t
set,190403,s ɛ t
minutes,190306,m ɪ n ɪ t s
hold,190147,h oʊ l d
least,189074,l iː s t
hit,189066,h ɪ t
inside,189042,ɪ n s aɪ d
eyes,188728,aɪ z
watch,188292,w ɑː tʃ
comes,187984,k ʌ m z
side,187811,s aɪ d
somebody,187638,s ʌ m b ɑː d i
half,186941,h æ f
um,186631,ʌ m
makes,186495,m eɪ k s
knows,186478,n oʊ z
four,185692,f ɔːɹ
doctor,184761,d ɑː k t ɚ
problem,184492,p ɹ ɑː b l ə m
point,184373,p ɔɪ n t
party,184223,p ɑːɹ ɾ i
ain,183928,eɪ n
chance,183914,tʃ æ n s
daughter,183213,d ɔː ɾ ɚ
week,182507,w iː k
though,182079,ð oʊ
number,181724,n ʌ m b ɚ
city,179440,s ɪ ɾ i
hours,178680,aʊ ɚ z
story,178612,s t ɔː ɹ i
aren,176939,æ ɹ ə n
later,176910,l eɪ ɾ ɚ
husband,176456,h ʌ s b ə n d
gets,176283,ɡ ɛ t s
started,175975,s t ɑːɹ ɾ ᵻ d
fight,175942,f aɪ t
quite,175705,k w aɪ t
1,175375,w ʌ n
hands,175240,h æ n d z
important,174645,ɪ m p ɔːɹ t ə n t
check,174615,tʃ ɛ k
anyway,174116,ɛ n ɪ w eɪ
women,173832,w ɪ m ɪ n
children,173626,tʃ ɪ l d ɹ ə n
war,173566,w ɔːɹ
whatever,173268,w ʌ t ɛ v ɚ
rest,172777,ɹ ɛ s t
happen,172551,h æ p ə n
everybody,172440,ɛ v ɹ ɪ b ɑː d i
blood,171811,b l ʌ d
behind,170491,b ᵻ h aɪ n d
town,170340,t aʊ n
close,170202,k l oʊ s
game,170191,ɡ eɪ m
word,169803,w ɜː d
girls,169668,ɡ ɜː l z
child,169139,tʃ aɪ l d
sister,168330,s ɪ s t ɚ
beautiful,166850,b j uː ɾ i f əl
office,166669,ɑː f ɪ s
reason,166605,ɹ iː z ə n
front,165996,f ɹ ʌ n t
goes,165665,ɡ oʊ z
become,165399,b ɪ k ʌ m
moment,165123,m oʊ m ə n t
true,164530,t ɹ uː
couple,164171,k ʌ p əl
shot,163654,ʃ ɑː t
power,163647,p aʊ ɚ
cut,162717,k ʌ t
seems,162711,s iː m z
forget,162533,f ɚ ɡ ɛ t
lady,162220,l eɪ d i
wish,161907,w ɪ ʃ
full,160820,f ʊ l
deal,160733,d iː l
brought,160497,b ɹ ɔː t
fire,159751,f aɪɚ
team,159233,t iː m
drink,159199,d ɹ ɪ ŋ k
read,159018,ɹ iː d
late,158710,l eɪ t
waiting,317198,w eɪ ɾ ɪ ŋ
send,157924,s ɛ n d
supposed,157861,s ə p oʊ z d
married,157850,m æ ɹ i d
afraid,157461,ɐ f ɹ eɪ d
sleep,157113,s l iː p
mine,156670,m aɪ n
shall,156632,ʃ æ l
buy,156472,b aɪ
either,156007,iː ð ɚ
country,155804,k ʌ n t ɹ i
exactly,155790,ɛ ɡ z æ k t l i
free,155787,f ɹ iː
line,155545,l aɪ n
met,155404,m ɛ t
break,154667,b ɹ eɪ k
stand,153939,s t æ n d
died,153160,d aɪ d
nobody,152935,n oʊ b ɑː d i
walk,151769,w ɔː k
speak,301294,s p iː k
music,150522,m j uː z ɪ k
crazy,149933,k ɹ eɪ z i
months,149744,m ʌ n θ s
tried,149242,t ɹ aɪ d
trouble,148225,t ɹ ʌ b əl
black,148159,b l æ k
almost,148104,ɔː l m oʊ s t
fact,147559,f æ k t
sit,147130,s ɪ t
fuck,146587,f ʌ k
food,146525,f uː d
telling,146277,t ɛ l ɪ ŋ
living,145492,l ɪ v ɪ ŋ
king,145201,k ɪ ŋ
hurt,144832,h ɜː t
sometimes,144810,s ʌ m t aɪ m z
truth,144727,t ɹ uː θ
light,144040,l aɪ t
order,143818,ɔːɹ d ɚ
fun,143465,f ʌ n
anymore,143058,ɛ n ɪ m ɔːɹ
six,142576,s ɪ k s
ass,142293,æ s
save,141579,s eɪ v
ah,141339,ɑː
outside,141145,aʊ t s aɪ d
needs,140659,n iː d z
along,140519,ɐ l ɔ ŋ
em,139915,ɛ m
sent,138117,s ɛ n t
taken,137738,t eɪ k ə n
white,137281,w aɪ t
easy,136894,iː z i
2,136605,t uː
bed,136396,b ɛ d
pick,136000,p ɪ k
hour,135943,aʊ ɚ
o,271656,oʊ
playing,135790,p l eɪ ɪ ŋ
small,135516,s m ɔː l
thanks,134675,θ æ ŋ k s
boys,133806,b ɔɪ z
sort,133782,s ɔːɹ t
dear,133516,d ɪɹ
worry,265952,w ʌ ɹ i
company,132397,k ʌ m p ə n i
himself,132035,h ɪ m s ɛ l f
gun,131562,ɡ ʌ n
book,131467,b ʊ k
captain,131460,k æ p t ɪ n
yours,131140,j ɔːɹ z
dog,131127,d ɑː ɡ
running,131012,ɹ ʌ n ɪ ŋ
lives,130739,l aɪ v z
lose,130671,l uː z
damn,130458,d æ m
10,129971,t ɛ n
minute,129324,m ɪ n ɪ t
top,129310,t ɑː p
earth,129280,ɜː θ
past,128815,p æ s t
news,128722,n uː z
special,128435,s p ɛ ʃ əl
law,127321,l ɔː
human,127290,h j uː m ə n
hot,126898,h ɑː t
question,126640,k w ɛ s tʃ ə n
trust,126334,t ɹ ʌ s t
parents,252248,p ɛ ɹ ə n t s
lord,125633,l ɔːɹ d
dinner,124855,d ɪ n ɚ
plan,124000,p l æ n
red,123957,ɹ ɛ d
alive,122863,ɐ l aɪ v
feeling,122170,f iː l ɪ ŋ
air,121611,ɛɹ
answer,120994,æ n s ɚ
street,120809,s t ɹ iː t
perhaps,120766,p ɚ h æ p s
control,120175,k ə n t ɹ oʊ l
hate,119032,h eɪ t
stupid,118502,s t uː p ɪ d
cannot,118172,k æ n ɑː t
20,117503,t w ɛ n t i
shouldn,117220,ʃ ʊ d ə n
clear,116831,k l ɪɹ
till,116646,t ɪ l
known,116148,n oʊ n
murder,114926,m ɜː d ɚ
safe,114687,s eɪ f
million,114603,m ɪ l iə n
anybody,114204,ɛ n ɪ b ɑː d i
hair,114118,h ɛɹ
seem,113606,s iː m
ten,112256,t ɛ n
finally,112021,f aɪ n əl i
hospital,111762,h ɑː s p ɪ ɾ əl
words,111598,w ɜː d z
others,111363,ʌ ð ɚ z
uncle,111028,ʌ ŋ k əl
meeting,110935,m iː ɾ ɪ ŋ
3,110886,θ ɹ iː
sound,110227,s aʊ n d
return,110190,ɹ ᵻ t ɜː n
drive,110063,d ɹ aɪ v
given,109809,ɡ ɪ v ə n
felt,108998,f ɛ l t
win,108927,w ɪ n
rather,108639,ɹ æ ð ɚ
sex,108158,s ɛ k s
asking,108125,æ s k ɪ ŋ
mrs,108046,m ɪ s ɪ z
john,107716,dʒ ɑː n
possible,107179,p ɑː s ᵻ b əl
less,106781,l ɛ s
state,106679,s t eɪ t
poor,105780,p ʊɹ
longer,105622,l ɔ ŋ ɡ ɚ
write,105591,ɹ aɪ t
boss,210692,b ɔ s
president,105316,p ɹ ɛ z ɪ d ə n t
leaving,105000,l iː v ɪ ŋ
turned,104428,t ɜː n d
looked,104229,l ʊ k t
voice,103789,v ɔɪ s
future,103579,f j uː tʃ ɚ
happens,102933,h æ p ə n z
dr,102907,d ɑː k t ɚ
seeing,102617,s iː ɪ ŋ
sick,102516,s ɪ k
cold,102202,k oʊ l d
weeks,102132,w iː k s
worked,101859,w ɜː k t
secret,101509,s iː k ɹ ᵻ t
land,101231,l æ n d
master,100912,m æ s t ɚ
takes,100853,t eɪ k s
road,100847,ɹ oʊ d
fall,100655,f ɔː l
catch,100553,k æ tʃ
honey,100438,h ʌ n i
dream,100414,d ɹ iː m
fast,99862,f æ s t
somewhere,99744,s ʌ m w ɛɹ
shut,99376,ʃ ʌ t
date,98903,d eɪ t
class,98601,k l æ s
giving,98420,ɡ ɪ v ɪ ŋ
shoot,98182,ʃ uː t
learn,97860,l ɜː n
eye,97833,aɪ
weren,97737,w ɛ ɹ ɛ n
sign,97653,s aɪ n
piece,97252,p iː s
sense,96724,s ɛ n s
during,96472,d ʊɹ ɹ ɪ ŋ
beat,96370,b iː t
feet,96088,f iː t
sounds,95878,s aʊ n d z
ones,95534,w ʌ n z
dance,95107,d æ n s
song,94973,s ɔ ŋ
throw,94931,θ ɹ oʊ
touch,94879,t ʌ tʃ
ii,94616,ɹ oʊ m ə nt uː
clean,94513,k l iː n
calling,94359,k ɔː l ɪ ŋ
cool,94295,k uː l
picture,94217,p ɪ k tʃ ɚ
act,94205,æ k t
hello,94114,h ə l oʊ
perfect,94078,p ɜː f ɛ k t
general,93766,dʒ ɛ n ɚ ɹ əl
ship,93758,ʃ ɪ p
promise,93525,p ɹ ɑː m ɪ s
welcome,93248,w ɛ l k ʌ m
straight,93120,s t ɹ eɪ t
system,92869,s ɪ s t ə m
report,92865,ɹ ᵻ p ɔːɹ t
building,92744,b ɪ l d ɪ ŋ
figure,92716,f ɪ ɡ j ɚ
jack,92691,dʒ æ k
yesterday,92451,j ɛ s t ɚ d eɪ
pull,92422,p ʊ l
follow,92068,f ɑː l oʊ
kept,91820,k ɛ p t
early,91564,ɜː l i
5,91200,f aɪ v
instead,91142,ɪ n s t ɛ d
y,91111,w aɪ
e,91083,iː
decided,90807,d ᵻ s aɪ d ᵻ d
needed,90733,n iː d ᵻ d
movie,90669,m uː v i
strong,90460,s t ɹ ɔ ŋ
bet,90457,b ɛ t
funny,90395,f ʌ n i
court,90317,k ɔːɹ t
worth,90038,w ɜː θ
film,89910,f ɪ l m
age,89212,eɪ dʒ
information,89206,ɪ n f ɚ m eɪ ʃ ə n
wonder,88635,w ʌ n d ɚ
security,88616,s ᵻ k j ʊɹ ɹ ᵻ ɾ i
loved,88066,l ʌ v d
lt,87467,ɛ l t iː
wedding,87353,w ɛ d ɪ ŋ
month,87307,m ʌ n θ
sell,87251,s ɛ l
entire,87196,ɛ n t aɪɚ
ahead,87160,ɐ h ɛ d
step,86724,s t ɛ p
lie,86697,l aɪ
drop,86591,d ɹ ɑː p
caught,86510,k ɔː t
evidence,86388,ɛ v ɪ d ə n s
chief,86330,tʃ iː f
glad,85994,ɡ l æ d
missing,85833,m ɪ s ɪ ŋ
scared,85816,s k ɛɹ d
unless,85786,ʌ n l ɛ s
ma,85314,m ɑː
born,85149,b ɔːɹ n
pain,85076,p eɪ n
dark,85002,d ɑːɹ k
lucky,84982,l ʌ k i
changed,84702,tʃ eɪ n dʒ d
near,84603,n ɪɹ
across,84442,ə k ɹ ɑː s
using,84433,j uː z ɪ ŋ
excuse,84412,ɛ k s k j uː s
army,84400,ɑːɹ m i
middle,84013,m ɪ d əl
pass,83972,p æ s
hotel,83904,h oʊ t ɛ l
sweet,83853,s w iː t
officer,83545,ɑː f ɪ s ɚ
attack,83280,ɐ t æ k
wear,83242,w ɛɹ
coffee,82872,k ɔ f i
watching,82847,w ɑː tʃ ɪ ŋ
thinks,82753,θ ɪ ŋ k s
history,82751,h ɪ s t ɚ ɹ i
questions,82745,k w ɛ s tʃ ə n z
daddy,82667,d æ d i
completely,82300,k ə m p l iː t l i
station,82259,s t eɪ ʃ ə n
spend,82050,s p ɛ n d
hang,82038,h æ ŋ
train,81661,t ɹ eɪ n
works,81510,w ɜː k s
american,81380,ɐ m ɛ ɹ ɪ k ə n
force,81322,f ɔːɹ s
bitch,81268,b ɪ tʃ
moving,81175,m uː v ɪ ŋ
clothes,81107,k l oʊ ð z
group,81016,ɡ ɹ uː p
tv,80944,t iː v iː
situation,80782,s ɪ tʃ uː eɪ ʃ ə n
serious,80746,s ɪ ɹ i ə s
round,80542,ɹ aʊ n d
space,80522,s p eɪ s
sun,80473,s ʌ n
single,80440,s ɪ ŋ ɡ əl
blue,80085,b l uː
finish,80005,f ɪ n ɪ ʃ
government,79999,ɡ ʌ v ɚ n m ə n t
mouth,79679,m aʊ θ
explain,79572,ɛ k s p l eɪ n
except,79145,ɛ k s ɛ p t
lead,78993,l iː d
hi,78838,h aɪ
sitting,78408,s ɪ ɾ ɪ ŋ
short,78350,ʃ ɔːɹ t
seven,78274,s ɛ v ə n
club,78252,k l ʌ b
table,78214,t eɪ b əl
whether,78128,w ɛ ð ɚ
hasn,78066,h æ s ə n
area,78030,ɛ ɹ iə
ran,78009,ɹ æ n
ride,77915,ɹ aɪ d
protect,77890,p ɹ ə t ɛ k t
ladies,77612,l eɪ d i z
test,77604,t ɛ s t
paid,77183,p eɪ d
imagine,77076,ɪ m æ dʒ ɪ n
suppose,76996,s ə p oʊ z
york,76912,j ɔːɹ k
meant,76889,m ɛ n t
star,76670,s t ɑːɹ
marry,76649,m æ ɹ i
box,76629,b ɑː k s
bought,76585,b ɔː t
mad,76375,m æ d
floor,76247,f l ɔːɹ
worse,76115,w ɜː s
strange,75779,s t ɹ eɪ n dʒ
miles,75743,m aɪ l z
expect,75648,ɛ k s p ɛ k t
brain,75540,b ɹ eɪ n
scene,75226,s iː n
crime,75068,k ɹ aɪ m
30,75038,θ ɜː ɾ i
marriage,74995,m æ ɹ ɪ dʒ
talked,74801,t ɔː k t
definitely,74546,d ɛ f ɪ n ə t l i
worried,74471,w ʌ ɹ i d
agent,74454,eɪ dʒ ə n t
bag,74399,b æ ɡ
letter,74346,l ɛ ɾ ɚ
certain,74256,s ɜː ʔ n̩
ground,73902,ɡ ɹ aʊ n d
broke,73834,b ɹ oʊ k
public,73580,p ʌ b l ɪ k
bar,73466,b ɑːɹ
sea,73341,s iː
dude,73261,d uː d
gentlemen,73203,dʒ ɛ n t əl m ə n
evening,73147,iː v n ɪ ŋ
la,72928,l æ
park,72872,p ɑːɹ k
bank,72857,b æ ŋ k
within,72489,w ɪ ð ɪ n
gold,72405,ɡ oʊ l d
prison,72381,p ɹ ɪ z ə n
totally,72345,t oʊ ɾ əl i
fear,72268,f ɪɹ
ya,72247,j ɐ
list,72048,l ɪ s t
rock,71775,ɹ ɑː k
ball,71673,b ɔː l
boat,71631,b oʊ t
deep,71622,d iː p
record,71220,ɹ ɛ k ɚ d
15,71206,f ɪ f t iː n
present,71199,p ɹ ɛ z ə n t
busy,70939,b ɪ z i
wearing,70802,w ɛ ɹ ɪ ŋ
forever,70717,f ɚ ɹ ɛ v ɚ
4,70581,f ɔːɹ
normal,70523,n ɔːɹ m əl
paper,70477,p eɪ p ɚ
weird,70444,w ɪɹ d
ring,70420,ɹ ɪ ŋ
problems,70399,p ɹ ɑː b l ə m z
spent,70341,s p ɛ n t
luck,70320,l ʌ k
speaking,70209,s p iː k ɪ ŋ
difficult,70129,d ɪ f ɪ k əl t
stick,70055,s t ɪ k
fish,69929,f ɪ ʃ
ice,69787,aɪ s
none,69752,n ʌ n
major,69584,m eɪ dʒ ɚ
service,69576,s ɜː v ɪ s
eight,69526,eɪ t
offer,69404,ɔ f ɚ
personal,69286,p ɜː s ə n əl
peace,69245,p iː s
blow,69168,b l oʊ
sing,69131,s ɪ ŋ
charge,69122,tʃ ɑːɹ dʒ
sam,68970,s æ m
50,68940,f ɪ f t i
100,68875,w ʌ n h ʌ n d ɹ ɪ d
third,68820,θ ɜː d
wonderful,68793,w ʌ n d ɚ f əl
bill,68785,b ɪ l
cover,68766,k ʌ v ɚ
fighting,68557,f aɪ ɾ ɪ ŋ
christmas,68327,k ɹ ɪ s m ə s
relationship,68258,ɹ ᵻ l eɪ ʃ ə n ʃ ɪ p
america,68221,ɐ m ɛ ɹ ɪ k ə
key,68195,k iː
choice,68178,tʃ ɔɪ s
michael,67969,m aɪ k əl
killing,67872,k ɪ l ɪ ŋ
soul,67837,s oʊ l
kiss,67820,k ɪ s
message,67818,m ɛ s ɪ dʒ
fell,67769,f ɛ l
share,67691,ʃ ɛɹ
became,67637,b ɪ k eɪ m
horse,67623,h ɔːɹ s
killer,67538,k ɪ l ɚ
standing,67379,s t æ n d ɪ ŋ
church,67259,tʃ ɜː tʃ
position,67237,p ə z ɪ ʃ ə n
stopped,67226,s t ɑː p t
visit,67210,v ɪ z ɪ t
handle,67106,h æ n d əl
quick,66647,k w ɪ k
wall,66645,w ɔː l
join,66472,dʒ ɔɪ n
lunch,66383,l ʌ n tʃ
hurry,66153,h ɜː ɹ i
trip,66091,t ɹ ɪ p
mistake,66071,m ɪ s t eɪ k
honor,65984,ɑː n ɚ
lived,65947,l ɪ v d
dress,65888,d ɹ ɛ s
respect,65826,ɹ ᵻ s p ɛ k t
birthday,65813,b ɜː θ d eɪ
tired,65661,t aɪɚ d
dangerous,65557,d eɪ n dʒ ɚ ɹ ə s
hide,65443,h aɪ d
fly,65273,f l aɪ
involved,65162,ɪ n v ɑː l v d
often,65153,ɔ f ə n
realize,65112,ɹ iː ə l aɪ z
rich,65000,ɹ ɪ tʃ
interested,64993,ɪ n t ɹ ɛ s t ᵻ d
