target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,da_cue,da_target,da_word_combo_related,da_word_combo_unrelated,da_cue_word_related,da_cue_word_unrelated
begrave,593.256960776043,607.807395822731,-0.384303767184727,-0.402807456470146,22.8919646452633,23.5319076637437,0.0756245151377531,0.0835835470140443,54,51,0,0,51,48,52,49,0,0,0.980769230769231,0.979591836734694,54,51,0,0,52,46,52,49,0,0,1,0.938775510204082,51,48,14.550435046688,-0.0185036892854191,da,dig,bury,grave,begrave,gravebegrave,proteinbegrave,grave,protein
begravelse,616.193517244373,602.37576190773,-0.418215625860159,-0.511281817189568,36.7022405831908,22.6679299826897,0.0894444418755322,0.0556854659918249,63,50,0,0,58,42,59,43,0,0,0.983050847457627,0.976744186046512,63,50,0,0,57,43,59,43,0,0,0.966101694915254,1,58,42,-13.8177553366427,-0.093066191329409,da,coffin,funeral,kiste,begravelse,kistebegravelse,kreditbegravelse,kiste,kredit
behagelig,569.314408150186,623.219195656909,-0.488451561195251,-0.376919315055848,14.933603031179,27.8024151066143,0.0439514679567825,0.0781575926997464,51,51,2,0,49,46,49,46,2,0,1,1,53,51,0,0,46,46,51,46,0,0,0.901960784313726,1,49,46,53.9047875067229,0.111532246139403,da,comfortable,pleasant,komfortabel,behagelig,komfortabelbehagelig,kandidatbehagelig,komfortabel,kandidat
behandling,642.603600006032,636.60165419775,-0.276714879853643,-0.360754888662438,29.51778456215,22.4412484953186,0.0915775848948014,0.0594754381130907,51,122,0,2,50,107,50,108,0,1,1,0.990740740740741,51,122,0,2,49,107,50,108,0,1,0.98,0.990740740740741,50,107,-6.00194580828202,-0.0840400088087943,da,therapy,treatment,terapi,behandling,terapibehandling,smilebehandling,terapi,smile
beholde,568.490574469978,679.636087905513,-0.582430721991636,-0.295107355783949,24.2890598107465,37.5370850628913,0.0879214186227656,0.102075583854932,54,107,1,0,47,91,48,91,0,0,0.979166666666667,1,54,107,1,0,46,90,48,91,0,0,0.958333333333333,0.989010989010989,47,91,111.145513435535,0.287323366207687,da,hold,keep,holde,beholde,holdebeholde,overnaturligbeholde,holde,overnaturlig
behov,561.948437507266,626.342219045742,-0.61426270320586,-0.398439418191045,19.7054600620648,19.4237513670147,0.0581146871664537,0.0688546768095927,50,121,0,0,48,105,48,106,0,0,1,0.990566037735849,50,120,0,1,48,104,48,105,0,1,1,0.99047619047619,48,105,64.3937815384763,0.215823285014816,da,necessary,need,nødvendig,behov,nødvendigbehov,slåbehov,nødvendig,slå
bekræfte,724.463955555324,588.800666659469,-0.12479525544728,-0.442369497347092,33.4178727818995,14.5011016478233,0.0756656313764593,0.0606954750888824,104,50,2,0,90,48,90,48,1,0,1,1,105,50,1,0,91,48,91,48,0,0,1,1,90,48,-135.663288895854,-0.317574241899812,da,confirmation,confirm,bekræftelse,bekræfte,bekræftelsebekræfte,pensionbekræfte,bekræftelse,pension
bekymring,704.195173908955,646.822540978301,-0.293197920659251,-0.327007297226895,42.0717712834403,24.3457819253177,0.10705670895779,0.0772076510937011,53,72,0,0,46,61,46,61,0,0,1,1,53,71,0,1,31,60,46,60,0,1,0.673913043478261,1,46,61,-57.3726329306538,-0.0338093765676442,da,concern,worry,ængstelse,bekymring,ængstelsebekymring,skjortebekymring,ængstelse,skjorte
beliggenhed,717.953214306695,728.98387235551,-0.127464102776166,-0.109750575636364,45.527614525423,49.9159487944251,0.101643829477812,0.122978432731788,64,54,0,0,56,47,56,48,0,0,1,0.979166666666667,64,54,0,0,56,44,56,48,0,0,1,0.916666666666667,56,47,11.0306580488146,0.0177135271398024,da,place,location,sted,beliggenhed,stedbeliggenhed,lesbiskbeliggenhed,sted,lesbisk
beløb,578.580043485305,521.123309114684,-0.534371840552739,-0.696657089849878,25.0682609696715,17.7766321066166,0.0922809900631259,0.0620349021995242,51,56,0,0,47,55,48,55,0,0,0.979166666666667,1,50,56,1,0,42,47,47,55,1,0,0.893617021276596,0.854545454545454,46,55,-57.4567343706202,-0.162285249297139,da,sum,amount,sum,beløb,sumbeløb,spionagebeløb,sum,spionage
belønning,681.390645825408,615.816021284486,-0.13909468163473,-0.431206465013441,43.5807913253087,32.0767079130036,0.132890547085658,0.0835400454510042,52,52,0,0,48,47,48,47,0,0,1,1,52,52,0,0,47,45,48,47,0,0,0.979166666666667,0.957446808510638,48,47,-65.5746245409218,-0.292111783378711,da,bonus,reward,bonus,belønning,bonusbelønning,sekundærbelønning,bonus,sekundær
bemærkelsesværdig,1162.72152173379,1199.72284614866,1.36874210499177,1.87043048226162,67.0914965797527,75.8521966590912,0.178435420085293,0.327372859956761,56,60,1,0,46,52,50,57,1,0,0.92,0.912280701754386,57,60,0,0,51,52,51,57,0,0,1,0.912280701754386,46,52,37.0013244148731,0.501688377269856,da,exceptional,remarkable,enestående,bemærkelsesværdig,eneståendebemærkelsesværdig,supermanbemærkelsesværdig,enestående,superman
beregne,641.276884613388,645.104695659402,-0.343240465484614,-0.224262744486068,34.0228315213451,28.7277304444222,0.088237339331693,0.0860011562201584,57,50,1,0,52,46,52,48,0,0,1,0.958333333333333,58,50,0,0,51,47,52,48,0,0,0.980769230769231,0.979166666666667,52,46,3.82781104601315,0.118977720998547,da,count,calculate,tælle,beregne,tælleberegne,honningberegne,tælle,honning
beruset,600.398211321728,726.419350871978,-0.389890664872616,0.02373504243062,13.5949510869885,22.4448324311763,0.0459516068578725,0.0627475441192966,57,69,0,1,53,57,53,63,0,0,1,0.904761904761905,57,69,0,1,53,62,53,63,0,0,1,0.984126984126984,53,57,126.02113955025,0.413625707303236,da,sober,drunk,ædru,beruset,ædruberuset,værktøjberuset,ædru,værktøj
berømt,625.55555769531,609.22367676615,-0.454005621026049,-0.456851808058723,49.635933132487,30.1244589840681,0.133478483709711,0.0935190508581497,58,110,1,1,52,99,53,99,1,0,0.981132075471698,1,58,109,1,2,51,98,53,98,1,1,0.962264150943396,1,52,99,-16.33188092916,-0.0028461870326737,da,popular,famous,populær,berømt,populærberømt,bombeberømt,populær,bombe
besked,551.790423077464,561.757407397743,-0.67039801361849,-0.592297929487669,18.2748449785024,22.2743682817639,0.0449619775663214,0.0610716163595807,55,57,0,1,52,55,52,55,0,0,1,1,55,57,0,1,52,55,52,55,0,0,1,1,52,54,9.96698432027927,0.0781000841308217,da,warning,message,advarsel,besked,advarselbesked,fattigdombesked,advarsel,fattigdom
beskeden,612.209299993942,695.550959988486,-0.400276494818002,-0.259081026098617,25.4571837575854,28.7106629914757,0.0719538158044683,0.06563266681605,68,115,1,2,60,100,61,102,1,0,0.983606557377049,0.980392156862745,68,115,1,2,60,101,61,102,1,0,0.983606557377049,0.990196078431373,60,100,83.341659994544,0.141195468719385,da,humble,modest,ydmyg,beskeden,ydmygbeskeden,taxabeskeden,ydmyg,taxa
beskidt,628.09898040767,579.429782602279,-0.413141784250521,-0.542608071307997,33.1300608904942,21.8669172303202,0.101222366044799,0.0512346564257224,59,72,0,0,51,69,51,69,0,0,1,1,59,72,0,0,25,69,51,69,0,0,0.490196078431373,1,51,69,-48.6691978053908,-0.129466287057476,da,nasty,filthy,ækel,beskidt,ækelbeskidt,statusbeskidt,ækel,status
beskrivelse,607.650266675154,676.468618195029,-0.489239651160083,-0.198098303812623,28.623159227735,23.7259086871947,0.0740439781621456,0.0842366299863857,52,77,1,0,45,66,45,68,0,0,1,0.970588235294118,52,76,1,1,44,63,45,67,0,1,0.977777777777778,0.940298507462687,45,66,68.8183515198743,0.29114134734746,da,profile,description,profil,beskrivelse,profilbeskrivelse,landbeskrivelse,profil,land
beslutsomhed,716.820425943155,766.616640004729,-0.129363752655973,0.114451863055697,30.6993860789009,37.3858278522385,0.0824438064646642,0.107463270534788,60,59,1,0,54,50,54,51,0,0,1,0.980392156862745,60,59,1,0,45,46,54,51,0,0,0.833333333333333,0.901960784313726,54,50,49.7962140615748,0.24381561571167,da,courage,determination,tapperhed,beslutsomhed,tapperhedbeslutsomhed,lænkebeslutsomhed,tapperhed,lænke
bevidst,595.952558547136,785.44167532616,-0.498167855884062,-0.0322398076253086,25.3520108783581,50.7340662096568,0.0726094333068689,0.127046472380492,130,91,0,0,111,77,111,77,0,0,1,1,129,91,1,0,108,77,110,77,1,0,0.981818181818182,1,111,77,189.489116779023,0.465928048258753,da,accidentally,intentionally,tilfældigvis,bevidst,tilfældigvisbevidst,brobevidst,tilfældigvis,bro
bevis,517.948129637652,591.32974544711,-0.661594522215099,-0.573816862573504,15.6466192781694,26.6031980092282,0.0573170626428792,0.0814647434003344,59,63,0,0,54,56,55,58,0,0,0.981818181818182,0.96551724137931,59,63,0,0,48,54,55,58,0,0,0.872727272727273,0.931034482758621,54,55,73.3816158094578,0.0877776596415951,da,evidence,proof,evidens,bevis,evidensbevis,ekstremtbevis,evidens,ekstremt
bil,517.453180753885,496.008358488459,-0.746963594217152,-0.790619302548645,12.7080945363346,16.4957264048662,0.0480250699302207,0.0604689740831992,56,57,0,1,52,53,52,53,0,1,1,1,56,58,0,0,50,53,52,54,0,0,0.961538461538462,0.981481481481482,52,53,-21.4448222654263,-0.0436557083314921,da,vehicle,car,køretøj,bil,køretøjbil,hejbil,køretøj,hej
billig,539.33011321699,599.949416661905,-0.693323448736594,-0.404183446742181,21.4244750651292,27.160448999999,0.0590075838095072,0.0760849913193425,59,54,0,1,53,48,54,48,0,0,0.981481481481482,1,59,54,0,1,51,48,54,48,0,0,0.944444444444444,1,53,48,60.6193034449153,0.289140001994413,da,expensive,cheap,dyrt,billig,dyrtbillig,bibliotekbillig,dyrt,bibliotek
binde,713.782272716241,698.722445088529,-0.164747045780622,-0.0886841903015528,50.6660172121813,49.9465759447833,0.134767435482734,0.143575618941269,52,54,0,2,44,51,44,53,0,2,1,0.962264150943396,52,55,0,1,25,54,44,54,0,1,0.568181818181818,1,44,51,-15.0598276277118,0.0760628554790695,da,bind,tie,tøjre,binde,tøjrebinde,erfaringbinde,tøjre,erfaring
