target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,ar_cue,ar_target,ar_word_combo_related,ar_word_combo_unrelated,ar_cue_word_related,ar_cue_word_unrelated
اتفاق,487.10366665277,597.116999905105,-0.831695166661759,-0.836874547424648,35.4926131181053,31.9255641518523,0.118463035813531,0.0484025818966512,3,7,0,0,3,4,3,4,0,0,1,1,3,7,0,0,3,4,3,4,0,0,1,1,3,4,110.013333252335,-0.00517938076288893,ar,contract,agreement,عقد,اتفاق,عقداتفاق,نبتةاتفاق,عقد,نبتة
اتهام,672.685444445287,717.566999993986,-0.3322941860934,-0.477781575629843,77.917868534036,,0.353322466190594,,11,1,2,1,9,1,10,1,0,0,0.9,1,11,1,2,1,10,1,10,1,0,0,1,1,9,1,44.8815555486985,-0.145487389536443,ar,complaint,accusation,شكوى,اتهام,شكوىاتهام,آمناتهام,شكوى,آمن
اختبار,791.11124993454,316.932000008994,-0.115534624425587,-0.89136192661102,94.1347833487363,,0.232456434604778,,8,2,0,0,8,1,8,1,0,0,1,1,8,2,0,0,8,1,8,1,0,0,1,1,8,1,-474.179249925546,-0.775827302185433,ar,experiment,test,تجربة - قام بتجارب,اختبار,تجربة - قام بتجارباختبار,شجيرةاختبار,تجربة - قام بتجارب,شجيرة
اختفاء,612.157888892223,731.948571432175,-0.656240391330164,-0.155676202569918,28.2705066614097,107.230685180283,0.0872980321263557,0.349033458144328,9,8,0,0,9,7,9,8,0,0,1,0.875,9,8,0,0,9,8,9,8,0,0,1,1,9,7,119.790682539952,0.500564188760246,ar,death,disappearance,موت,اختفاء,موتاختفاء,نهايةاختفاء,موت,نهاية
اذهب,376.452999999747,707.847499985336,-1.25256981395734,-0.148788852037266,,84.869115625838,,0.266649816591996,2,22,0,2,1,18,1,18,0,0,1,1,2,22,0,2,1,18,1,18,0,0,1,1,1,18,331.394499985589,1.10378096192007,ar,enter,go,أدخل,اذهب,أدخلاذهب,كميةاذهب,أدخل,كمية
ارتباك,645.639500062095,,-0.257544191728919,,68.907416256525,,0.270406901375721,,10,,2,,10,,10,,0,,1,,10,,2,,10,,10,,0,,1,,10,,,,ar,chaos,confusion,فوضى,ارتباك,فوضىارتباك,كابلارتباك,فوضى,كابل
ارتفاع,568.90929410997,655.428045437934,-0.715710862131532,-0.293016285943946,54.6981609733063,39.6562572442074,0.133049294719266,0.123527898424264,20,28,1,2,17,22,17,23,0,1,1,0.956521739130435,20,29,1,1,16,3,17,24,0,0,0.941176470588235,0.125,17,22,86.5187513279645,0.422694576187586,ar,weight,height,وزن,ارتفاع,وزنارتفاع,بينجارتفاع,وزن,بينج
استدارة,584.282499998546,678.369857127524,-0.391931744537281,-0.410005912343463,199.65250000151,61.2476336340575,0.595010067261031,0.0961210856092622,2,8,0,2,2,7,2,7,0,0,1,1,2,8,0,2,1,3,2,7,0,0,0.5,0.428571428571429,2,7,94.0873571289784,-0.0180741678061814,ar,turn,rotate,منعطف _ دور,استدارة,منعطف _ دوراستدارة,الفيلقاستدارة,منعطف _ دور,الفيلق
استعمال,757.54074975117,607.455000029799,-0.102323189658138,-0.574004429823924,109.360064543745,71.8153266503454,0.362644219000455,0.326850213189821,4,4,0,0,4,3,4,3,0,0,1,1,4,3,0,1,4,3,4,3,0,0,1,1,4,3,-150.085749721371,-0.471681240165785,ar,apply,use,تطبيق,استعمال,تطبيقاستعمال,ساندويتشاستعمال,تطبيق,ساندويتش
استمر,549.946666666656,555.130999811867,-0.658052753164803,-0.684391918806621,10.8538773462055,25.0509998119085,0.139157406666601,0.109213477545958,4,2,0,0,3,2,3,2,0,0,1,1,4,2,0,0,2,2,3,2,0,0,0.666666666666667,1,3,2,5.18433314521053,-0.0263391656418186,ar,proceed,continue,تقدم,استمر,تقدماستمر,تدركاستمر,تقدم,تدرك
اشخاص,520.152823543683,556.842400000512,-0.726079462883884,-0.643694138087271,24.9773739794344,44.7549816362728,0.0747463623403277,0.214164419623238,18,8,1,0,17,6,17,6,0,0,1,1,18,8,1,0,17,5,17,6,0,0,1,0.833333333333333,17,5,36.6895764568295,0.0823853247966125,ar,population,people,عدد السكان,اشخاص,عدد السكاناشخاص,فخاشخاص,عدد السكان,فخ
اطرش,995.673125103654,1150.02340006079,0.749059402388012,1.45620819361946,206.420425145782,350.467092514314,0.650516803414568,1.22116838504517,8,11,1,1,8,5,8,10,0,0,1,0.5,9,11,0,1,8,7,8,10,0,0,1,0.7,8,5,154.350274957132,0.707148791231444,ar,blind,deaf,أعمى,اطرش,أعمىاطرش,قذيفةاطرش,أعمى,قذيفة
اعمال,620.453857127976,823.651500023783,-0.5944049050793,-0.345989270273867,80.0089129881952,314.731499976127,0.199694642147218,0.54896895239646,7,3,0,0,7,2,7,2,0,0,1,1,7,3,0,0,6,2,7,2,0,0,0.857142857142857,1,7,2,203.197642895807,0.248415634805433,ar,industry,business,صناعة,اعمال,صناعةاعمال,اللهاعمال,صناعة,الله
اعمال صيانة,926.346000005957,942.573999988148,0.993556047603988,0.578099996269809,,199.534999988042,,0.50879063091562,2,2,0,0,1,2,1,2,0,0,1,1,2,2,0,0,1,2,1,2,0,0,1,1,1,2,16.227999982191,-0.415456051334179,ar,service,maintenance,الخدمات,اعمال صيانة,الخدماتاعمال صيانة,ركناعمال صيانة,الخدمات,ركن
افتراض,1310.0733332062,634.543999999994,1.01017271341178,-0.288306984623023,518.076398656748,,1.07404502132439,,4,1,1,0,3,1,3,1,0,0,1,1,4,1,1,0,3,1,3,1,0,0,1,1,3,1,-675.529333206203,-1.2984796980348,ar,conclusion,assumption,خاتمة,افتراض,خاتمةافتراض,أصابافتراض,خاتمة,أصاب
