target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,el_cue,el_target,el_word_combo
βασανίζω,626.666500007484,630.944361705049,-0.359223333670268,-0.240876452745918,28.1440595173099,31.1644919801498,0.0923532500305839,0.102895866165733,53,52,0,0,46,47,47,48,0,0,0.978723404255319,0.979166666666667,53,52,0,0,47,46,47,48,0,0,1,0.958333333333333,46,47,4.27786169756496,0.11834688092435,el,torment,torture,βασανιστήριο,βασανίζω,βασανιστήριοβασανίζω
βασιλιάς,636.404382995843,632.400918353658,-0.1888408605644,-0.426308413100113,27.9885280477523,29.4184912292084,0.13641109213018,0.0913576958093531,54,52,1,0,48,49,49,49,0,0,0.979591836734694,1,53,52,2,0,48,49,49,49,0,0,0.979591836734694,1,47,49,-4.00346464218501,-0.237467552535713,el,queen,king,βασίλισσα,βασιλιάς,βασίλισσαβασιλιάς
βελτίωση,649.462568218656,686.231820005697,-0.320722955228073,-0.25820279551813,45.6060670097549,43.4527203221191,0.124289359697309,0.105525745164157,50,55,0,1,44,50,44,50,0,0,1,1,49,54,1,2,44,23,44,49,0,1,1,0.469387755102041,44,50,36.7692517870406,0.0625201597099431,el,change,improvement,αλλαγή,βελτίωση,αλλαγήβελτίωση
βιβλίο,594.937326536503,541.057529400395,-0.508502906098542,-0.585984832503764,32.1740648514547,35.8690029914668,0.0978714924836546,0.12509175142528,51,52,2,0,49,51,49,51,1,0,1,1,51,52,2,0,49,51,49,51,1,0,1,1,49,51,-53.8797971361076,-0.0774819264052218,el,bible,book,αγία γραφή,βιβλίο,αγία γραφήβιβλίο
βιβλιογραφία,709.689562504688,674.761702126095,-0.0157471937607283,-0.243617011235213,30.3273181294194,30.1582858496725,0.117053604597978,0.101588324966753,52,54,0,0,48,47,48,48,0,0,1,0.979166666666667,52,54,0,0,48,41,48,48,0,0,1,0.854166666666667,48,47,-34.9278603785931,-0.227869817474484,el,art,literature,τέχνη,βιβλιογραφία,τέχνηβιβλιογραφία
βιολογία,643.093687456026,589.52595919331,-0.357480014838863,-0.397020696439281,44.9383404992453,21.1185528065164,0.146860771338839,0.074328797166492,52,53,2,0,48,49,49,49,1,0,0.979591836734694,1,52,53,2,0,49,47,49,49,1,0,1,0.959183673469388,48,49,-53.5677282627159,-0.0395406816004179,el,chemistry,biology,χημεία,βιολογία,χημείαβιολογία
βιολογικός,589.850204084053,720.56799999085,-0.48454424470945,-0.081641337089576,24.2313568542209,42.0950749095519,0.0686205634608259,0.098185784852986,51,54,1,1,49,49,50,49,1,0,0.98,1,51,55,1,0,48,34,50,49,1,0,0.96,0.693877551020408,49,49,130.717795906796,0.402902907619874,el,chemical,biological,χημικό,βιολογικός,χημικόβιολογικός
βιταμίνη,603.729019632933,637.644854164147,-0.370896186597141,-0.365346159140674,30.5387557307588,26.2242084280101,0.119968814762351,0.0847239989740526,53,51,1,1,51,48,51,48,0,0,1,1,53,51,1,1,49,47,51,48,0,0,0.96078431372549,0.979166666666667,51,48,33.9158345312147,0.00555002745646699,el,protein,vitamin,πρωτεΐνη,βιταμίνη,πρωτεΐνηβιταμίνη
βλάβη,538.810530615642,577.833306127887,-0.643870370396304,-0.508129385916576,15.5343487247827,23.6150337737271,0.0598775347945415,0.0807318028365951,52,50,0,1,49,49,49,49,0,0,1,1,52,50,0,1,49,44,49,49,0,0,1,0.897959183673469,49,49,39.0227755122445,0.135740984479728,el,wound,injury,πληγή,βλάβη,πληγήβλάβη
βλήμα,630.503489405777,735.329717377784,-0.212260522400326,0.0660495917890338,25.6611725758528,51.9180963778398,0.109477696322175,0.162503183537675,53,51,2,1,47,46,52,49,1,1,0.903846153846154,0.938775510204082,53,51,2,1,48,48,52,49,1,1,0.923076923076923,0.979591836734694,47,46,104.826227972007,0.27831011418936,el,rocket,missile,ρουκέτα,βλήμα,ρουκέταβλήμα
βλακεία,600.433645826826,657.977836729501,-0.521613552283938,-0.373016036954444,25.0035564597809,43.2047829465127,0.0718114730978684,0.106812985590882,51,50,2,0,48,49,51,49,2,0,0.941176470588235,1,52,50,1,0,52,49,52,49,1,0,1,1,48,49,57.5441909026756,0.148597515329494,el,madness,stupidity,παραφροσύνη,βλακεία,παραφροσύνηβλακεία
βοήθεια,566.54555771258,565.064404257766,-0.54111315653411,-0.566953491180338,21.9410403589242,24.2966896107042,0.0710109220404296,0.0803797193221422,54,52,1,0,52,47,53,48,1,0,0.981132075471698,0.979166666666667,55,52,0,0,54,48,54,48,0,0,1,1,52,47,-1.48115345481472,-0.0258403346462279,el,support,assistance,υποστήριξη,βοήθεια,υποστήριξηβοήθεια
βοηθός,583.475339997414,605.452499995426,-0.548289126220216,-0.490911627636455,28.9030906227109,27.1040158496525,0.0871112620699174,0.0763246343741272,54,55,2,0,50,48,50,49,1,0,1,0.979591836734694,54,55,2,0,48,47,50,49,1,0,0.96,0.959183673469388,50,48,21.9771599980114,0.0573774985837603,el,secretary,assistant,γραμματέας,βοηθός,γραμματέαςβοηθός
βοηθώ,599.384282603146,599.255000019499,-0.465711329133597,-0.540159319554445,22.6369549251992,25.0536313776963,0.0854829817888407,0.0833762593885958,53,54,0,1,46,50,48,51,0,0,0.958333333333333,0.980392156862745,53,54,0,1,48,48,48,51,0,0,1,0.941176470588235,46,50,-0.129282583646955,-0.0744479904208482,el,help,assist,βοήθεια,βοηθώ,βοήθειαβοηθώ
βοστώνη,712.10447827168,887.841926832528,0.0848990738144393,0.433582072859271,42.013099106787,52.4537162749788,0.129753815652081,0.153533500777529,51,53,2,2,46,41,49,52,1,1,0.938775510204082,0.788461538461538,52,53,1,2,37,51,50,52,0,1,0.74,0.980769230769231,46,41,175.737448560848,0.348682999044832,el,washington,boston,oυάσιγκτoν,βοστώνη,oυάσιγκτoνβοστώνη
βουνό,621.116234027285,610.272854136674,-0.384820690065493,-0.501942653799935,30.6099622103087,36.8825684617735,0.124087135165905,0.108477091351582,51,51,2,0,47,48,48,49,0,0,0.979166666666667,0.979591836734694,51,51,2,0,45,47,48,49,0,0,0.9375,0.959183673469388,47,48,-10.843379890611,-0.117121963734442,el,hill,mountain,λόφος,βουνό,λόφοςβουνό
βούτυρο,587.344173932837,580.608224490285,-0.57343883948705,-0.58829231433065,36.2901302173281,27.982873267512,0.090437976850163,0.0729935467476168,52,53,0,1,46,49,48,50,0,0,0.958333333333333,0.98,52,53,0,1,47,49,48,50,0,0,0.979166666666667,0.98,46,49,-6.73594944255217,-0.014853474843601,el,honey,butter,μέλι,βούτυρο,μέλιβούτυρο
βρίσκω,572.606249993733,565.305843141992,-0.535601888103961,-0.626740706962218,30.9788445449164,28.1570928504818,0.112369199203728,0.101273992192917,52,52,0,0,48,51,48,51,0,0,1,1,52,52,0,0,48,51,48,51,0,0,1,1,48,51,-7.3004068517414,-0.0911388188582564,el,search,find,αναζήτηση,βρίσκω,αναζήτησηβρίσκω
βραβείο,659.001229182436,622.19772000088,-0.414527662086187,-0.43778028065781,49.8803032340899,31.3050036020451,0.129070210054152,0.118348751555908,51,51,0,0,48,50,50,50,0,0,0.96,1,51,51,0,0,41,50,50,50,0,0,0.82,1,48,50,-36.8035091815553,-0.0232526185716234,el,nobel,prize,νόμπελ,βραβείο,νόμπελβραβείο
βρεγμένος,720.825755090025,778.179439993422,0.0803033105358677,0.106861439031724,49.1413327027336,55.7930444397177,0.172868996940232,0.170795102579611,52,52,1,0,49,50,52,50,0,0,0.942307692307692,1,51,52,2,0,51,49,51,50,1,0,1,0.98,49,50,57.3536849033972,0.0265581284958566,el,dry,wet,ξηρός,βρεγμένος,ξηρόςβρεγμένος
βροντή,563.43597873591,739.642682930203,-0.538269735725138,0.1992485820008,20.2191453460748,40.0150336566389,0.0789268357836296,0.141965643543955,50,52,0,0,47,41,47,45,0,0,1,0.911111111111111,50,51,0,1,46,40,47,44,0,1,0.978723404255319,0.909090909090909,47,41,176.206704194293,0.737518317725938,el,lightning,thunder,αστραπή,βροντή,αστραπήβροντή
βόλτα,548.79893749482,580.380469385564,-0.635389951576158,-0.581085279941303,22.947120251498,41.3729171149615,0.0937891661629289,0.102580608001996,51,52,0,0,48,49,48,49,0,0,1,1,51,52,0,0,48,49,48,49,0,0,1,1,48,49,31.5815318907439,0.0543046716348541,el,drive,ride,οδηγώ,βόλτα,οδηγώβόλτα
βόλτα.1,610.851044450692,553.108645796781,-0.448061826640979,-0.651664710065003,32.2160976553213,27.5318530418189,0.10276074961521,0.0750826493947427,51,53,1,0,45,48,47,48,1,0,0.957446808510638,1,52,52,0,1,36,42,48,48,0,0,0.75,0.875,45,48,-57.7423986539112,-0.203602883424024,el,nap,stroll,υπνάκο,βόλτα,υπνάκοβόλτα
βόρειος,606.551680018977,584.445653075453,-0.515237796804923,-0.350380296589068,24.6966439049795,24.0651719410216,0.0655987451363026,0.115736508637499,52,52,0,0,50,49,50,49,0,0,1,1,52,52,0,0,46,47,50,49,0,0,0.92,0.959183673469388,50,49,-22.1060269435233,0.164857500215855,el,south,north,νότος,βόρειος,νότοςβόρειος
βότκα,553.49240000927,647.418326092823,-0.607029075940919,-0.27959094570613,18.5144144852604,22.7694239136934,0.0771734089654982,0.0749385558343824,50,52,1,0,45,46,45,47,1,0,1,0.978723404255319,50,52,1,0,44,39,45,47,1,0,0.977777777777778,0.829787234042553,45,46,93.9259260835531,0.327438130234788,el,whiskey,vodka,ουίσκι,βότκα,ουίσκιβότκα
γάμος,538.179333348353,501.191576944329,-0.697813722777601,-0.83188240953598,20.5707400008741,14.9003707758147,0.0887355618765573,0.0513048870998338,55,53,0,1,51,52,51,52,0,0,1,1,54,52,1,2,43,51,50,51,1,1,0.86,1,51,52,-36.9877564040239,-0.134068686758379,el,engagement,wedding,αρραβώνες,γάμος,αρραβώνεςγάμος
γάμος.1,542.800659577383,612.593954541613,-0.613257526264634,-0.403085094264355,20.7935624520946,44.6546503393166,0.0848622477981579,0.161648596134199,51,52,0,1,47,44,48,44,0,0,0.979166666666667,1,51,51,0,2,48,39,48,44,0,0,1,0.886363636363636,47,44,69.7932949642296,0.210172432000279,el,divorce,marriage,διαζύγιο,γάμος,διαζύγιογάμος
γάτα,487.898416704866,532.751254885159,-0.885916184379026,-0.706483899638802,18.0841338555045,16.0571638130469,0.0544855889560403,0.0535455735847888,51,55,0,0,48,51,49,51,0,0,0.979591836734694,1,51,55,0,0,49,44,49,51,0,0,1,0.862745098039216,48,51,44.8528381802931,0.179432284740223,el,dog,cat,σκύλος,γάτα,σκύλοςγάτα
γέλιο,576.551382981851,646.861882334199,-0.467959784111859,-0.420862026930532,43.5160576887835,35.611710676312,0.143122840908376,0.116611719971927,50,55,0,0,47,51,49,52,0,0,0.959183673469388,0.980769230769231,50,53,0,2,49,47,49,51,0,1,1,0.92156862745098,47,51,70.3104993523481,0.0470977571813272,el,smile,laugh,χαμόγελο,γέλιο,χαμόγελογέλιο
γαλαξίας,717.214367364807,679.03249019038,-0.0492391875768989,-0.19949466636759,50.8643129451339,30.6277252080985,0.160735521867706,0.138702745578506,50,54,0,1,49,51,49,52,0,1,1,0.980769230769231,50,54,0,1,49,52,49,52,0,1,1,1,49,51,-38.1818771744266,-0.150255478790691,el,universe,galaxy,σύμπαν,γαλαξίας,σύμπανγαλαξίας
γαλλικά,527.281297868428,662.657434778484,-0.684801906452647,-0.172585903780312,17.821878993183,26.8696579044557,0.086687230869757,0.109220497487905,52,50,0,0,47,46,47,46,0,0,1,1,52,50,0,0,46,42,47,46,0,0,0.978723404255319,0.91304347826087,47,46,135.376136910056,0.512216002672336,el,english,french,αγγλικά,γαλλικά,αγγλικάγαλλικά
γαλοπούλα,632.757652225189,657.36351997699,-0.314998101660364,-0.187740246411684,34.9436376749094,19.2469749744681,0.110780798676748,0.0742784209642896,52,52,0,0,47,50,48,51,0,0,0.979166666666667,0.980392156862745,52,52,0,0,48,51,48,51,0,0,1,1,46,50,24.605867751801,0.12725785524868,el,chicken,turkey,κοτόπουλο,γαλοπούλα,κοτόπουλογαλοπούλα
γεμάτος,564.538820024503,574.316599995428,-0.539373975128599,-0.57020709632077,23.2564185624606,21.5683072123154,0.0848727968005636,0.0720427638518492,54,52,0,2,50,50,51,50,0,1,0.980392156862745,1,54,52,0,2,51,50,51,51,0,0,1,0.980392156862745,50,50,9.77777997092448,-0.0308331211921713,el,empty,full,αδειάζω,γεμάτος,αδειάζωγεμάτος
γενέθλια,622.249863679685,608.193981117257,-0.385167848375186,-0.4538689354308,53.8197212159515,44.3130229787977,0.163736818212357,0.168303568636259,50,57,0,0,44,53,47,54,0,0,0.936170212765957,0.981481481481482,49,57,1,0,44,54,47,54,0,0,0.936170212765957,1,44,53,-14.0558825624274,-0.0687010870556143,el,anniversary,birthday,επέτειος,γενέθλια,επέτειοςγενέθλια
γενειάδα,841.818921590945,821.705209316183,0.504175906729803,0.431303935946497,52.9485421628427,42.0086912147515,0.157579901242733,0.124016081019512,57,51,0,1,51,43,56,48,0,1,0.910714285714286,0.895833333333333,57,52,0,0,55,47,56,49,0,0,0.982142857142857,0.959183673469388,51,43,-20.1137122747626,-0.072871970783306,el,hair,beard,μαλλιά,γενειάδα,μαλλιάγενειάδα
γενικά,548.890808535717,597.571981164812,-0.645776470281893,-0.453320360589957,17.8114783501966,27.7745380315892,0.0715021496487891,0.0957468733456438,52,55,0,2,47,53,48,55,0,0,0.979166666666667,0.963636363636364,52,55,0,2,46,54,48,55,0,0,0.958333333333333,0.981818181818182,47,53,48.6811726290954,0.192456109691936,el,naturally,generally,φυσικά,γενικά,φυσικάγενικά
γενναίος,595.863612246646,572.391441863957,-0.455351969604669,-0.627475047779891,22.7352063088348,21.542686677882,0.107705998316975,0.0720585157312122,52,51,0,0,49,43,49,45,0,0,1,0.955555555555556,52,51,0,0,48,45,49,45,0,0,0.979591836734694,1,49,43,-23.4721703826883,-0.172123078175222,el,noble,brave,ευγενής,γενναίος,ευγενήςγενναίος
γενναιόδωρος,655.516395753609,703.558489352807,-0.292313094411001,-0.0738510116836128,35.619113995908,46.7925854692357,0.0974789946595573,0.131965029501535,52,52,1,0,48,47,49,49,0,0,0.979591836734694,0.959183673469388,52,51,1,1,41,47,49,49,0,0,0.836734693877551,0.959183673469388,48,47,48.0420935991979,0.218462082727388,el,compassionate,generous,συμπονετικός,γενναιόδωρος,συμπονετικόςγενναιόδωρος
γερουσία,642.721279981908,730.99470207557,-0.235074389352863,-0.0505474563043341,34.8050760767863,35.5214649223183,0.191024084075716,0.111213240961116,52,53,1,0,50,47,50,48,0,0,1,0.979166666666667,52,52,1,1,49,41,50,48,0,0,0.98,0.854166666666667,50,47,88.2734220936622,0.184526933048529,el,parliament,senate,κοινοβούλιο,γερουσία,κοινοβούλιογερουσία
γερουσιαστής,712.338170209207,787.511636402045,-0.0657997267119717,0.235487261759904,33.7805419154707,34.6712672102834,0.0981212461191188,0.116852315757742,53,51,0,0,47,44,49,49,0,0,0.959183673469388,0.897959183673469,53,50,0,1,48,47,49,48,0,1,0.979591836734694,0.979166666666667,47,44,75.1734661928377,0.301286988471876,el,governor,senator,κυβερνήτης,γερουσιαστής,κυβερνήτηςγερουσιαστής
γεύμα,578.32354166353,517.301553185676,-0.6271706552638,-0.734098238409024,24.8774199522364,13.6601286628076,0.0809386128821098,0.0500687170766532,50,51,0,0,48,47,48,47,0,0,1,1,50,50,0,1,47,45,48,47,0,0,0.979166666666667,0.957446808510638,48,47,-61.0219884778542,-0.106927583145224,el,food,meal,φαγητό,γεύμα,φαγητόγεύμα
για πάντα,708.527470601018,672.74041669561,-0.0344746240484312,-0.150739477561651,32.785787903424,23.2125418103108,0.123258377395062,0.0727357112789684,53,54,1,0,51,48,51,48,1,0,1,1,53,54,1,0,48,48,51,48,1,0,0.941176470588235,1,51,48,-35.7870539054079,-0.11626485351322,el,eternal,forever,αιώνιος,για πάντα,αιώνιοςγια πάντα
γιαγιά,528.690041670273,594.952179996864,-0.664378062317704,-0.422905371209832,17.7594570955091,27.6121543315917,0.067762885137039,0.0722727401746145,52,53,0,0,48,50,48,50,0,0,1,1,52,53,0,0,45,47,48,50,0,0,0.9375,0.94,48,50,66.2621383265913,0.241472691107871,el,grandfather,grandmother,παππούς,γιαγιά,παππούςγιαγιά
γιατρός,557.822431380859,580.721510637676,-0.647716800768703,-0.472816134369965,23.3515607152847,43.510603162433,0.0782592744383211,0.175688029812078,54,52,0,1,51,47,51,47,0,1,1,1,53,51,1,2,48,45,50,46,1,2,0.96,0.978260869565217,51,47,22.8990792568169,0.174900666398738,el,surgeon,doctor,χειρουργός,γιατρός,χειρουργόςγιατρός
γκέι,602.68334702666,684.073720009242,-0.488760606329833,0.0300444131478512,43.0733880650175,27.3838333426694,0.0991449650338178,0.0991480387860593,52,54,0,0,49,50,50,50,0,0,0.98,1,52,54,0,0,49,44,50,50,0,0,0.98,0.88,49,50,81.3903729825817,0.518805019477684,el,lesbian,gay,λεσβία,γκέι,λεσβίαγκέι
γκαράζ,694.531297880865,742.732704530288,-0.0417593709393324,0.0282969925287727,40.7858449875882,35.2490329542179,0.117934018991318,0.124004573912197,51,50,0,0,47,44,48,48,0,0,0.979166666666667,0.916666666666667,50,50,1,0,42,46,47,48,1,0,0.893617021276596,0.958333333333333,47,44,48.2014066494228,0.0700563634681051,el,workshop,garage,εργαστήρι,γκαράζ,εργαστήριγκαράζ
γλείψιμο,656.0317291531,738.749510136893,-0.267531773137647,0.0579598022815696,35.8803672572401,52.9245380164888,0.109968549885404,0.214257068950963,51,52,0,1,48,49,48,50,0,1,1,0.98,51,52,0,1,42,50,48,50,0,1,0.875,1,48,49,82.7177809837927,0.325491575419217,el,suck,lick,ρουφώ,γλείψιμο,ρουφώγλείψιμο
γνώριζα,642.080400009217,577.686879980056,-0.306891963660966,-0.51135026318816,41.9155225476244,26.2753455015213,0.15974964956614,0.104115624568353,51,53,0,2,45,51,46,51,0,1,0.978260869565217,1,51,53,0,2,46,51,46,51,0,1,1,1,45,50,-64.3935200291618,-0.204458299527195,el,recognize,knew,αναγνωρίζω,γνώριζα,αναγνωρίζωγνώριζα
γνώση,517.345297883955,576.282875002794,-0.743976429500858,-0.542167028223279,19.1344213627129,17.9197700312977,0.0603642117183073,0.0573670079762928,50,52,0,0,47,48,47,49,0,0,1,0.979591836734694,49,52,1,0,45,38,46,49,1,0,0.978260869565217,0.775510204081633,47,48,58.9375771188385,0.201809401277579,el,experience,knowledge,εμπειρία,γνώση,εμπειρίαγνώση
γοητευτικός,636.270923066104,671.074280019946,-0.347594134376265,-0.163906507830589,28.2580749600617,31.6047219350447,0.0879165335422433,0.0946612899701632,53,53,0,0,52,50,52,51,0,0,1,0.980392156862745,53,52,0,1,51,49,52,50,0,1,0.980769230769231,0.98,52,50,34.8033569538424,0.183687626545676,el,attractive,charming,ελκυστικός,γοητευτικός,ελκυστικόςγοητευτικός
γονέας,581.268600006315,590.683699980009,-0.511309367566318,-0.435885724746362,25.4108512880383,22.612150973503,0.0797145869061619,0.0951178880058717,51,53,0,0,45,50,47,50,0,0,0.957446808510638,1,50,53,1,0,46,48,47,50,0,0,0.978723404255319,0.96,45,50,9.41509997369383,0.0754236428199557,el,adult,parent,ενήλικας,γονέας,ενήλικαςγονέας
γορίλλας,730.173113641538,776.332761894951,0.169669543396976,0.436568203899069,43.508625820713,39.3563670451978,0.185401857965621,0.180611574449013,51,52,1,0,44,42,49,48,0,0,0.897959183673469,0.875,51,52,1,0,46,47,49,48,0,0,0.938775510204082,0.979166666666667,44,42,46.1596482534127,0.266898660502093,el,monkey,gorilla,πίθηκος,γορίλλας,πίθηκοςγορίλλας
γουάτσον,1071.35165714935,952.951142858648,1.37818689599023,1.26717867707256,92.1983032396153,126.942404332429,0.348660600341852,0.762557490804832,55,52,0,3,35,7,50,49,0,3,0.7,0.142857142857143,55,52,0,3,29,46,50,49,0,3,0.58,0.938775510204082,35,7,-118.400514290698,-0.111008218917666,el,sherlock,watson,σέρλοκ,γουάτσον,σέρλοκγουάτσον
γουλιά,671.968911100333,728.459046508325,-0.0829609587890446,0.0780224739840113,32.6391104211864,33.4102067797807,0.113313558824514,0.130780866547149,52,52,0,0,45,43,49,49,0,0,0.918367346938776,0.877551020408163,52,52,0,0,46,48,49,49,0,0,0.938775510204082,0.979591836734694,45,43,56.4901354079915,0.160983432773056,el,drop,sip,σταγόνα,γουλιά,σταγόναγουλιά
γουρούνι,588.734770828443,663.575173918165,-0.564607553736772,-0.239081795354056,24.9251030301673,32.7297305892873,0.0674251514428601,0.084854306459237,52,50,0,0,48,46,49,46,0,0,0.979591836734694,1,51,49,1,1,48,44,49,45,0,1,0.979591836734694,0.977777777777778,48,46,74.8404030897219,0.325525758382716,el,cow,pig,αγελάδα,γουρούνι,αγελάδαγουρούνι
γράμμα,550.478224489857,547.177428581297,-0.560770585730526,-0.592107293321655,18.6705681107988,20.1024287335711,0.0793437731696033,0.0713240673536057,52,52,1,1,49,49,49,49,0,0,1,1,51,52,2,1,47,46,48,49,1,0,0.979166666666667,0.938775510204082,49,49,-3.30079590855962,-0.0313367075911289,el,telegram,letter,τηλεγράφημα,γράμμα,τηλεγράφημαγράμμα
γράφω,523.146312507859,573.593122431173,-0.648488353254886,-0.48464046418764,22.3830422288114,37.803137298207,0.131289775169739,0.164415952751179,51,51,1,2,48,49,48,49,1,1,1,1,51,51,1,2,47,46,48,49,1,1,0.979166666666667,0.938775510204082,48,49,50.4468099233145,0.163847889067247,el,read,write,διαβάζω,γράφω,διαβάζωγράφω
γρήγορα,567.7334042792,561.569639987646,-0.571418525704096,-0.601808613567259,29.3272364727695,29.0363633339971,0.0872820876183971,0.100871898699608,52,53,0,0,47,50,48,50,0,0,0.979166666666667,1,52,52,0,1,46,46,48,49,0,1,0.958333333333333,0.938775510204082,47,50,-6.16376429155298,-0.0303900878631636,el,slowly,quickly,αργά,γρήγορα,αργάγρήγορα
γρήγορα.1,560.906142859482,577.268101964067,-0.575050264288149,-0.586202768118329,38.2706673294554,27.1149731470533,0.141596540369366,0.0750294753439028,52,50,0,0,49,49,49,49,0,0,1,1,52,50,0,0,47,47,49,49,0,0,0.959183673469388,0.959183673469388,49,49,16.3619591045857,-0.0111525038301793,el,slow,fast,αργός,γρήγορα,αργόςγρήγορα
γραβάτα,636.257346913875,635.879687512677,-0.364530705939996,-0.167841331411159,32.4737116796959,28.0820392784298,0.136712070799593,0.103995780749337,50,56,0,0,49,48,49,48,0,0,1,1,50,56,0,0,45,47,49,48,0,0,0.918367346938776,0.979166666666667,49,48,-0.377659401198684,0.196689374528837,el,bind,tie,δένω,γραβάτα,δένωγραβάτα
γραμμάριο,608.345891386248,653.318914875944,-0.342990135317092,-0.267586924513865,20.3332372719166,33.7582703521793,0.0793771962082961,0.0858647067965557,50,51,0,0,46,47,48,48,0,0,0.958333333333333,0.979166666666667,50,51,0,0,45,46,48,48,0,0,0.9375,0.958333333333333,46,47,44.9730234896956,0.0754032108032261,el,kilo,gram,κιλό,γραμμάριο,κιλόγραμμάριο
γραφή,590.324551023337,576.589215739288,-0.525324365303056,-0.497893093321635,28.0384873250572,28.085120037634,0.0941804392626799,0.092917359515482,53,55,1,0,49,51,50,52,0,0,0.98,0.980769230769231,53,55,1,0,49,50,50,52,0,0,0.98,0.961538461538462,49,51,-13.735335284049,0.0274312719814211,el,reading,writing,ανάγνωση,γραφή,ανάγνωσηγραφή
γραφείο,595.499978295041,583.121500007856,-0.519141891315402,-0.492175519613166,41.7671050291349,30.2607590533563,0.114183685166851,0.105733065395391,50,51,0,0,46,46,47,46,0,0,0.978723404255319,1,50,51,0,0,45,46,47,46,0,0,0.957446808510638,1,46,46,-12.3784782871852,0.0269663717022352,el,desk,office,θρανίο,γραφείο,θρανίογραφείο
γυμνός,714.696777768701,567.088769243359,-0.0389758651170464,-0.623053429950899,34.9689505566523,23.664949954119,0.134608041503685,0.0696239737355399,51,55,0,1,45,52,46,52,0,0,0.978260869565217,1,50,55,1,1,23,51,45,52,1,0,0.511111111111111,0.980769230769231,45,52,-147.608008525342,-0.584077564833853,el,nude,naked,ανένδυτος,γυμνός,ανένδυτοςγυμνός
γυναίκα,575.072458348427,583.838673463048,-0.543806492819066,-0.364995901416472,32.1649747487251,29.6172923865883,0.100303335429392,0.142170302451455,52,53,0,0,48,49,50,49,0,0,0.96,1,52,53,0,0,50,43,50,49,0,0,1,0.877551020408163,48,49,8.76621511462031,0.178810591402594,el,husband,wife,σύζυγος,γυναίκα,σύζυγοςγυναίκα
γυναίκα.1,554.57565308774,544.541723414024,-0.579627517667461,-0.699571154747919,25.792740967748,15.8002313822277,0.088399407752315,0.0566465982747624,51,54,0,0,49,47,49,47,0,0,1,1,51,54,0,0,46,47,49,47,0,0,0.938775510204082,1,49,47,-10.0339296737166,-0.119943637080457,el,widow,woman,χήρα,γυναίκα,χήραγυναίκα
γυναικεία μονή,930.140404240395,1188.78963635818,1.08297385151965,1.75936348207525,77.0424040356665,85.3457389413578,0.302025437000577,0.265488404455402,53,51,0,5,47,44,52,50,0,4,0.903846153846154,0.88,53,55,0,1,51,52,52,54,0,0,0.980769230769231,0.962962962962963,47,44,258.64923211778,0.676389630555603,el,orphanage,convent,ορφανοτροφείο,γυναικεία μονή,ορφανοτροφείογυναικεία μονή
γόνατο,635.470913063884,630.69736006372,-0.287463440944877,-0.297852798641993,38.6829030267474,25.8109929129489,0.176200255245657,0.0844887764804533,50,55,0,1,46,50,47,50,0,0,0.978723404255319,1,50,55,0,1,45,2,47,50,0,0,0.957446808510638,0.04,46,50,-4.77355300016347,-0.0103893576971162,el,shoulder,knee,ώμος,γόνατο,ώμοςγόνατο
δάνειο,588.589541670442,569.73236733521,-0.523837080404547,-0.530650183237908,29.4515635196826,23.8866870759437,0.0912792553544726,0.0800437924347013,52,53,0,0,48,49,48,49,0,0,1,1,51,53,1,0,47,49,48,49,0,0,0.979166666666667,1,48,49,-18.8571743352317,-0.00681310283336101,el,credit,loan,πίστωση,δάνειο,πίστωσηδάνειο
δάσκαλος,529.107599953389,550.061899995739,-0.696864266803349,-0.626935358108095,19.4261050747925,15.5185319213949,0.0803909410552184,0.0541930908757312,54,50,2,0,50,50,51,50,1,0,0.980392156862745,1,53,50,3,0,48,47,50,50,2,0,0.96,0.94,50,50,20.9543000423502,0.069928908695254,el,student,teacher,φοιτητής,δάσκαλος,φοιτητήςδάσκαλος
δάσος,577.702520843207,605.827340002914,-0.515529011615734,-0.542482788874495,25.7399095802141,50.5955823320564,0.0788459700389228,0.129059844828099,52,54,1,0,48,50,48,51,1,0,1,0.980392156862745,52,54,1,0,45,49,48,51,1,0,0.9375,0.96078431372549,48,50,28.1248191597074,-0.0269537772587608,el,jungle,forest,ζούγκλα,δάσος,ζούγκλαδάσος
