target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,sl_cue,sl_target,sl_word_combo,unrelated_sl_cue
dogodek,,615.900000071502,,-0.382529221454051,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,sl,phenomenon,event,pojav,dogodek,pojavdogodek,narobe
dohodek,568.022500000283,539.349666682557,-0.65993310272589,-0.783104904203076,30.8837444767679,19.8933900199272,0.102628451786528,0.0517143659129257,4,3,0,0,4,3,4,3,0,0,1,1,4,3,0,0,3,3,4,3,0,0,0.75,1,4,3,-28.672833317726,-0.123171801477186,sl,profit,income,dobiček,dohodek,dobičekdohodek,žaba
dokaz,547.954999906593,,-0.734017389969601,,24.0391249754747,,0.239260072906732,,3,,0,,3,,3,,0,,1,,3,,0,,3,,3,,0,,1,,3,,,,sl,evidence,proof,dokazilo,dokaz,dokazilodokaz,odmerek
dokument,652.695499964248,800.090250011941,-0.323343992958378,0.272167766127327,86.1441363050328,255.676545056856,0.146904970193374,0.895737988358066,4,4,0,0,4,4,4,4,0,0,1,1,4,4,0,0,4,4,4,4,0,0,1,1,4,4,147.394750047693,0.595511759085705,sl,file,document,datoteka,dokument,datotekadokument,vročina
dolar,541.099666714736,570.464499988855,-0.606785328330441,-0.620807086161665,68.8238016910877,129.23549998735,0.176476101940024,0.260422218418799,3,2,0,0,3,2,3,2,0,0,1,1,3,2,0,0,1,2,3,2,0,0,0.333333333333333,1,3,2,29.3648332741191,-0.0140217578312237,sl,pound,dollar,funt,dolar,funtdolar,avtor
dolg,556.432199947559,,-0.61321333082382,,32.2103079210094,,0.218589908277977,,5,,0,,5,,5,,0,,1,,5,,0,,5,,5,,0,,1,,5,,,,sl,short,long,kratek,dolg,kratekdolg,bežati
dolina,407.232000011951,610.950000083438,-0.971065509270022,-0.0432970973123128,17.93199991656,22.9499999880645,0.116425451290446,0.266461988954319,2,2,0,0,2,2,2,2,0,0,1,1,2,2,0,0,2,2,2,2,0,0,1,1,2,2,203.718000071487,0.92776841195771,sl,desert,valley,puščava,dolina,puščavadolina,atomsko
dolžina,825.301333333366,,0.403991909843127,,397.013267453162,,1.40770642366196,,3,,0,,3,,3,,0,,1,,3,,0,,3,,3,,0,,1,,3,,,,sl,size,length,velikost,dolžina,velikostdolžina,nasvet
dolžnost,460.330666698438,,-0.862514183976969,,5.98407950243061,,0.121756334904164,,3,,0,,3,,3,,0,,1,,3,,0,,3,,3,,0,,1,,3,,,,sl,responsibility,duty,odgovornost,dolžnost,odgovornostdolžnost,strelec
donacija,494.900000065594,,-0.729356323762504,,31.5999999225315,,0.234523755190824,,2,,0,,2,,2,,0,,1,,2,,0,,2,,2,,0,,1,,2,,,,sl,charity,donation,dobrodelnost,donacija,dobrodelnostdonacija,cesarski
dostojanstvo,810.533333373042,762.773333347634,0.214370044062301,-0.151672080814332,74.3645599738282,197.223532427131,0.0765232750430784,0.345273814030134,3,3,0,0,3,3,3,3,0,0,1,1,3,3,0,0,3,3,3,3,0,0,1,1,3,3,-47.7600000254083,-0.366042124876633,sl,pride,dignity,ponos,dostojanstvo,ponosdostojanstvo,konstrukcija
dragulj,546.353333328618,428.395999976201,-0.498469846825998,-0.846504912691831,65.1796658853187,,0.566530862628869,,3,1,0,0,3,1,3,1,0,0,1,1,3,1,0,0,2,1,3,1,0,0,0.666666666666667,1,3,1,-117.957333352417,-0.348035065865833,sl,diamond,jewel,diamant,dragulj,diamantdragulj,večerja
drevo,614.350000000035,436.355666698655,-0.55484250433756,-0.797826904167937,32.649999999965,30.3080492926508,0.163501215791191,0.0426309661504475,2,3,0,0,2,3,2,3,0,0,1,1,2,3,0,0,2,3,2,3,0,0,1,1,2,3,-177.99433330138,-0.242984399830377,sl,bush,tree,grm,drevo,grmdrevo,realnost
droga,539.119999952294,467.02050014303,-0.59198474895396,-0.684189180681337,31.679999952292,9.7205001430415,0.33431107464565,0.0403058104045318,2,2,0,0,2,2,2,2,0,0,1,1,2,2,0,0,2,2,2,2,0,0,1,1,2,2,-72.0994998092644,-0.0922044317273772,sl,alcohol,drug,alkohol,droga,alkoholdroga,dojenček
drugačen,434,556.89819999761,-1.11791186566488,-0.461767252342749,,21.3926627366625,,0.188693472154157,1,5,0,0,1,5,1,5,0,0,1,1,1,5,0,0,1,4,1,5,0,0,1,0.8,1,5,122.89819999761,0.656144613322128,sl,similar,different,podoben,drugačen,podobendrugačen,maraton
družina,595.299999988085,505.574666674637,-0.657941772194606,-0.764001792084091,84.700000011973,47.7179907529242,0.388554880667656,0.297851463585857,2,3,0,0,2,3,2,3,0,0,1,1,2,3,0,0,2,3,2,3,0,0,1,1,2,3,-89.725333313448,-0.106060019889486,sl,clan,family,klan,družina,klandružina,zrak
država,477.420000000042,556.051000047708,-0.80269438118175,-0.724936909937085,4.599999999977,,0.0817050388372776,,2,1,0,0,2,1,2,1,0,0,1,1,2,1,0,0,2,1,2,1,0,0,1,1,2,1,78.631000047666,0.0777574712446648,sl,federal,state,zvezen,država,zvezendržava,počasno
duh,481.306666666681,487.350000000035,-0.88933762675348,-1.04630630579123,19.2269683286442,21.849999952305,0.105125995556097,0.301784701071837,3,2,0,0,3,2,3,2,0,0,1,1,3,2,0,0,2,2,3,2,0,0,0.666666666666667,1,3,2,6.04333333335438,-0.156968679037749,sl,soul,spirit,duša,duh,dušaduh,članek
duhovnik,499.269799962157,,-0.627672691497771,,32.756118882333,,0.111228063668845,,5,,0,,5,,5,,0,,1,,5,,0,,4,,5,,0,,0.8,,5,,,,sl,monk,priest,menih,duhovnik,menihduhovnik,regijski
edinstven,862.099999984106,651.200000095356,0.372770813280299,0.73346113342794,78.4060159334487,,0.268149783066779,,3,1,0,0,3,1,3,1,0,0,1,1,3,1,0,0,3,1,3,1,0,0,1,1,3,1,-210.89999988875,0.360690320147641,sl,special,unique,poseben,edinstven,posebenedinstven,krava
ekipa,476.899999809277,486.80000004766,-1.28753527992194,-0.593955040210813,,,,,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,9.90000023838297,0.693580239711125,sl,league,team,liga,ekipa,ligaekipa,odpreti
eksplodirati,695,,-0.200399715273248,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,,sl,burst,explode,počiti,eksplodirati,počitieksplodirati,izjemen
eksplozija,556.417999984502,,-0.530524302877829,,57.4034310021392,,0.193500756028509,,3,,0,,3,,3,,0,,1,,3,,0,,3,,3,,0,,1,,3,,,,sl,earthquake,explosion,potres,eksplozija,potreseksplozija,lažen
eksploziven,521,,-0.856985349892426,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,,sl,bomb,explosive,bomba,eksploziven,bombaeksploziven,obletnica
eleganten,732.232399990456,691.600000000093,-0.0834042607902324,-0.344903434216431,112.927358876968,,0.234388063530016,,5,1,0,0,5,1,5,1,0,0,1,1,5,1,0,0,5,1,5,1,0,0,1,1,5,1,-40.632399990363,-0.261499173426199,sl,fashionable,elegant,moden,eleganten,modeneleganten,dnevno
elektrika,584.615000190679,431.747999999905,-0.422250720166045,-0.903123282204533,,,,,1,2,0,0,1,1,1,2,0,0,1,0.5,1,2,0,0,1,2,1,2,0,0,1,1,1,1,-152.867000190774,-0.480872562038488,sl,current,electricity,tok,elektrika,tokelektrika,razlog
električen,644.744999964227,597.100000047707,-0.334938662568719,-0.715004414980483,59.8034950885252,85.299999952316,0.292891992659796,0.133715932615334,4,2,0,0,4,2,4,2,0,0,1,1,4,2,0,0,4,2,4,2,0,0,1,1,4,2,-47.6449999165197,-0.380065752411764,sl,magnetic,electric,magneten,električen,magnetenelektričen,baza
element,684.169999976177,660.153333333321,0.403548956352255,-0.220360626822175,,42.1875437118721,,0.218070207406022,1,3,0,0,1,3,1,3,0,0,1,1,1,3,0,0,1,3,1,3,0,0,1,1,1,3,-24.016666642856,-0.62390958317443,sl,factor,element,faktor,element,faktorelement,milijonar
energija,498.55333332147,651.49999995227,-0.639606391770812,-0.537898755604155,44.5376190592417,,0.381666902727822,,3,1,0,0,3,1,3,1,0,0,1,1,3,1,0,0,3,1,3,1,0,0,1,1,3,1,152.9466666308,0.101707636166658,sl,power,energy,moč,energija,močenergija,kuhar
enostavno,474.149999999965,566.110000005545,-0.810268120830868,-0.551879370474708,9.73000000004001,121.61607089077,0.104358725040557,0.425717067548738,2,4,0,0,2,4,2,4,0,0,1,1,2,4,0,0,2,4,2,4,0,0,1,1,2,4,91.9600000055798,0.258388750356159,sl,impossible,easy,nemogoče,enostavno,nemogočeenostavno,varovanje
enostavno,474.149999999965,566.110000005545,-0.810268120830868,-0.551879370474708,9.73000000004001,121.61607089077,0.104358725040557,0.425717067548738,2,4,0,0,2,4,2,4,0,0,1,1,2,4,0,0,2,4,2,4,0,0,1,1,2,4,91.9600000055798,0.258388750356159,sl,impossible,easy,nemogoče,enostavno,nemogočeenostavno,pošta
enostavno.1,570.119999982708,,-0.601017691778008,,63.2982417258304,,0.117236448100319,,5,,0,,5,,5,,0,,1,,5,,0,,5,,5,,0,,1,,5,,,,sl,simply,simple,preprosto,enostavno,preprostoenostavno,varovanje
enostavno.1,570.119999982708,,-0.601017691778008,,63.2982417258304,,0.117236448100319,,5,,0,,5,,5,,0,,1,,5,,0,,5,,5,,0,,1,,5,,,,sl,simply,simple,preprosto,enostavno,preprostoenostavno,pošta
epidemija,636.286666638858,561.53333330055,-0.624445266118421,-0.543639350199611,142.835283370168,31.8177274263527,0.386862959670435,0.092056750638983,3,3,0,0,3,3,3,3,0,0,1,1,3,3,0,0,3,3,3,3,0,0,1,1,3,3,-74.7533333383087,0.0808059159188097,sl,plague,epidemic,kuga,epidemija,kugaepidemija,videti
epizoda,546.705333317591,588.999999856925,-0.568295107818549,-0.585513468947617,71.571875320129,156.799999952316,0.241247563382031,0.222113292124076,3,2,0,0,3,2,3,2,0,0,1,1,3,2,0,0,3,2,3,2,0,0,1,1,3,2,42.2946665393345,-0.0172183611290685,sl,series,episode,serija,epizoda,serijaepizoda,morje
erekcija,655.63400002406,577.34999997617,-0.56382721176267,-0.52114603809463,82.3660000236706,35.65000002383,0.118467365426076,0.0771851636699175,2,2,0,0,2,2,2,2,0,0,1,1,2,2,0,0,2,2,2,2,0,0,1,1,2,2,-78.2840000478895,0.04268117366804,sl,orgasm,erection,orgazem,erekcija,orgazemerekcija,čist
faks,851.000000000058,440.100000047591,0.170863227307655,-1.09325087521452,,,,,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,-410.899999952467,-1.26411410252217,sl,mail,fax,pošta,faks,poštafaks,igrati
fant,478.350000119244,497.900000000024,-0.962744498077253,-0.619771789431494,4.15000002382999,62.0999999999765,0.334069935857093,0.0351631752947198,2,2,0,0,2,2,2,2,0,0,1,1,2,2,0,0,2,2,2,2,0,0,1,1,2,2,19.5499998807795,0.342972708645759,sl,girl,boy,dekle,fant,deklefant,neudobno
fantastično,592.540499996042,591.490333297581,-0.410458304764714,-0.281327540984698,50.2021048759325,17.7956602104128,0.238233740520323,0.0991792539026803,6,3,0,0,6,3,6,3,0,0,1,1,6,3,0,0,6,3,6,3,0,0,1,1,6,3,-1.05016669846168,0.129130763780016,sl,wonderful,fantastic,čudovito,fantastično,čudovitofantastično,menih
fantazija,540.630800007155,,-0.782744623546346,,41.410388406823,,0.170597982744262,,5,,0,,5,,5,,0,,1,,5,,0,,5,,5,,0,,1,,5,,,,sl,reality,fantasy,realnost,fantazija,realnostfantazija,tuna
federacija,716.224250071522,760.799999856972,0.0320858588500248,-0.161611272471824,21.629666438998,156.799999856972,0.118853888341323,0.388640290978358,4,2,0,0,4,2,4,2,0,0,1,1,4,2,0,0,4,2,4,2,0,0,1,1,4,2,44.5757497854501,-0.193697131321849,sl,colony,federation,kolonija,federacija,kolonijafederacija,dež
festival,887.808750014316,599.34999997617,0.673339184537274,-0.632895613939452,216.909003984914,69.7419708464566,0.864634470021459,0.222825941917014,4,4,0,0,4,4,4,4,0,0,1,1,4,4,0,0,4,3,4,4,0,0,1,0.75,4,4,-288.458750038146,-1.30623479847673,sl,carnival,festival,karneval,festival,karnevalfestival,tek
film,,501.800000000047,,-1.0784257046477,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,sl,porn,movie,pornografija,film,pornografijafilm,zvestoba
financiranje,698.366666618502,727.079333371134,-0.490341735118694,0.496275195539891,128.744220969813,41.7318330814974,0.20347345987429,0.0972502845026887,3,3,0,0,3,3,3,3,0,0,1,1,3,3,0,0,3,3,3,3,0,0,1,1,3,3,28.712666752632,0.986616930658585,sl,financially,financing,finančno,financiranje,finančnofinanciranje,puščava
financiranje,698.366666618502,727.079333371134,-0.490341735118694,0.496275195539891,128.744220969813,41.7318330814974,0.20347345987429,0.0972502845026887,3,3,0,0,3,3,3,3,0,0,1,1,3,3,0,0,3,3,3,3,0,0,1,1,3,3,28.712666752632,0.986616930658585,sl,financially,financing,finančno,financiranje,finančnofinanciranje,skrajno
financiranje.1,506.099999999977,718.699999997043,-0.576602579663322,-0.395626003928858,,,,,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,212.599999997066,0.180976575734465,sl,budget,funding,proračun,financiranje,proračunfinanciranje,puščava
financiranje.1,506.099999999977,718.699999997043,-0.576602579663322,-0.395626003928858,,,,,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,212.599999997066,0.180976575734465,sl,budget,funding,proračun,financiranje,proračunfinanciranje,skrajno
finančen,523.71849998209,613.323374982218,-0.764711639809291,-0.379884248149846,0.881499994022533,53.0488236543237,0.0130761211578531,0.134326708001579,2,8,0,0,2,8,2,8,0,0,1,1,2,8,0,0,1,7,2,8,0,0,0.5,0.875,2,8,89.604875000128,0.384827391659445,sl,banking,financial,bančništvo,finančen,bančništvofinančen,telo
fizičen,574.650000000023,615.051000047708,-0.445500181847772,-0.451237964666132,,,,,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,40.401000047685,-0.00573778281835985,sl,sexual,physical,spolen,fizičen,spolenfizičen,bencin
flota,746.299999999988,811.051000047708,-0.361681814131743,0.457999209454323,,,,,2,1,0,0,1,1,2,1,0,0,0.5,1,2,1,0,0,2,0,2,1,0,0,1,0,1,1,64.75100004772,0.819681023586066,sl,naval,fleet,pomorski,flota,pomorskiflota,rama
fortuna,,1075.20000009537,,0.489032079426709,,,,,,3,,0,,1,,3,,0,,0.333333333333333,,3,,0,,3,,3,,0,,1,,1,,,sl,fate,destiny,usoda,fortuna,usodafortuna,rjava
fotograf,578.556000011915,500.600000143051,0.123340919885813,-0.854469625286606,90.623999988078,,0.673069091048155,,2,1,0,0,2,1,2,1,0,0,1,1,2,1,0,0,2,1,2,1,0,0,1,1,2,1,-77.955999868864,-0.97781054517242,sl,autograph,photographer,avtogram,fotograf,avtogramfotograf,miš
fotografija,595.810199966631,472.800000000047,-0.291978619106714,-0.52626111510413,50.1534856433437,,0.373589039616694,,5,1,0,0,5,1,5,1,0,0,1,1,5,1,0,0,5,1,5,1,0,0,1,1,5,1,-123.010199966584,-0.234282495997416,sl,picture,photo,slika,fotografija,slikafotografija,obstati
francoščina,509.443000003967,,-0.733697709021542,,45.1761630492547,,0.183227593734974,,6,,0,,6,,6,,0,,1,,6,,0,,6,,6,,0,,1,,6,,,,sl,english,french,angleščina,francoščina,angleščinafrancoščina,omogočiti
funkcionalen,1029.66666658721,626.849666666705,0.482127000050081,-0.398874330034852,372.432509887339,41.299905570226,0.936563429116505,0.0779731493794549,3,3,0,0,3,3,3,3,0,0,1,1,3,3,0,0,3,3,3,3,0,0,1,1,3,3,-402.816999920507,-0.881001330084934,sl,operational,functional,delujoč,funkcionalen,delujočfunkcionalen,ime
galaksija,596.404999992034,437.379999999888,-0.376827970280845,-0.716610487167665,71.528863817217,,0.241656130529715,,3,1,0,0,3,1,3,1,0,0,1,1,3,1,0,0,3,1,3,1,0,0,1,1,3,1,-159.024999992146,-0.33978251688682,sl,universe,galaxy,vesolje,galaksija,vesoljegalaksija,pozitiven
garaža,586.850999976217,,-0.250985388252298,,87.875701668524,,0.341735541241277,,4,,0,,4,,4,,0,,1,,4,,0,,4,,4,,0,,1,,4,,,,sl,workshop,garage,delavnica,garaža,delavnicagaraža,prst
gazirana pijača,808.049999982118,801.743333305473,0.271890423046478,0.689470943659065,55.9500000178815,132.594481589313,0.0296834701753643,0.477773641012253,2,3,0,0,2,3,2,3,0,0,1,1,2,3,0,0,2,3,2,3,0,0,1,1,2,3,-6.30666667664525,0.417580520612587,sl,lemonade,soda,limonada,gazirana pijača,limonadagazirana pijača,kraljica
gej,,743.599999999976,,-0.196565957506461,,87.5999999999765,,0.161515040943761,,2,,0,,2,,2,,0,,1,,2,,0,,2,,2,,0,,1,,2,,,sl,lesbian,gay,lezbijka,gej,lezbijkagej,avenija
geslo,,455.051000047708,,-1.19347239251956,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,sl,code,password,koda,geslo,kodageslo,morski pes
glas,398.332500143063,524.225500011933,-0.986483564280696,-1.02010529381678,37.5674999523035,98.825500035775,0.202994276311562,0.605979050543323,2,2,0,0,2,2,2,2,0,0,1,1,2,2,0,0,2,2,2,2,0,0,1,1,2,2,125.89299986887,-0.033621729536087,sl,majority,vote,večina,glas,večinaglas,svetilka
glasba,967.349999998465,593.000000000466,0.729347208680329,-0.447394040750122,54.349999998465,,0.153824310661817,,2,1,0,0,2,1,2,1,0,0,1,1,2,1,0,0,1,1,2,1,0,0,0.5,1,2,1,-374.349999997999,-1.17674124943045,sl,jazz,music,jazz,glasba,jazzglasba,vroč
glasbenik,420.92599999404,422.800000000047,-1.12399920525575,-0.812118604943936,29.1340000178895,,0.107245977239126,,2,1,0,0,2,1,2,1,0,0,1,1,2,1,0,0,2,1,2,1,0,0,1,1,2,1,1.87400000600655,0.31188060031181,sl,singer,musician,pevec,glasbenik,pevecglasbenik,padec
gledališče,602.989333317421,545.288749976113,0.159057710418664,-0.852973020487692,94.4802877977534,57.0287621447879,0.848146019042107,0.12599247832776,3,4,0,0,3,4,3,4,0,0,1,1,3,4,0,0,2,4,3,4,0,0,0.666666666666667,1,3,4,-57.7005833413083,-1.01203073090636,sl,cinema,theater,kino,gledališče,kinogledališče,škof
gledati,549.04966669845,502.300000000008,-0.713236600245759,-0.77398677746379,86.669167752596,24.6037639396936,0.183457216041215,0.0723152580807536,3,3,0,0,3,3,3,3,0,0,1,1,3,3,0,0,3,3,3,3,0,0,1,1,3,3,-46.749666698442,-0.0607501772180316,sl,look,watch,pogledati,gledati,pogledatigledati,stric
gluh,518.845999940386,519.802999999986,-0.913126581140587,-0.54823316922131,37.891063518355,56.3970000000265,0.0771766822705013,0.259788393897296,4,2,0,0,4,2,4,2,0,0,1,1,4,2,0,0,4,2,4,2,0,0,1,1,4,2,0.957000059599523,0.364893411919277,sl,blind,deaf,slep,gluh,slepgluh,poskus
goljufija,543.100000023842,557.245250005959,-0.778777140631967,-0.463938566899594,33.299999976065,85.439015853316,0.0326915999949566,0.303888271269357,2,4,0,0,2,4,2,4,0,0,1,1,2,4,0,0,2,3,2,4,0,0,1,0.75,2,4,14.145249982117,0.314838573732373,sl,conspiracy,fraud,zarota,goljufija,zarotagoljufija,prostovoljec
gor,625.59999997617,1636.89899999998,-0.629241997712968,2.9561994495811,,,,,1,3,0,0,1,1,1,3,0,0,1,0.333333333333333,1,3,0,0,1,2,1,3,0,0,1,0.666666666666667,1,1,1011.29900002381,3.58544144729406,sl,down,up,dol,gor,dolgor,begunec
gora,490.322000005981,512.118333385268,-0.980381548258257,-0.867606816705074,,71.8653533954188,,0.419587813110139,1,3,0,0,1,3,1,3,0,0,1,1,1,3,0,0,1,3,1,3,0,0,1,1,1,3,21.7963333792866,0.112774731553183,sl,hill,mountain,hrib,gora,hribgora,poslušati
gorivo,,574.454000047641,,-0.170856602536993,,164.825999952387,,0.741677395444447,,2,,0,,2,,2,,0,,1,,2,,0,,2,,2,,0,,1,,2,,,sl,gas,fuel,bencin,gorivo,bencingorivo,pravzaprav
