target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,zh_cue,zh_target,zh_word_combo,unrelated_zh_cue
专家,568.029719999967,603.403208344183,-0.45583089120255,-0.304740179958855,20.1696528000124,41.7931334362902,0.0806688022516301,0.192306845893334,58,57,2,2,50,48,50,48,0,0,1,1,57,57,3,2,38,45,49,48,1,0,0.775510204081633,0.9375,50,48,35.3734883442163,0.151090711243695,zh,expert,specialist,能手,专家,能手专家,荷尔蒙
世界,511.020859644512,474.335967743381,-0.598413518234775,-0.820875687763706,21.4876883122294,11.9583340339445,0.0748457100537661,0.0529093988130206,70,67,1,2,57,62,57,63,0,1,1,0.984126984126984,69,66,2,3,54,62,57,63,0,1,0.947368421052632,0.984126984126984,57,62,-36.6848919011314,-0.222462169528931,zh,international,world,国际,世界,国际世界,自由
东方,471.493277775519,662.866923079665,-0.750937498645637,-0.0493620812430229,15.8203311441328,35.4510998829238,0.0586445614338839,0.123837885773617,65,57,2,1,54,52,54,54,1,1,1,0.962962962962963,65,58,2,0,53,54,54,55,1,0,0.981481481481482,0.981818181818182,54,52,191.373645304146,0.701575417402614,zh,west,east,西方,东方,西方东方,质疑
个人,508.696200008144,600.745222220534,-0.641248523930295,-0.399997880747998,16.8416289379322,25.7535431244586,0.0667999716329349,0.100297140511619,54,60,0,0,45,45,46,46,0,0,0.978260869565217,0.978260869565217,54,60,0,0,46,46,46,46,0,0,1,1,45,45,92.0490222123897,0.241250643182297,zh,person,individual,私人,个人,私人个人,休息
中午,519.307740729222,553.62465909305,-0.667232097136384,-0.519697970486959,19.5458039946373,15.5703909163,0.0792762973304376,0.0541282186757588,88,54,0,0,81,44,82,44,0,0,0.98780487804878,1,88,54,0,0,80,38,82,44,0,0,0.975609756097561,0.863636363636364,81,44,34.3169183638286,0.147534126649425,zh,midnight,noon,半夜,中午,半夜中午,主教
中尉,643.40658823364,737.336140624478,-0.212614120507964,0.192673474841174,46.6525409614554,38.4103514812525,0.160873759903943,0.126692406281324,58,78,2,1,35,64,38,72,1,1,0.921052631578947,0.888888888888889,58,78,2,1,32,70,37,72,2,1,0.864864864864865,0.972222222222222,34,64,93.9295523908376,0.405287595349138,zh,sergeant,lieutenant,军士,中尉,军士中尉,微笑
主页,658.648106365662,649.940999996095,-0.105800747223199,-0.192378652215252,56.2998533309434,30.8212449298368,0.190710375089792,0.104212715401598,65,56,3,0,47,47,47,47,1,0,1,1,64,56,4,0,43,47,47,47,1,0,0.914893617021277,1,47,47,-8.70710636956744,-0.0865779049920533,zh,internet,web,网络,主页,网络主页,喉咙
主题,527.642999980609,550.390438611914,-0.609798372156897,-0.470113619295119,19.2040004175272,15.5140241263056,0.0711441869149178,0.061724095037921,69,61,0,1,54,57,55,57,0,1,0.981818181818182,1,69,61,0,1,55,40,55,57,0,1,1,0.701754385964912,54,57,22.7474386313054,0.139684752861778,zh,object,subject,目的,主题,目的主题,印记
义务,590.101684206408,599.286666669496,-0.418222688045008,-0.328068589124322,44.1587409624591,28.8794408674525,0.155311685616572,0.116174482657448,71,62,1,0,57,54,59,54,0,0,0.966101694915254,1,71,62,1,0,57,52,59,54,0,0,0.966101694915254,0.962962962962963,57,54,9.1849824630882,0.0901540989206861,zh,responsibility,duty,责任,义务,责任义务,手势
乐师,652.538102047473,796.921550713571,-0.115307504397219,0.561419254058297,44.3428144769501,30.4025425276393,0.127578074027519,0.13221849765638,62,104,0,0,50,69,51,97,0,0,0.980392156862745,0.711340206185567,62,104,0,0,51,87,51,97,0,0,1,0.896907216494845,49,69,144.383448666098,0.676726758455516,zh,singer,musician,歌手,乐师,歌手乐师,落下
乐队,536.279755557287,548.47874419668,-0.556675174390379,-0.478760309108616,22.1152449486312,20.3314578794153,0.066958092235287,0.0731665945205363,58,53,2,2,45,43,45,43,0,0,1,1,57,53,3,2,33,43,45,43,0,0,0.733333333333333,1,45,43,12.1989886393932,0.0779148652817639,zh,orchestra,band,管弦,乐队,管弦乐队,地点
书房,515.460437499156,585.875849059363,-0.656515299211165,-0.408679023386266,14.9269576444633,33.9316369320114,0.0544019769825149,0.107994950277072,56,68,2,1,48,53,48,54,0,0,1,0.981481481481482,56,68,2,1,47,50,48,54,0,0,0.979166666666667,0.925925925925926,48,53,70.4154115602075,0.247836275824899,zh,desk,office,桌子,书房,桌子书房,这里
书籍,542.612297859792,562.377833326118,-0.493224155328428,-0.453443825258887,24.1140611989297,23.312745881668,0.0758642979682235,0.0648010250192859,59,58,2,1,47,42,47,43,0,1,1,0.976744186046512,59,59,2,0,44,42,47,44,0,0,0.936170212765957,0.954545454545455,47,42,19.7655354663262,0.0397803300695405,zh,bible,book,圣经,书籍,圣经书籍,绝对
买方,601.693021732659,728.462366664778,-0.431725197231969,0.19949783116123,39.916551253037,37.3021500643314,0.117078987754994,0.138481831361601,58,67,0,1,46,31,47,54,0,1,0.978723404255319,0.574074074074074,57,68,1,0,45,55,47,55,0,0,0.957446808510638,1,46,30,126.769344932119,0.6312230283932,zh,seller,buyer,卖家,买方,卖家买方,皮肤
争议,569.299071424291,777.866347818698,-0.464987383545896,0.243496181233158,27.8642116581572,76.1320276702657,0.095509409656544,0.260753994161265,56,59,2,1,42,46,42,46,1,0,1,1,56,59,2,1,42,41,42,46,1,0,1,0.891304347826087,42,46,208.567276394407,0.708483564779054,zh,conflict,dispute,冲突,争议,冲突争议,巢
事件,546.616307692021,572.963488379547,-0.555298453931923,-0.413916678860946,24.1166520115601,21.6418593703637,0.0742316827444612,0.0912886205805746,56,53,1,1,39,43,39,43,0,0,1,1,56,53,1,1,38,41,39,43,0,0,0.974358974358974,0.953488372093023,39,43,26.3471806875261,0.141381775070977,zh,phenomenon,event,现象,事件,现象事件,将军
产品,569.305333333181,513.827083323061,-0.431021620470711,-0.651513953234893,33.2003875573865,12.9452996245667,0.119144013669309,0.056601061744695,60,57,3,1,51,48,52,48,1,0,0.980769230769231,1,61,58,2,0,50,47,53,48,0,0,0.943396226415094,0.979166666666667,51,48,-55.4782500101205,-0.220492332764182,zh,brand,product,商标,产品,商标产品,工厂
产物,763.037069760469,719.221425558372,0.275697230612396,0.00215857518187321,64.9486802144388,57.1161838935715,0.211329092198281,0.186167728473032,52,56,0,1,43,47,44,48,0,0,0.977272727272727,0.979166666666667,52,55,0,2,44,44,44,47,0,1,1,0.936170212765957,43,47,-43.8156442020972,-0.273538655430523,zh,result,outcome,结果,产物,结果产物,数目
亲密,574.773918381541,533.563938769401,-0.447522501468972,-0.544906205191938,23.4697727839923,15.8556816585463,0.0972477391421492,0.0859762809779189,64,60,1,1,50,49,50,50,1,0,1,0.98,65,60,0,1,49,47,51,50,0,0,0.96078431372549,0.94,49,49,-41.2099796121403,-0.097383703722966,zh,personal,intimate,私人,亲密,私人亲密,金属
人类,582.146509792384,533.276333333741,-0.457764141399525,-0.580778291944405,45.724183363517,24.3554216614981,0.139488174741728,0.0858027538771082,55,53,2,1,51,42,51,42,0,0,1,1,55,53,2,1,51,41,51,42,0,0,1,0.976190476190476,51,42,-48.8701764586433,-0.12301415054488,zh,man,human,男子,人类,男子人类,柜子
人造,569.967791676994,677.571577779471,-0.440469635276993,-0.0695933392078323,28.9151013261123,34.550767958281,0.0949411585003071,0.116494678680946,56,63,0,1,48,45,48,48,0,0,1,0.9375,56,64,0,0,46,47,48,48,0,0,0.958333333333333,0.979166666666667,48,45,107.603786102477,0.370876296069161,zh,natural,artificial,天然,人造,天然人造,秘书
仁慈,547.111111100139,653.742140616932,-0.492537436508701,-0.146289432560439,22.4423192939735,21.5025536360478,0.0913212589075767,0.095171586597909,58,73,0,0,45,65,45,68,0,0,1,0.955882352941177,58,73,0,0,40,67,45,68,0,0,0.888888888888889,0.985294117647059,45,64,106.631029516793,0.346248003948262,zh,forgiveness,mercy,饶恕,仁慈,饶恕仁慈,优秀
仆人,590.568062513015,633.36348837586,-0.40071364793354,-0.132292709142644,26.9242698878084,28.8394670299071,0.0719684509432164,0.106208729752627,57,55,1,1,48,43,49,45,0,1,0.979591836734694,0.955555555555556,57,55,1,1,48,44,49,45,0,1,0.979591836734694,0.977777777777778,48,43,42.7954258628451,0.268420938790896,zh,slave,servant,奴隶,仆人,奴隶仆人,昂贵
仍然,507.617019620739,647.998439993913,-0.659888501412921,-0.294203075800738,16.4750641679815,40.6793315803579,0.0521031163935148,0.127071465651539,55,61,1,1,51,50,51,52,1,0,1,0.961538461538462,55,61,1,1,50,51,51,52,1,0,0.980392156862745,0.980769230769231,51,50,140.381420373173,0.365685425612183,zh,already,still,已经,仍然,已经仍然,哲学
仓库,505.570205132584,540.676306453976,-0.737650497446246,-0.531822398260716,18.6045493252323,25.5337354723274,0.0589623995988431,0.0847796951426002,51,71,1,1,39,62,39,62,0,0,1,1,51,71,1,1,36,62,39,62,0,0,0.923076923076923,1,39,62,35.1061013213924,0.20582809918553,zh,shop,store,店铺,仓库,店铺仓库,签名
仪器,555.336940015635,605.913604167094,-0.48003168067531,-0.356789071481639,31.3647812898044,23.2814092309614,0.133700092959345,0.0736316917123238,54,56,0,0,50,48,50,49,0,0,1,0.979591836734694,54,56,0,0,50,47,50,49,0,0,1,0.959183673469388,50,48,50.5766641514589,0.123242609193671,zh,tool,instrument,工具,仪器,工具仪器,按钮
仪表,710.876176457984,621.528181820969,0.0628809468262501,-0.314044939670676,65.9122147184391,37.2632490307664,0.241744921949759,0.107384189140353,59,51,2,0,51,44,54,44,0,0,0.944444444444444,1,59,51,2,0,50,39,54,44,0,0,0.925925925925926,0.886363636363636,51,44,-89.3479946370155,-0.376925886496926,zh,kilometer,meter,公里,仪表,公里仪表,专辑
价钱,614.687764719822,609.095926821775,-0.262742720699316,-0.286878189390137,33.1137372933879,32.6554717088061,0.10389644303722,0.130453752045711,58,54,0,0,51,41,53,41,0,0,0.962264150943396,1,58,54,0,0,53,40,53,41,0,0,1,0.975609756097561,51,41,-5.59183789804649,-0.0241354686908208,zh,value,price,价值,价钱,价值价钱,水手
企业,528.900555553009,620.756897954156,-0.565335530262928,-0.297749708474565,22.6983264838066,37.8665178611661,0.0722872239227814,0.123216348850833,59,57,1,0,45,49,45,50,0,0,1,0.98,59,57,1,0,45,49,45,50,0,0,1,0.98,45,49,91.8563424011473,0.267585821788363,zh,company,corporation,公司,企业,公司企业,小偷
伏特加,573.683068186201,719.183500003439,-0.407747262265108,0.169703404407678,19.6686812706758,41.7149194361906,0.0765411371435859,0.135186852417201,60,58,1,0,44,40,45,43,0,0,0.977777777777778,0.930232558139535,60,58,1,0,40,33,45,43,0,0,0.888888888888889,0.767441860465116,44,40,145.500431817238,0.577450666672785,zh,whiskey,vodka,威士忌,伏特加,威士忌伏特加,极其
优雅,588.942795908733,549.689890623041,-0.453548820852296,-0.529096794465857,53.8010428931726,26.8556373340863,0.143701215518491,0.091817521215223,59,77,0,2,49,64,50,66,0,1,0.98,0.96969696969697,59,77,0,2,45,62,50,66,0,1,0.9,0.93939393939394,49,64,-39.2529052856914,-0.0755479736135601,zh,fashionable,elegant,时髦,优雅,时髦优雅,到达
会议,579.101795460911,573.03296724209,-0.461847611362815,-0.468194159968802,45.1853034097753,25.8603097453419,0.141402027311697,0.0771832368587327,54,77,1,1,44,61,45,61,0,1,0.977777777777778,1,54,77,1,1,36,60,45,61,0,1,0.8,0.983606557377049,44,61,-6.06882821882107,-0.00634654860598693,zh,conference,meeting,商讨,会议,商讨会议,私人
伟大,547.420703703546,522.466725490717,-0.511887190232354,-0.64974580225118,30.557076589125,18.4545868115935,0.100058709493514,0.0599413597651105,66,59,2,1,54,51,54,51,0,1,1,1,67,60,1,0,54,51,54,52,0,0,1,0.980769230769231,54,51,-24.9539782128289,-0.137858612018826,zh,excellent,great,优秀,伟大,优秀伟大,离开
传奇,525.092897423572,531.484208351617,-0.567534972733406,-0.648114900292916,29.3188115588359,23.2800263913062,0.0995985073568215,0.0736543990251887,56,57,2,1,39,48,39,49,1,0,1,0.979591836734694,55,56,3,2,39,46,39,49,1,0,1,0.938775510204082,39,48,6.39131092804473,-0.0805799275595093,zh,myth,legend,神话,传奇,神话传奇,情妇
传真,631.056978251575,738.472203386085,-0.28980318591483,0.18401790755655,29.5586491022529,39.4418555340116,0.0933060909203813,0.151600089265242,53,73,0,1,46,59,47,66,0,0,0.978723404255319,0.893939393939394,52,73,1,1,45,65,46,66,1,0,0.978260869565217,0.984848484848485,46,59,107.41522513451,0.473821093471381,zh,mail,fax,邮件,传真,邮件传真,宇航员
传统,552.637897994127,540.012224492466,-0.513796041406494,-0.607074803253666,22.8826762624609,24.3307323882042,0.0780896475077622,0.0702384436876527,54,60,0,1,49,49,49,50,0,0,1,0.98,54,60,0,1,48,44,49,50,0,0,0.979591836734694,0.88,49,49,-12.6256735016611,-0.0932787618471723,zh,modern,traditional,现代,传统,现代传统,无助
传道,847.196483854642,796.696652166669,0.515469439159035,0.285049617428978,65.1789807272269,98.8690344460057,0.240712373409174,0.393603215997189,57,53,0,2,31,23,42,40,0,0,0.738095238095238,0.575,57,53,0,2,42,39,42,40,0,0,1,0.975,31,23,-50.4998316879729,-0.230419821730056,zh,speech,sermon,演讲,传道,演讲传道,嫉妒
伤口,556.036212762512,580.14763042114,-0.436514831395344,-0.390119063737005,42.3373372938776,35.2949010823548,0.11706055056902,0.130709462827008,57,56,3,0,47,46,48,47,0,0,0.979166666666667,0.978723404255319,58,56,2,0,48,45,48,47,0,0,1,0.957446808510638,47,46,24.1114176586277,0.0463957676583395,zh,tear,cut,眼泪,伤口,眼泪伤口,好的
位置,552.07714894903,583.263724999327,-0.561202940510626,-0.30131536415668,23.8195300102986,43.1198969829436,0.080219648910086,0.167256370141879,52,53,0,1,47,40,47,43,0,1,1,0.930232558139535,52,53,0,1,46,40,47,43,0,1,0.978723404255319,0.930232558139535,47,40,31.1865760502967,0.259887576353947,zh,place,location,地点,位置,地点位置,挖掘
作家,573.452618174478,571.183255325742,-0.441814732310183,-0.483834970741985,34.8839155056272,21.2908923722069,0.0905366910975181,0.0743600833276523,66,55,1,0,55,47,55,47,0,0,1,1,66,55,1,0,54,45,55,47,0,0,0.981818181818182,0.957446808510638,55,47,-2.26936284873602,-0.0420202384318017,zh,poet,writer,诗人,作家,诗人作家,唇部
佩服,526.776666672145,561.570914909666,-0.568267378046058,-0.559541058146976,28.7121909020941,30.1195948977858,0.0950885736826519,0.076998684168868,61,58,2,1,48,47,48,48,1,0,1,0.979166666666667,61,58,2,1,43,47,48,48,1,0,0.895833333333333,0.979166666666667,48,47,34.7942482375219,0.0087263198990819,zh,flatter,impress,奉承,佩服,奉承佩服,神话
使命,524.213318187133,622.652755112722,-0.64727778216861,-0.278511822257796,16.7610318848668,38.6052469368958,0.0611318938575326,0.122636962866872,53,63,2,1,44,49,44,49,0,0,1,1,54,63,1,1,43,47,44,49,0,0,0.977272727272727,0.959183673469388,44,49,98.4394369255897,0.368765959910815,zh,task,mission,任务,使命,任务使命,指出
侄子,543.317739990312,691.151374993213,-0.510070069989958,-0.0798674584481479,20.5520820105166,41.2185865709017,0.0681435209564696,0.119947325071658,64,74,3,0,50,56,50,58,0,0,1,0.96551724137931,65,72,2,2,46,56,50,57,0,1,0.92,0.982456140350877,50,56,147.833635002901,0.43020261154181,zh,grandson,nephew,外孙,侄子,外孙侄子,慢慢
侍应生,818.319187495559,974.205777783545,0.623196049953966,1.18914973411739,52.942298094817,74.3598559528651,0.221098329173115,0.23722461348692,82,55,0,0,64,27,77,47,0,0,0.831168831168831,0.574468085106383,82,55,0,0,77,47,77,47,0,0,1,1,64,27,155.886590287986,0.565953684163429,zh,waiter,waitress,服务员,侍应生,服务员侍应生,晚饭
侦探,577.003883727055,613.506980425893,-0.410977055982118,-0.253580661430789,26.2790210403962,27.9526413083036,0.0838818758203444,0.103151661667817,53,58,1,0,43,51,43,51,0,0,1,1,53,57,1,1,39,49,43,50,0,1,0.906976744186046,0.98,43,51,36.5030966988381,0.157396394551329,zh,agent,detective,特工,侦探,特工侦探,没有
便宜,526.470384615804,607.125645835321,-0.656698579113103,-0.342711503941968,16.6720906825744,40.0526009512068,0.0581665250754545,0.167354938987666,56,54,0,2,52,48,52,48,0,0,1,1,56,54,0,2,49,48,52,48,0,0,0.942307692307692,1,52,48,80.6552612195177,0.313987075171134,zh,expensive,cheap,昂贵,便宜,昂贵便宜,命运
保护,491.714600009224,558.567692319091,-0.782773222321126,-0.476458268758601,19.0833539761479,25.4282403386208,0.0601362976230643,0.0961942825401007,65,59,1,0,60,52,62,52,1,0,0.967741935483871,1,65,59,1,0,62,51,62,52,1,0,1,0.980769230769231,60,52,66.8530923098671,0.306314953562525,zh,safe,secure,安全,保护,安全保护,热量
保持,517.407457660825,619.993565234018,-0.671466105723119,-0.275611140392403,16.0374229911576,52.7874006743707,0.055907984122465,0.186561240983174,64,55,1,1,59,46,59,46,1,0,1,1,65,55,0,1,59,44,60,46,0,0,0.983333333333333,0.956521739130435,59,46,102.586107573193,0.395854965330716,zh,hold,keep,抓住,保持,抓住保持,傻子
保持,517.407457660825,619.993565234018,-0.671466105723119,-0.275611140392403,16.0374229911576,52.7874006743707,0.055907984122465,0.186561240983174,64,55,1,1,59,46,59,46,1,0,1,1,65,55,0,1,59,44,60,46,0,0,0.983333333333333,0.956521739130435,59,46,102.586107573193,0.395854965330716,zh,hold,keep,抓住,保持,抓住保持,感激
保持.1,573.927160002098,457.191803921985,-0.50388349509706,-0.84512807500875,26.5068972126306,14.5192012116915,0.081129102947745,0.0575581966764058,60,56,1,1,50,51,50,51,0,0,1,1,60,56,1,1,48,51,50,51,0,0,0.96,1,50,51,-116.735356080113,-0.34124457991169,zh,stay,remain,支撑,保持,支撑保持,傻子
保持.1,573.927160002098,457.191803921985,-0.50388349509706,-0.84512807500875,26.5068972126306,14.5192012116915,0.081129102947745,0.0575581966764058,60,56,1,1,50,51,50,51,0,0,1,1,60,56,1,1,48,51,50,51,0,0,0.96,1,50,51,-116.735356080113,-0.34124457991169,zh,stay,remain,支撑,保持,支撑保持,感激
信仰,539.209195657706,594.09042105133,-0.509420926826718,-0.380049389026821,17.9526037235597,33.467578740631,0.0712848351549302,0.109848820379992,61,67,2,0,46,57,48,58,0,0,0.958333333333333,0.982758620689655,62,66,1,1,46,50,48,58,0,0,0.958333333333333,0.862068965517241,46,57,54.8812253936239,0.129371537799897,zh,hope,faith,希望,信仰,希望信仰,盾牌
信件,566.584038467151,581.786037036466,-0.43868538948168,-0.35857034301277,37.1191526902358,23.5988448800209,0.132347256792818,0.0767207058073595,61,66,0,1,52,54,53,56,0,0,0.981132075471698,0.964285714285714,61,66,0,1,50,47,53,56,0,0,0.943396226415094,0.839285714285714,52,54,15.2019985693148,0.0801150464689105,zh,telegram,letter,电报,信件,电报信件,棕色
信任,533.900509843203,583.61449999346,-0.60584063990218,-0.470105021381351,27.5756887669018,30.6163838601782,0.10497004344959,0.105213301884013,60,75,2,0,51,60,52,61,0,0,0.980769230769231,0.983606557377049,59,75,3,0,47,61,52,61,0,0,0.903846153846154,1,51,60,49.7139901502568,0.13573561852083,zh,respect,confidence,尊重,信任,尊重信任,偷盗
信号,570.859940000152,518.003280483269,-0.471071625807974,-0.670942989685305,49.9752791279988,12.4714290669171,0.143955011312601,0.0641033582871189,55,85,1,1,50,82,50,82,1,0,1,1,55,85,1,1,49,74,50,82,1,0,0.98,0.902439024390244,50,82,-52.8566595168828,-0.199871363877331,zh,frequency,signal,频率,信号,频率信号,抹布
信息,463.770536589992,573.114615384727,-0.895330026967206,-0.426843263701067,19.0852267905347,43.8160822977632,0.0608914021178787,0.132379111073574,58,56,3,2,42,52,42,52,0,0,1,1,58,56,3,2,42,49,42,50,0,2,1,0.98,41,52,109.344078794734,0.468486763266139,zh,data,information,数据,信息,数据信息,病毒
修建,631.772437523383,749.130199999956,-0.193187796441215,0.236872543984125,32.863199556823,56.4519123553275,0.118440294739731,0.248872416955555,63,57,1,2,48,45,48,46,1,0,1,0.978260869565217,64,57,0,2,48,44,49,46,0,0,0.979591836734694,0.956521739130435,48,45,117.357762476573,0.43006034042534,zh,construction,build,构造,修建,构造修建,足够
修道院,601.001865379414,723.039319994632,-0.367651293162124,0.098960788497774,21.5681851328055,37.6250912583778,0.0659736165655779,0.121240452907405,68,67,1,2,52,50,53,54,1,0,0.981132075471698,0.925925925925926,69,67,0,2,54,47,54,54,0,0,1,0.87037037037037,52,50,122.037454615219,0.466612081659898,zh,orphanage,convent,孤儿院,修道院,孤儿院修道院,擂台
修道院,601.001865379414,723.039319994632,-0.367651293162124,0.098960788497774,21.5681851328055,37.6250912583778,0.0659736165655779,0.121240452907405,68,67,1,2,52,50,53,54,1,0,0.981132075471698,0.925925925925926,69,67,0,2,54,47,54,54,0,0,1,0.87037037037037,52,50,122.037454615219,0.466612081659898,zh,orphanage,convent,孤儿院,修道院,孤儿院修道院,巨龙
修道院.1,620.091562500709,681.715439026854,-0.257846162723706,-0.020071452141803,26.4154706146003,37.4066432205447,0.0725899970957224,0.163193517023451,69,53,2,2,48,41,49,42,0,1,0.979591836734694,0.976190476190476,69,54,2,1,46,33,49,43,0,0,0.938775510204082,0.767441860465116,48,41,61.6238765261445,0.237774710581903,zh,temple,monastery,寺庙,修道院,寺庙修道院,擂台
修道院.1,620.091562500709,681.715439026854,-0.257846162723706,-0.020071452141803,26.4154706146003,37.4066432205447,0.0725899970957224,0.163193517023451,69,53,2,2,48,41,49,42,0,1,0.979591836734694,0.976190476190476,69,54,2,1,46,33,49,43,0,0,0.938775510204082,0.767441860465116,48,41,61.6238765261445,0.237774710581903,zh,temple,monastery,寺庙,修道院,寺庙修道院,巨龙
