target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,hi_cue,hi_target,hi_word_combo,unrelated_hi_cue
अंधेरा,,835.423000002222,,-1.12799651937067,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,hi,shadow,dark,साया,अंधेरा,सायाअंधेरा,वाइन
अनुकूल,,1337.66100000299,,-0.14872992621954,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,hi,polite,friendly,विनम्र,अनुकूल,विनम्रअनुकूल,योजना
कान्वेंट,,1563.62100000074,,0.291848204837623,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,hi,orphanage,convent,अनाथालय,कान्वेंट,अनाथालयकान्वेंट,झूठ
कार्यात्मक,1387.98699999996,,-0.0506039967520736,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,,hi,operational,functional,आपरेशनल,कार्यात्मक,आपरेशनलकार्यात्मक,नाम
कुर्सी,733.197000000742,,-1.32731737273653,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,0,,1,,0,,0,,1,,,,hi,table,chair,मेज,कुर्सी,मेजकुर्सी,समाज
कोठरी,773.650000000722,,-1.24844187647248,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,,hi,cabinet,closet,मंत्रिमंडल,कोठरी,मंत्रिमंडलकोठरी,अराजकता
खिलाड़ी,,1085.48400000224,,-0.640426117390715,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,hi,coach,player,कोच,खिलाड़ी,कोचखिलाड़ी,ओवन
गोली,795.669000002235,,-1.20550910134188,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,,hi,tablet,pill,कैप्सूल,गोली,कैप्सूलगोली,गिनती
गोली,795.669000002235,,-1.20550910134188,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,,hi,tablet,pill,कैप्सूल,गोली,कैप्सूलगोली,माफी
टुकड़ा,924.294000002235,,-0.954715323205077,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,,hi,fragment,piece,खंड,टुकड़ा,खंडटुकड़ा,कभी - कभी
