target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,he_cue,he_target,he_word_combo
ועדה,542.927391331038,691.671116291158,-0.370203111221455,0.285314030698609,41.9812145235129,60.3465115004381,0.179884068342538,0.230349320305918,26,49,3,1,23,43,23,43,0,0,1,1,25,48,4,2,22,39,22,43,1,0,1,0.906976744186046,23,43,148.743724960119,0.655517141920064,he,commission,committee,נציבות,ועדה,נציבותועדה
זאב,554.708999985412,506.805642769863,-0.23509523097246,-0.541168945182306,39.015740730714,45.6710769357828,0.15016646404314,0.154846649469271,10,16,2,1,9,14,9,14,0,0,1,1,10,16,2,1,9,14,9,14,0,0,1,1,9,14,-47.9033572155486,-0.306073714209846,he,bear,wolf,דוב,זאב,דובזאב
זבל,512.786911731738,535.56043748304,-0.464280666252977,-0.327963713958253,24.3190767381352,34.0418786242245,0.0889389517004209,0.17558407436206,43,20,1,2,34,16,36,17,0,0,0.944444444444444,0.941176470588235,43,20,1,2,36,16,36,17,0,0,1,0.941176470588235,34,16,22.7735257513018,0.136316952294725,he,trash,garbage,אשפה,זבל,אשפהזבל
זה,570.137444513313,474.708333304956,-0.229319453609878,-0.590157051721021,53.8229526131008,26.637661279014,0.25717564681968,0.114523386346158,9,31,1,3,9,27,9,27,0,0,1,1,9,31,1,3,8,27,9,27,0,0,0.888888888888889,1,9,27,-95.4291112083571,-0.360837598111143,he,what,that,מה,זה,מהזה
זוטר,563.011428537392,583.107642803819,-0.168119449693872,-0.116840274847139,68.9901456603506,52.8469714196428,0.266431529202145,0.214824883863449,7,18,2,1,7,14,7,15,0,0,1,0.933333333333333,7,18,2,1,7,15,7,15,0,0,1,1,7,14,20.0962142664275,0.0512791748467329,he,senior,junior,בכיר,זוטר,בכירזוטר
זול,537.619944450092,539.541071445619,-0.161774077699094,-0.373579244936086,58.0723760398463,32.4713023831893,0.446955698399857,0.126579493567597,20,16,2,2,18,14,18,14,0,0,1,1,20,16,2,2,18,14,18,14,0,0,1,1,18,14,1.92112699552661,-0.211805167236991,he,expensive,cheap,יקר,זול,יקרזול
זעם,520.283647079161,578.659741966973,-0.416281190532018,-0.0769829153737025,47.951189412584,27.329561091194,0.186810924390455,0.14619611913998,17,35,0,1,17,31,17,32,0,0,1,0.96875,17,35,0,1,17,30,17,32,0,0,1,0.9375,17,31,58.3760948878117,0.339298275158315,he,anger,rage,כעס,זעם,כעסזעם
זקן,495.563058822577,482.990888858424,-0.583923348187779,-0.572216660522525,33.7835000591296,30.1682273835842,0.0881720125108384,0.172844938348879,36,14,3,0,34,9,34,9,1,0,1,1,36,14,3,0,34,7,34,9,1,0,1,0.777777777777778,34,9,-12.5721699641527,0.0117066876652542,he,hair,beard,שיער,זקן,שיערזקן
זקפה,640.469499958184,673.832444436499,0.0638594508554952,0.259320500409472,150.288217035375,60.3359765456633,0.49044019144073,0.165278993638812,15,10,1,2,12,9,13,9,0,0,0.923076923076923,1,15,10,1,2,13,8,13,9,0,0,1,0.888888888888889,12,9,33.3629444783146,0.195461049553977,he,orgasm,erection,אורגזמה,זקפה,אורגזמהזקפה
זר,534.363971465989,515.732769214253,-0.3257952649502,-0.282115562451854,23.5927491019726,66.8610282696076,0.0964038480058723,0.365716053430589,37,14,1,0,35,13,35,13,0,0,1,1,37,14,1,0,35,13,35,13,0,0,1,1,35,13,-18.6312022517358,0.0436797024983459,he,ufo,alien,עצם בלתי מזוהה,זר,עצם בלתי מזוההזר
זרוע,525.20104348318,493.713357140308,-0.43024260030297,-0.388841669326821,29.4710500520648,45.05629364277,0.0896394844863989,0.221421008507085,26,16,2,2,23,14,24,16,0,0,0.958333333333333,0.875,26,16,2,2,19,15,24,16,0,0,0.791666666666667,0.9375,23,14,-31.487686342872,0.0414009309761496,he,hand,arm,יד,זרוע,ידזרוע
זריקה,587.324478243478,453.550999997365,-0.436539601914709,-0.664429157977357,104.337749618843,15.7474855205793,0.173455621605037,0.0920838685749552,24,10,0,0,23,9,23,9,0,0,1,1,24,10,0,0,22,7,23,9,0,0,0.956521739130435,0.777777777777778,23,9,-133.773478246113,-0.227889556062648,he,dose,injection,מנה,זריקה,מנהזריקה
חבורה,473.189571391325,583.312578968253,-0.62430051286659,-0.126167146315484,27.6595971101679,58.9095413331445,0.146274756622416,0.31090648520014,7,21,0,2,7,19,7,19,0,0,1,1,7,21,0,2,7,18,7,19,0,0,1,0.947368421052632,7,19,110.123007576928,0.498133366551106,he,scratch,bruise,שריטה,חבורה,שריטהחבורה
חביב,513.857187444106,520.973066658321,-0.373461333588004,-0.424662271175586,49.1208783288445,63.9937208460583,0.284216848194394,0.293686883429469,16,18,3,0,16,15,16,15,0,0,1,1,16,18,3,0,14,15,16,15,0,0,0.875,1,16,15,7.11587921421494,-0.0512009375875826,he,nice,lovely,נחמד,חביב,נחמדחביב
חבילה,495.492933414807,452.713789452042,-0.475007929885554,-0.653686721351247,34.905694675971,24.3356876231867,0.227549895331538,0.133449366895809,17,22,0,1,15,19,15,19,0,0,1,1,17,22,0,1,13,19,15,19,0,0,0.866666666666667,1,15,19,-42.7791439627655,-0.178678791465693,he,envelope,package,מעטפה,חבילה,מעטפהחבילה
חבל,495.249090923716,498.057722241241,-0.403096605464296,-0.433966122982558,31.3325417761602,22.74729200849,0.17624551099456,0.0940485316234751,13,21,1,2,11,19,11,20,0,1,1,0.95,13,22,1,1,11,18,11,21,0,0,1,0.857142857142857,11,18,2.80863131752506,-0.0308695175182625,he,chain,rope,שרשרת,חבל,שרשרתחבל
חבלה,526.399678542724,650.18477776718,-0.379916004615823,0.0284487604142984,39.6529816647733,98.5961537053089,0.153779622508467,0.341234145369623,32,9,1,0,28,9,28,9,0,0,1,1,31,9,2,0,26,9,28,9,0,0,0.928571428571429,1,28,9,123.785099224457,0.408364765030121,he,espionage,sabotage,ריגול,חבלה,ריגולחבלה
חבר,506.079571415346,540.941000004761,-0.47544968682311,-0.363012100432584,74.2856507205232,42.4993910982705,0.279445797239779,0.155232906495371,17,16,1,2,15,12,15,13,0,0,1,0.923076923076923,17,17,1,1,14,12,15,13,0,0,0.933333333333333,0.923076923076923,14,12,34.8614285894147,0.112437586390526,he,colleague,friend,עמית,חבר,עמיתחבר
חברות,433.394999932338,718.495749964975,-0.793321983243601,0.412183213346632,18.9424512442696,148.25114816284,0.0756002685319613,0.553811415403408,18,8,1,0,17,4,17,5,0,0,1,0.8,17,8,2,0,17,4,17,5,0,0,1,0.8,17,4,285.100750032636,1.20550519659023,he,relationship,friendship,מערכת יחסים,חברות,מערכת יחסיםחברות
חג,502.558200018632,570.461559985608,-0.524543770884516,-0.316106039398747,50.6673110973994,38.5864839080195,0.184745333622874,0.130866098331761,22,29,1,2,20,25,20,25,0,0,1,1,22,29,1,2,20,25,20,25,0,0,1,1,20,25,67.9033599669765,0.208437731485769,he,christmas,holiday,חג המולד,חג,חג המולדחג
חדר אמבטיה,665.000000000058,535.744444432841,0.6647162562381,-0.43090092339461,,50.8314389485537,,0.164726839736246,1,10,0,0,1,9,1,10,0,0,1,0.9,1,10,0,0,1,9,1,10,0,0,1,0.9,1,9,-129.255555567217,-1.09561717963271,he,shower,bathroom,מקלחת,חדר אמבטיה,מקלחתחדר אמבטיה
חדר שינה,509.501214277195,550.040799992532,-0.444949338692389,-0.354088887062021,28.5314125913142,43.2232699044329,0.133623344351807,0.134101653061667,17,13,2,1,14,10,14,10,0,0,1,1,18,13,1,1,13,10,14,10,0,0,0.928571428571429,1,14,10,40.5395857153369,0.090860451630368,he,room,bedroom,חדר,חדר שינה,חדרחדר שינה
חדר תפילה,573.186444478213,631.725071338791,0.0742607045828984,-0.0699451338345422,40.6177600594861,58.091681874957,0.14971995042709,0.128908620363756,11,29,0,2,9,28,10,28,0,0,0.9,1,11,29,0,2,10,28,10,28,0,0,1,1,9,28,58.5386268605783,-0.144205838417441,he,church,chapel,כנסיה,חדר תפילה,כנסיהחדר תפילה
חדשות,398.96699999593,447.95613040176,-0.901154696690022,-0.754142786974659,53.3624848679908,24.3419130416508,0.23557710410575,0.0977000301214749,4,24,0,2,3,23,3,24,0,0,1,0.958333333333333,4,24,0,2,3,22,3,24,0,0,1,0.916666666666667,3,23,48.9891304058307,0.147011909715363,he,channel,news,ערוץ,חדשות,ערוץחדשות
חובה,485.119000008706,486.291375076747,-0.627932698559416,-0.539946475027999,36.7810462362394,17.7695565401376,0.134557400974724,0.0877640081484775,14,20,1,1,13,16,13,16,0,0,1,1,14,20,1,1,13,15,13,16,0,0,1,0.9375,13,16,1.17237506804082,0.0879862235314177,he,responsibility,duty,אחריות,חובה,אחריותחובה
חוט,546.266625037253,640.291470556335,-0.341060886290132,0.174025365552501,53.8594088347883,55.0378955363483,0.208337644762882,0.242383635354949,17,18,1,0,16,17,16,17,0,0,1,1,17,18,1,0,12,17,16,17,0,0,0.75,1,16,17,94.0248455190821,0.515086251842632,he,cable,wire,כבל,חוט,כבלחוט
חול,474.249867924209,586.125305520447,-0.624108356799757,-0.134455546558476,15.9870158342682,31.0199380876339,0.0593516023164956,0.152315917163744,57,43,2,3,53,36,54,38,0,1,0.981481481481482,0.947368421052632,57,43,2,3,51,32,54,38,0,1,0.944444444444444,0.842105263157895,53,36,111.875437596237,0.489652810241281,he,mud,sand,בוץ,חול,בוץחול
חולה,501.368199989268,461.156500059607,-0.535496939272819,-0.777589691306688,32.8603109455871,55.1601973554129,0.196192463611942,0.139485001154299,12,8,0,1,10,6,11,6,0,0,0.909090909090909,1,12,8,0,1,10,6,11,6,0,0,0.909090909090909,1,10,6,-40.2116999296614,-0.242092752033868,he,ill,sick,הַדבָּקָה,חולה,הַדבָּקָהחולה
חום,,466.033889022659,,-0.600957870194323,,38.500717081419,,0.185389497712643,,9,,3,,9,,9,,0,,1,,9,,3,,8,,9,,0,,0.888888888888889,,9,,,he,cough,fever,שיעול,חום,שיעולחום
חומר נפץ,485.005999994044,516.796137949895,-0.47492924518201,-0.427137795827782,23.3833778914656,21.4330103899765,0.117525029345096,0.104902767383447,11,34,0,2,9,29,9,29,0,0,1,1,11,33,0,3,8,29,9,29,0,0,0.888888888888889,1,9,29,31.7901379558517,0.0477914493542279,he,bomb,explosive,פצצה,חומר נפץ,פצצהחומר נפץ
חוף,432.776714234879,567.10645162001,-0.816056646550634,-0.144257361257271,17.7817289972777,31.4305975916124,0.0707162881360426,0.121310103684321,23,35,2,3,21,31,21,31,0,0,1,1,23,35,2,3,21,25,21,31,0,0,1,0.806451612903226,21,31,134.329737385131,0.671799285293363,he,beach,coast,חוף ים,חוף,חוף יםחוף
חופשי,528.557147079733,482.380590955155,-0.446041975202046,-0.578082878831379,48.975183478136,31.9383970003724,0.143728334678153,0.12960611406605,40,23,2,0,34,22,36,22,0,0,0.944444444444444,1,40,23,2,0,35,22,36,22,0,0,0.972222222222222,1,34,22,-46.1765561245775,-0.132040903629333,he,freely,free,בחופשיות,חופשי,בחופשיותחופשי
חוקה,610.560047616373,549.384545449458,-0.00931332462806395,-0.324164862542015,45.1466769042601,25.8608391638804,0.179056281293252,0.117326467461509,23,23,1,1,21,22,22,23,0,0,0.954545454545455,0.956521739130435,23,23,1,1,18,23,22,23,0,0,0.818181818181818,1,21,22,-61.1755021669148,-0.314851537913952,he,law,constitution,חוק,חוקה,חוקחוקה
חוקי,532.674388860417,625.889399976726,-0.346867919722886,-0.139764326435514,44.1586151514931,75.6512883025554,0.188392740054885,0.277045426690169,19,6,1,0,18,5,18,5,0,0,1,1,19,5,1,1,17,5,18,5,0,0,0.944444444444444,1,18,5,93.2150111163082,0.207103593287372,he,illegal,legal,לא חוקי,חוקי,לא חוקיחוקי
חוקר,494.860576899012,499.237888830625,-0.481410069878905,-0.482387130202306,21.7015197175564,37.8651843801404,0.0993692551905583,0.162019017010133,29,20,4,1,26,18,27,18,1,0,0.962962962962963,1,29,20,4,1,27,18,27,18,1,0,1,1,26,18,4.3773119316125,-0.00097706032340128,he,analyst,investigator,מנתח,חוקר,מנתחחוקר
חור,512.845428602121,577.24892850715,-0.473557320016733,-0.134516719395273,36.1731784490008,29.0104123691122,0.177474682826046,0.171021704490282,7,17,0,1,7,14,7,14,0,0,1,1,7,17,0,1,6,13,7,14,0,0,0.857142857142857,0.928571428571429,7,14,64.4034999050284,0.339040600621459,he,crack,hole,סדק,חור,סדקחור
חורף,517.851863624107,577.966923051284,-0.448274857296713,-0.210267486641678,26.1651318161147,52.9008799551853,0.129544719823225,0.157308856931736,23,18,0,0,22,13,22,13,0,0,1,1,23,18,0,0,22,13,22,13,0,0,1,1,22,13,60.1150594271772,0.238007370655035,he,summer,winter,קיץ,חורף,קיץחורף
חזה,457.023374959775,556.433473638191,-0.50163711369949,-0.365213251776936,20.5253802169503,49.2726722120851,0.103471342359193,0.134914472707838,9,22,0,1,8,19,8,19,0,0,1,1,9,22,0,1,7,19,8,19,0,0,0.875,1,8,19,99.4100986784156,0.136423861922554,he,stomach,chest,בטן,חזה,בטןחזה
חזון,580.896136327247,514.296222234116,-0.137797763190839,-0.286539575571357,63.1210204678664,69.7797612061322,0.257532490222945,0.235140860162524,24,13,1,1,22,9,22,9,0,0,1,1,24,14,1,0,19,7,22,9,0,0,0.863636363636364,0.777777777777778,22,9,-66.5999140931312,-0.148741812380518,he,revelation,vision,התגלות,חזון,התגלותחזון
חזיר,497.609999854572,460.651733331557,-0.456544009750094,-0.653352995286632,26.9159636660641,21.8702835521856,0.108852888614063,0.113250793962445,12,18,0,0,10,15,10,15,0,0,1,1,12,18,0,0,10,15,10,15,0,0,1,1,10,15,-36.958266523015,-0.196808985536539,he,cow,pig,פרה,חזיר,פרהחזיר
חזרה,507.581684224639,603.346750037263,-0.419447730729075,-0.0186482709873951,45.4517672211735,137.647159753296,0.19367053001875,0.628672650181514,23,8,1,1,19,8,20,8,0,0,0.95,1,23,8,1,1,19,8,20,8,0,0,0.95,1,19,8,95.7650658126239,0.40079945974168,he,back,return,אחורה,חזרה,אחורהחזרה
חיבור,563.078900021757,537.852499984506,-0.270699289855954,-0.321533660003471,42.4775774169102,77.4408150583254,0.158085824692289,0.348914108056718,22,12,0,2,20,10,21,10,0,0,0.952380952380952,1,22,12,0,2,20,10,21,10,0,0,0.952380952380952,1,20,10,-25.2264000372509,-0.0508343701475173,he,contact,connection,איש קשר,חיבור,איש קשרחיבור
חיל הים,538.226290333406,604.992764736192,-0.325527526625744,0.0695359894204947,19.2883473211346,47.3850380680828,0.0777406237743807,0.264200222368406,38,17,2,0,33,17,34,17,0,0,0.970588235294118,1,38,17,2,0,29,15,34,17,0,0,0.852941176470588,0.88235294117647,31,17,66.7664744027861,0.395063516046238,he,marine,navy,ימי,חיל הים,ימיחיל הים
חינוך,553.121777788382,520.392363622024,-0.301843216077883,-0.24977954956034,57.4628911415291,34.5422287701123,0.207882067152114,0.164547056602348,10,25,1,0,9,22,10,22,0,0,0.9,1,10,25,1,0,9,20,10,22,0,0,0.9,0.909090909090909,9,22,-32.7294141663581,0.0520636665175427,he,health,education,בריאות,חינוך,בריאותחינוך
חיסון,523.692041628058,535.780111024116,-0.419914745327501,-0.351279992814329,37.6876058768066,31.9678598191442,0.144285709869454,0.133101540931683,27,20,2,0,24,18,25,18,0,0,0.96,1,26,20,3,0,21,18,24,18,1,0,0.875,1,24,18,12.0880693960578,0.0686347525131716,he,antidote,vaccine,נוגדן,חיסון,נוגדןחיסון
חיצוני,429.141625016419,521.913777782394,-0.683050018651209,-0.502480818542443,37.9752817686752,57.7884446801725,0.112442202814039,0.207124100774592,8,13,1,0,8,9,8,10,0,0,1,0.9,8,13,1,0,7,10,8,10,0,0,0.875,1,8,9,92.7721527659755,0.180569200108766,he,internal,external,פנימי,חיצוני,פנימיחיצוני
חירש,509.750399982529,583.786772730014,-0.492068397918734,-0.126013817484521,40.9824114160288,29.7215399466139,0.173980283908588,0.128709942724972,34,30,3,0,30,22,31,23,1,0,0.967741935483871,0.956521739130435,34,29,3,1,31,22,31,23,1,0,1,0.956521739130435,30,22,74.0363727474858,0.366054580434212,he,blind,deaf,עיוור,חירש,עיוורחירש
חלום,427.686625055852,493.015206878154,-0.540813340602376,-0.439582510683245,71.0536545664095,23.7908459761327,0.345306894764025,0.147173431588542,9,33,0,4,8,29,8,29,0,0,1,1,9,33,0,4,8,27,8,29,0,0,1,0.931034482758621,8,29,65.3285818223014,0.101230829919131,he,nightmare,dream,סיוט,חלום,סיוטחלום
חלקיק,660.197333348404,691.776499942392,0.399791193579202,0.207526840244351,28.400515270248,118.933582246664,0.105724092738729,0.4522079067629,18,8,0,1,15,6,17,6,0,0,0.88235294117647,1,18,8,0,1,16,5,17,6,0,0,0.941176470588235,0.833333333333333,15,6,31.5791665939877,-0.192264353334851,he,matter,particle,חומר,חלקיק,חומרחלקיק
חלש,495.461842023666,475.638875027566,-0.537347786641594,-0.462787976668136,20.1657122706453,32.602550201283,0.0806927319904545,0.194641935304993,20,17,3,3,19,17,19,17,0,0,1,1,20,17,3,3,19,16,19,17,0,0,1,0.941176470588235,19,16,-19.8229669960992,0.0745598099734584,he,strong,weak,חזק,חלש,חזקחלש
חמאה,518.941777807871,453.399941185058,-0.497193197081626,-0.595423650401636,80.7421059348044,25.2757306614731,0.222368907897652,0.148644743297727,9,17,0,2,9,17,9,17,0,0,1,1,9,17,0,2,9,15,9,17,0,0,1,0.88235294117647,9,17,-65.5418366228129,-0.0982304533200103,he,honey,butter,דבש,חמאה,דבשחמאה
חמוד,504.90060000778,513.791027043311,-0.667769217878158,-0.412758109877578,67.0058084735813,26.0769369507976,0.217654768034105,0.125976262482948,15,44,1,6,15,38,15,38,0,0,1,1,14,44,2,6,14,36,14,38,1,0,1,0.947368421052632,15,37,8.89042703553082,0.25501110800058,he,sweet,cute,מתוק,חמוד,מתוקחמוד
חמלה,508.068416660458,684.659761848574,-0.345454729532992,0.337042373342201,32.6991958049713,88.2037166378389,0.162456304632381,0.445842785497901,13,22,1,1,12,21,12,22,0,0,1,0.954545454545455,13,22,1,1,10,21,12,22,0,0,0.833333333333333,0.954545454545455,12,21,176.591345188117,0.682497102875194,he,patience,compassion,סבלנות,חמלה,סבלנותחמלה
חמצן,504.672999956114,496.855899968103,-0.587946518771656,-0.530040490633875,30.5511340353973,37.3759694728754,0.119235838829457,0.145598565637629,23,11,0,2,20,10,21,10,0,0,0.952380952380952,1,23,11,0,2,21,10,21,10,0,0,1,1,20,10,-7.81709998801085,0.0579060281377811,he,air,oxygen,אוויר,חמצן,אווירחמצן
חנות,537.792333331347,504.80500003122,-0.342867491004696,-0.525310880352377,66.6044738342725,28.753278748989,0.285535019743695,0.101209384204385,7,23,1,1,6,20,6,21,0,0,1,0.952380952380952,7,23,1,1,6,18,6,21,0,0,1,0.857142857142857,6,20,-32.9873333001271,-0.182443389347681,he,shop,store,לקנות,חנות,לקנותחנות
חסר אונים,487.65329999045,557.343368375574,-0.526757436446426,-0.30879667784985,19.8902994526046,25.3845783276019,0.102874088482088,0.0744380753016078,12,19,1,2,10,19,10,19,0,0,1,1,12,19,1,2,10,17,10,19,0,0,1,0.894736842105263,10,19,69.6900683851239,0.217960758596576,he,helpless,powerless,חסר ישע,חסר אונים,חסר ישעחסר אונים
חסר ערך,583.472000029139,678.542923042103,-0.127585665961241,-0.0464811817119993,60.5353737939143,140.638143091778,0.305110325464333,0.314512423181568,14,14,0,1,10,13,10,13,0,0,1,1,14,14,0,1,10,12,10,13,0,0,1,0.923076923076923,9,13,95.0709230129644,0.0811044842492413,he,useless,worthless,חסר תועלת,חסר ערך,חסר תועלתחסר ערך
חרום,472.553333337975,592.730375015671,-0.536849385998154,-0.0475708250450951,40.285768909321,54.7433173701161,0.189154335271458,0.326847082439639,9,12,0,2,9,8,9,12,0,0,1,0.666666666666667,9,12,0,2,6,8,9,12,0,0,0.666666666666667,0.666666666666667,9,8,120.177041677697,0.489278560953058,he,urgent,emergency,בהול,חרום,בהולחרום
חרק,400.323444420925,695.017714304464,-0.96326800979323,0.279263338241713,37.391647823381,138.14222933652,0.132314927249054,0.537838767864254,13,9,3,0,10,7,10,8,1,0,1,0.875,14,9,2,0,11,6,11,8,0,0,1,0.75,9,7,294.694269883539,1.24253134803494,he,spider,insect,עכביש,חרק,עכבישחרק
חשוב,405.780714281111,593.91499997612,-0.817755648619273,-0.0887291349520189,37.1740682996521,112.722169413942,0.136629365354307,0.504018017534336,8,7,0,1,7,5,7,5,0,0,1,1,8,7,0,1,7,4,7,5,0,0,1,0.8,7,5,188.134285695008,0.729026513667254,he,valuable,important,בעל ערך,חשוב,בעל ערךחשוב
חשוד,453.435500011936,694.217571408738,-0.698876006409699,0.142107548486578,22.6956851781645,123.546286662524,0.0845194156421862,0.411688399160194,21,14,0,1,18,14,19,14,0,0,0.947368421052632,1,21,14,0,1,19,12,19,14,0,0,1,0.857142857142857,18,14,240.782071396801,0.840983554896276,he,doubt,suspect,ספק,חשוד,ספקחשוד
חשיבות,578.80225002383,562.620731671485,-0.192176179238195,-0.294450248503018,85.0830956613729,42.9267751493792,0.0871155057292999,0.184810851288199,5,46,0,3,4,41,4,41,0,0,1,1,5,46,0,3,4,40,4,41,0,0,1,0.975609756097561,4,41,-16.181518352344,-0.102274069264823,he,meaning,importance,משמעות,חשיבות,משמעותחשיבות
חשמל,487.322818172609,514.045235294477,-0.63695240234125,-0.484825869774025,23.1627353371118,24.8415560478829,0.125354949580116,0.110944081218494,12,22,1,0,11,17,12,18,0,0,0.916666666666667,0.944444444444444,12,22,1,0,12,16,12,18,0,0,1,0.888888888888889,11,17,26.7224171218683,0.152126532567225,he,current,electricity,זרם,חשמל,זרםחשמל
חשמלי,581.432565206154,529.150099961548,-0.256077072889385,-0.404022030232918,45.374650634263,37.8713489868123,0.165035765734168,0.115225488386717,25,24,0,1,23,20,24,20,0,0,0.958333333333333,1,25,24,0,1,22,18,24,20,0,0,0.916666666666667,0.9,23,20,-52.2824652446053,-0.147944957343534,he,magnetic,electric,מגנטי,חשמלי,מגנטיחשמלי
חתול,403.34066677793,548.309857064987,-0.994874527091769,-0.143063934405972,42.38534670364,61.0848850437916,0.0991126081936942,0.327701275608326,4,16,0,1,3,14,3,14,0,0,1,1,4,16,0,1,3,13,3,14,0,0,1,0.928571428571429,3,14,144.969190287057,0.851810592685797,he,dog,cat,כלב,חתול,כלבחתול
חתונה,433.749749981778,468.982555531709,-0.817865068129876,-0.613488469304121,10.9022612565873,23.0987469349977,0.045093114383693,0.0937978027374341,52,12,2,0,48,9,48,9,0,0,1,1,52,12,2,0,48,9,48,9,0,0,1,1,48,9,35.232805549931,0.204376598825755,he,engagement,wedding,אירוסין,חתונה,אירוסיןחתונה
חתיכה,556.060416643323,546.525195669783,-0.264422296827504,-0.3169735428598,85.7422278630029,34.2240595840254,0.317197219167016,0.128157264543728,18,50,0,2,12,46,14,46,0,0,0.857142857142857,1,18,50,0,2,13,45,14,46,0,0,0.928571428571429,0.978260869565217,12,46,-9.53522097354005,-0.0525512460322955,he,fragment,piece,רסיס,חתיכה,רסיסחתיכה
חתימה,497.488482736525,447.976999937945,-0.45717983402227,-0.853610710612412,44.065742143419,20.6343357077275,0.200146860831066,0.112839739291056,30,5,1,0,29,3,29,3,0,0,1,1,30,5,1,0,26,3,29,3,0,0,0.896551724137931,1,29,3,-49.5114827985796,-0.396430876590143,he,stamp,signature,חותמת,חתימה,חותמתחתימה
חתך,502.934875007334,626.666000014984,-0.47665935394233,0.0920049708284985,31.7919387297544,50.6631481148466,0.139227110038372,0.200651545014213,29,17,2,1,24,14,25,15,0,0,0.96,0.933333333333333,29,17,2,1,23,9,25,15,0,0,0.92,0.6,24,14,123.73112500765,0.568664324770828,he,tear,cut,קרע,חתך,קרעחתך
טביעת אצבע,691.239944439071,601.383916659215,0.410131914440688,-0.0156558917997347,71.9583900281288,68.2282333387644,0.27631688679936,0.233422267553781,20,13,2,1,18,12,19,12,0,0,0.947368421052632,1,20,13,2,1,14,12,19,12,0,0,0.736842105263158,1,18,12,-89.8560277798564,-0.425787806240423,he,dna,fingerprint,די. אן. אי.,טביעת אצבע,די. אן. אי.טביעת אצבע
טורנדו,501.462925915095,625.515600013127,-0.385212718592448,0.0526881884802688,14.2962661507755,55.4495411529967,0.0922529142830867,0.226398504230048,32,17,1,2,27,15,27,16,0,0,1,0.9375,32,17,1,2,24,13,27,16,0,0,0.888888888888889,0.8125,27,15,124.052674098032,0.437900907072717,he,hurricane,tornado,הוריקן,טורנדו,הוריקןטורנדו
טורף,502.912269227049,591.385666646296,-0.473154270796691,-0.0398969520396884,26.5410010809394,46.9325717835842,0.103910725947705,0.169280907756955,31,16,3,1,26,12,26,14,1,0,1,0.857142857142857,32,16,2,1,23,14,27,14,0,0,0.851851851851852,1,26,12,88.4733974192472,0.433257318757003,he,prey,predator,טרף,טורף,טרףטורף
טיימר,581.951700003576,548.363249956766,0.0803157513031214,-0.0943656052427965,51.2352140399521,32.3909543900431,0.253212359236478,0.161972575269261,13,16,0,1,10,12,10,12,0,0,1,1,13,16,0,1,9,11,10,12,0,0,0.9,0.916666666666667,10,12,-33.5884500468102,-0.174681356545918,he,detonator,timer,נפץ,טיימר,נפץטיימר
טייס,498.067571446462,559.109954542738,-0.537975220615989,-0.258598198190365,33.4210117668821,39.0193430422633,0.0920048144149142,0.142657332334542,7,22,0,3,7,22,7,22,0,0,1,1,7,22,0,3,6,21,7,22,0,0,0.857142857142857,0.954545454545455,7,22,61.0423830962768,0.279377022425625,he,astronaut,pilot,אסטרונאוט,טייס,אסטרונאוטטייס
טיל,468.552666684372,547.646899978389,-0.64167549148566,-0.2645265940603,20.1426904952942,93.3066720794417,0.0716490058231883,0.35173454153089,9,11,1,1,9,10,9,10,0,0,1,1,9,11,1,1,9,10,9,10,0,0,1,1,9,10,79.0942332940174,0.37714889742536,he,rocket,missile,רקטה,טיל,רקטהטיל
טיסה,456.126055527729,401.402750195266,-0.698605636376337,-0.746503735826526,31.7035163493796,18.2879985340628,0.153022403310069,0.110740390812093,21,4,0,1,18,4,18,4,0,0,1,1,21,4,0,1,18,4,18,4,0,0,1,1,18,4,-54.723305332463,-0.0478980994501893,he,landing,flight,נחיתה,טיסה,נחיתהטיסה
טיפול,593.233666737453,582.265249993477,0.00588278972326752,-0.374827811962888,75.1426294103605,95.124498470916,0.365938865021853,0.222593243182991,25,4,1,0,21,4,21,4,0,0,1,1,25,4,1,0,16,4,21,4,0,0,0.761904761904762,1,21,4,-10.9684167439756,-0.380710601686155,he,therapy,treatment,תרפיה,טיפול,תרפיהטיפול
טיפש,475.447416654764,506.237833291205,-0.61571227258644,-0.439726753924236,32.7891875465564,20.2685521679029,0.11233048712447,0.10477608208749,13,43,1,0,12,42,12,42,0,0,1,1,14,43,0,0,7,41,12,42,0,0,0.583333333333333,0.976190476190476,12,42,30.7904166364414,0.175985518662205,he,naive,stupid,נאיבי,טיפש,נאיביטיפש
