target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,fr_cue,fr_target,fr_word_combo
accord,511.701660741929,497.534474584347,-0.613527979506312,-0.767434879213685,15.3395028769697,13.5634088077751,0.065559363745497,0.0589681053306349,58,61,1,2,56,59,56,60,0,0,1,0.983333333333333,58,61,1,2,55,60,56,60,0,0,0.982142857142857,1,56,59,-14.1671861575817,-0.153906899707373,fr,contract,agreement,contrat,accord,contrataccord
accusation,628.135046884816,619.785867925514,-0.239466748013263,-0.191402513986943,27.2816945050774,19.9699266322774,0.0962552655155125,0.0816587212792441,67,55,0,1,64,53,64,54,0,0,1,0.981481481481482,67,55,0,1,62,53,64,54,0,0,0.96875,0.981481481481482,64,53,-8.34917895930209,0.0480642340263197,fr,complaint,accusation,plainte,accusation,plainteaccusation
acheteur,525.210947372521,550.238723125991,-0.618871997384065,-0.516293167233824,17.4575565404551,17.3516890160159,0.0618122784765188,0.0662794634644015,59,69,3,2,57,65,57,67,0,0,1,0.970149253731343,59,69,3,2,57,66,57,67,0,0,1,0.985074626865672,57,65,25.0277757534701,0.102578830150241,fr,seller,buyer,vendeur,acheteur,vendeuracheteur
achevé,641.973746480685,671.667111099423,-0.118297181213236,-0.0696310468938264,19.6952251276686,34.0450568143743,0.0848905765266619,0.125856312306371,73,59,2,0,71,54,73,57,0,0,0.972602739726027,0.947368421052632,73,59,2,0,70,54,73,57,0,0,0.958904109589041,0.947368421052632,71,54,29.693364618738,0.0486661343194093,fr,total,complete,total,achevé,totalachevé
acier,552.724421055169,574.124295777563,-0.445230790315085,-0.368337043181976,22.6980042008169,19.6664379368961,0.0865854704035772,0.0866692591064042,58,75,2,3,57,71,58,71,0,1,0.982758620689655,1,58,75,2,3,56,62,58,71,0,1,0.96551724137931,0.873239436619718,57,71,21.3998747223944,0.0768937471331098,fr,concrete,steel,béton,acier,bétonacier
acte,565.82414707824,597.109244827306,-0.475138720506244,-0.354131961229214,27.7686118850066,21.5450044466643,0.126048408938423,0.0846449764018326,70,60,1,0,68,58,68,59,0,0,1,0.983050847457627,70,60,1,0,66,59,68,59,0,0,0.970588235294118,1,68,58,31.2850977490667,0.12100675927703,fr,gesture,act,geste,acte,gesteacte
acteur,532.688474621476,563.623942029064,-0.590526834268804,-0.362930710833206,18.2589503930348,25.8489407600265,0.0719274388254345,0.123804413110501,62,73,4,5,59,69,60,69,0,0,0.983333333333333,1,62,73,4,5,57,63,60,69,0,0,0.95,0.91304347826087,59,69,30.9354674075886,0.227596123435598,fr,author,actor,auteur,acteur,auteuracteur
activer,600.664737098218,545.844017250381,-0.32578041896956,-0.607424612944197,33.3201087208115,24.0651081078139,0.133650932097071,0.0720534091099646,64,60,2,1,62,58,63,58,0,1,0.984126984126984,1,63,60,3,1,58,58,62,58,1,1,0.935483870967742,1,62,58,-54.8207198478365,-0.281644193974636,fr,trigger,activate,déclencher,activer,déclencheractiver
activité,539.043408451747,512.757046153633,-0.574783941767961,-0.659321244261375,20.1333926877945,17.2022413712861,0.0674253788922782,0.061772438225669,73,66,1,5,71,65,71,65,1,1,1,1,73,66,1,5,66,64,71,65,1,1,0.929577464788732,0.984615384615385,71,65,-26.2863622981141,-0.084537302493414,fr,active,activity,actif,activité,actifactivité
additionnel,586.150540906981,683.633690745111,-0.190001411429676,-0.0392011067111429,22.6872170346066,28.8960794447349,0.10979744224156,0.0957632023607206,69,60,0,1,67,54,68,57,0,0,0.985294117647059,0.947368421052632,69,60,0,1,66,55,68,57,0,0,0.970588235294118,0.964912280701754,66,54,97.4831498381299,0.150800304718533,fr,extra,additional,supplémentaire,additionnel,supplémentaireadditionnel
administratif,657.931166665774,629.829843765244,0.00028094760925359,-0.101134437245123,41.1049091021753,17.7553274244467,0.142385758690426,0.0826101902280862,62,66,0,2,60,65,60,65,0,0,1,1,61,66,1,2,58,65,59,65,1,0,0.983050847457627,1,60,64,-28.1013229005299,-0.101415384854376,fr,management,administrative,management,administratif,managementadministratif
adolescent,666.311861666308,581.955656256026,-0.144575338908603,-0.342208752410178,32.448465219375,14.8193450940124,0.125905699463083,0.0707033824735812,64,68,3,5,60,64,61,64,0,1,0.983606557377049,1,65,69,2,4,60,65,61,65,0,0,0.983606557377049,1,60,64,-84.3562054102822,-0.197633413501575,fr,teenage,teenager,adolescence,adolescent,adolescenceadolescent
adresse,548.136254571177,559.81001614542,-0.472907326408583,-0.574574388487987,18.8183860855149,18.4643174189015,0.0723170672354531,0.0790425312590222,55,63,0,2,55,62,55,62,0,0,1,1,55,63,0,2,53,59,55,62,0,0,0.963636363636364,0.951612903225806,55,62,11.6737615742433,-0.101667062079404,fr,number,address,numéro,adresse,numéroadresse
adrénaline,627.713054555041,676.003403849654,-0.0416293421819907,0.0426596055151922,18.3912378557611,32.7080275299673,0.0697215547033641,0.113338212912133,60,60,0,1,55,52,59,56,0,0,0.932203389830508,0.928571428571429,59,60,1,1,57,56,58,56,1,0,0.982758620689655,1,55,52,48.2903492946127,0.084288947697183,fr,hormone,adrenaline,hormone,adrénaline,hormoneadrénaline
adversaire,587.414568962356,655.482720006938,-0.50272517782865,0.0974019806205572,18.5030781216467,28.5566652033181,0.0619109789806123,0.159157033790187,62,64,2,1,58,60,60,62,0,0,0.966666666666667,0.967741935483871,62,63,2,2,60,38,60,61,0,1,1,0.622950819672131,58,60,68.068151044582,0.600127158449207,fr,enemy,opponent,ennemi,adversaire,ennemiadversaire
agence,575.260867647029,574.353836391275,-0.3592237973826,-0.43072931242151,21.6196896578452,20.2987601020673,0.10356257430536,0.0775818539605317,69,61,0,0,68,56,68,60,0,0,1,0.933333333333333,69,61,0,0,68,45,68,60,0,0,1,0.75,68,55,-0.907031255754418,-0.0715055150389096,fr,firm,agency,entreprise,agence,entrepriseagence
agresseur,570.304735862251,622.040780268418,-0.440390513153497,-0.2845756418745,19.9289429785182,26.1912884111991,0.0763664447397976,0.0936039108016553,57,79,1,4,54,76,54,77,0,0,1,0.987012987012987,56,79,2,4,52,76,53,77,1,0,0.981132075471698,0.987012987012987,53,76,51.7360444061671,0.155814871278997,fr,victim,attacker,victime,agresseur,victimeagresseur
agréable,580.397857664963,594.391758061815,-0.410811038631572,-0.296307239712921,21.3844862478255,40.6689745837679,0.0889244684399039,0.193671909437024,61,65,5,0,59,62,60,64,0,0,0.983333333333333,0.96875,60,64,6,1,58,62,59,63,1,1,0.983050847457627,0.984126984126984,59,62,13.9939003968516,0.114503798918651,fr,comfortable,pleasant,confortable,agréable,confortableagréable
aimer,538.570052632041,524.929174608163,-0.448127036972636,-0.656995068575212,19.2333627239698,20.2065620175739,0.106386387867967,0.0817230811018017,58,65,1,4,57,63,58,64,0,0,0.982758620689655,0.984375,58,65,1,4,47,60,58,64,0,0,0.810344827586207,0.9375,57,63,-13.6408780238781,-0.208868031602577,fr,hate,love,haïr,aimer,haïraimer
alarme,531.238052628323,565.66928790136,-0.575972006844939,-0.457614199314552,20.446829823313,17.0436025868163,0.0816549002114725,0.066302390586623,61,66,3,3,57,66,58,66,0,0,0.982758620689655,1,61,66,3,3,55,64,58,66,0,0,0.948275862068966,0.96969696969697,57,66,34.431235273037,0.118357807530387,fr,alert,alarm,alerte,alarme,alertealarme
alibi,694.119937494579,769.089714281016,0.120356737314772,0.51766586223952,25.1442594192748,38.9359453922082,0.117120338070871,0.137257314671238,58,59,1,0,48,49,57,57,0,0,0.842105263157895,0.859649122807018,58,59,1,0,56,54,57,57,0,0,0.982456140350877,0.947368421052632,48,49,74.9697767864365,0.397309124924748,fr,motive,alibi,motif,alibi,motifalibi
aller,538.355888890319,578.916709088706,-0.63899845032922,-0.468399080161313,24.3838253638979,22.8064042416448,0.0725145796406198,0.0844394970928065,65,56,6,2,63,55,63,55,1,0,1,1,65,56,6,2,63,53,63,55,1,0,1,0.963636363636364,63,55,40.5608201983875,0.170599370167907,fr,enter,go,entrer,aller,entreraller
alpha,700.685407416477,692.548701746664,0.024234430218937,0.118470803920416,35.7700899148599,28.1877080730663,0.131539320342621,0.116751775609049,63,63,3,1,54,57,61,62,0,0,0.885245901639344,0.919354838709677,63,63,3,1,60,61,61,62,0,0,0.983606557377049,0.983870967741935,54,57,-8.1367056698133,0.0942363737014792,fr,bravo,alpha,bravo,alpha,bravoalpha
altesse,689.244870364944,854.687829788477,0.167613814833939,0.793506461012024,48.2697998677102,64.272787389931,0.168969967455339,0.25256985698596,63,64,1,2,54,47,61,60,0,0,0.885245901639344,0.783333333333333,63,64,1,2,55,60,61,60,0,0,0.901639344262295,1,54,47,165.442959423533,0.625892646178085,fr,majesty,highness,majesté,altesse,majestéaltesse
amant,618.06554390017,644.762527775995,-0.288977974447251,-0.179619359930373,21.3802263101929,35.1234717342841,0.0707247951962728,0.123883785822799,60,77,0,0,57,72,58,74,0,0,0.982758620689655,0.972972972972973,60,77,0,0,56,74,58,74,0,0,0.96551724137931,1,57,72,26.6969838758248,0.109358614516878,fr,mistress,lover,maîtresse,amant,maîtresseamant
ami,530.470740743271,546.744868847216,-0.504166650331797,-0.579881519350638,15.8699492362106,21.3414731552424,0.0666828825909158,0.0883893885781831,55,62,3,1,54,61,54,61,1,0,1,1,55,62,3,1,53,60,54,61,1,0,0.981481481481482,0.983606557377049,54,61,16.2741281039441,-0.0757148690188415,fr,colleague,friend,collègue,ami,collègueami
amical,554.115741137848,652.524032263462,-0.431939676674803,-0.254590975697734,17.5795308431772,42.1412097286157,0.0767857508581553,0.153250966324891,60,63,3,2,56,62,58,62,0,0,0.96551724137931,1,60,62,3,3,55,58,58,61,0,1,0.948275862068966,0.950819672131147,56,62,98.408291125614,0.177348700977069,fr,polite,friendly,poli,amical,poliamical
amitié,560.362553891095,553.525666674077,-0.464725228767751,-0.562359009810304,24.5905779919222,21.8544898233037,0.114727708549739,0.0690106649647817,66,59,2,2,65,57,65,57,1,0,1,1,66,57,2,4,64,52,65,55,1,2,0.984615384615385,0.945454545454545,65,57,-6.8368872170181,-0.0976337810425528,fr,relationship,friendship,relation,amitié,relationamitié
amélioration,558.188533339005,627.93016949408,-0.438265492834302,-0.267457438594475,16.5340324218645,21.8409432698636,0.0584155764062819,0.0875522216882323,63,63,0,2,63,59,63,60,0,0,1,0.983333333333333,63,63,0,2,63,59,63,60,0,0,1,0.983333333333333,63,59,69.7416361550744,0.170808054239828,fr,change,improvement,changement,amélioration,changementamélioration
amérique,551.216333374286,652.924254197893,-0.475576328315582,-0.0389611958321415,18.6413800429202,37.7740971151186,0.0854740047182158,0.159444476654657,58,57,0,0,57,48,57,54,0,0,1,0.888888888888889,58,57,0,0,57,52,57,54,0,0,1,0.962962962962963,57,48,101.707920823607,0.43661513248344,fr,africa,america,afrique,amérique,afriqueamérique
analyse,560.432202945949,610.840652163969,-0.496684759186971,-0.376853839382367,19.0052104250341,22.5057155923763,0.0689138635373852,0.0716560934407233,73,71,1,1,71,69,71,69,1,0,1,1,73,71,1,1,64,67,71,69,1,0,0.901408450704225,0.971014492753623,69,69,50.4084492180198,0.119830919804603,fr,autopsy,analysis,autopsie,analyse,autopsieanalyse
animal,505.162262299757,514.479387268468,-0.81541227860356,-0.701959950769969,28.7915021639694,20.0200568253244,0.0942329573525607,0.0830742410681306,61,56,2,1,61,55,61,55,0,0,1,1,61,56,2,1,59,52,61,55,0,0,0.967213114754098,0.945454545454545,61,55,9.31712496871057,0.113452327833591,fr,beast,animal,bête,animal,bêteanimal
appareil,518.598352942971,561.993409104764,-0.602832012143272,-0.481636150068323,26.221663794297,25.0116232197282,0.131607328873753,0.0713332803796534,56,66,2,2,51,66,53,66,0,1,0.962264150943396,1,56,66,2,2,51,58,53,66,0,1,0.962264150943396,0.878787878787879,51,66,43.3950561617931,0.121195862074948,fr,chip,device,puce,appareil,puceappareil
appartement,566.613877193044,620.773472730932,-0.464930232661628,-0.230775181334199,22.4544226745508,27.066847947239,0.0753480758887943,0.0950296973264373,60,57,0,1,58,55,58,56,0,0,1,0.982142857142857,60,57,0,1,55,53,58,56,0,0,0.948275862068966,0.946428571428571,57,55,54.1595955378879,0.234155051327429,fr,house,apartment,maison,appartement,maisonappartement
apporter,594.154023339057,621.996238465835,-0.277607642154665,-0.17612269563764,36.0270178540549,40.7577789006672,0.158992369718132,0.133651473341975,66,68,0,2,61,66,62,66,0,0,0.983870967741935,1,66,68,0,2,62,65,62,66,0,0,1,0.984848484848485,60,65,27.8422151267782,0.101484946517025,fr,enable,provide,permettre,apporter,permettreapporter
approbation,707.904403533235,709.526696976339,0.203044645509351,0.264464929973118,44.3909501970988,38.561646617016,0.22406709709305,0.161756046771498,58,72,3,2,57,67,58,68,0,1,0.982758620689655,0.985294117647059,58,73,3,1,55,62,58,69,0,0,0.948275862068966,0.898550724637681,57,66,1.62229344310367,0.0614202844637671,fr,permission,approval,autorisation,approbation,autorisationapprobation
apprécier,557.74801537755,616.237133325036,-0.496982880963864,-0.392076515406249,24.2256394685206,29.7001615410066,0.0851352219137043,0.0707901229059172,68,61,3,3,65,60,65,60,0,0,1,1,68,61,3,3,63,51,65,60,0,0,0.969230769230769,0.85,65,60,58.4891179474859,0.104906365557615,fr,admire,appreciate,admirer,apprécier,admirerapprécier
appuyer,548.526991044824,597.167930905715,-0.570172656021335,-0.313243866341912,22.9088908175855,28.7892351041821,0.0825986414635083,0.125376856595358,68,58,0,1,67,55,67,55,0,0,1,1,68,58,0,1,65,53,67,55,0,0,0.970149253731343,0.963636363636364,67,55,48.6409398608909,0.256928789679422,fr,button,press,bouton,appuyer,boutonappuyer
appât,759.826730248974,742.586385989652,0.235734605603746,0.178200122378698,45.2976999432333,27.4274933204887,0.157025201224291,0.120142664501664,53,65,3,0,43,57,53,65,0,0,0.811320754716981,0.876923076923077,53,65,3,0,51,60,53,65,0,0,0.962264150943396,0.923076923076923,43,57,-17.2403442593219,-0.0575344832250486,fr,trap,bait,piège,appât,piègeappât
aptitude,638.651517749051,660.013703135055,-0.236817876568128,0.0186048855858302,20.1929215944861,21.964028601501,0.0845114768000974,0.112122128220644,64,69,1,2,63,64,64,67,0,0,0.984375,0.955223880597015,64,69,1,2,63,53,64,67,0,0,0.984375,0.791044776119403,62,64,21.3621853860036,0.255422762153958,fr,capacity,ability,capacité,aptitude,capacitéaptitude
arbre,551.608859660883,587.893235304024,-0.57406469111995,-0.37056900315733,23.4042252868817,25.9857708793392,0.0789493472143344,0.104638425583376,59,53,0,4,58,51,58,51,0,0,1,1,59,53,0,4,56,49,58,51,0,0,0.96551724137931,0.96078431372549,57,51,36.2843756431408,0.203495687962621,fr,bush,tree,buisson,arbre,buissonarbre
architecte,626.649725715994,611.285862065449,-0.242623902970907,-0.148869542362535,28.6075519417777,35.4170318851284,0.115372153106543,0.141628529591177,73,60,4,5,70,58,71,59,0,0,0.985915492957746,0.983050847457627,73,60,4,5,71,58,71,59,0,0,1,0.983050847457627,70,58,-15.3638636505443,0.093754360608372,fr,engineer,architect,ingénieur,architecte,ingénieurarchitecte
argenté,552.022953131701,693.04514063871,-0.509992275278907,0.0574122971079312,17.7694124986848,32.3997578609983,0.0743372487496756,0.124596893065313,65,65,4,1,64,64,65,64,1,0,0.984615384615385,1,65,65,4,1,59,60,65,64,1,0,0.907692307692308,0.9375,64,64,141.022187507009,0.567404572386839,fr,golden,silver,doré,argenté,doréargenté
arme,548.283124058945,558.140379310066,-0.494737404846325,-0.394591733330415,16.5918350317549,24.8337359815644,0.0780601184084885,0.102390534242253,85,59,2,2,79,58,81,58,0,0,0.975308641975309,1,85,59,2,2,77,50,81,58,0,0,0.950617283950617,0.862068965517241,79,58,9.85725525112025,0.10014567151591,fr,pistol,weapon,pistolet,arme,pistoletarme
armure,632.102471731487,675.900834298037,-0.144312869323122,-0.0915808403569705,30.3293516708603,38.3870796051442,0.129945743307672,0.113563928371524,57,78,2,0,53,70,55,75,0,0,0.963636363636364,0.933333333333333,56,77,3,1,54,72,54,74,1,1,1,0.972972972972973,53,70,43.7983625665494,0.0527320289661514,fr,shield,armor,bouclier,armure,bouclierarmure
armurerie,762.902280702334,762.664949061186,0.399678035845241,0.431736284854797,51.4025971712007,28.4163657195921,0.18293421651698,0.103555144668189,62,63,1,0,57,51,60,59,1,0,0.95,0.864406779661017,63,63,0,0,39,58,61,59,0,0,0.639344262295082,0.983050847457627,57,51,-0.237331641148444,0.0320582490095555,fr,arsenal,armory,arsenal,armurerie,arsenalarmurerie
armée,574.348634616179,546.635777777138,-0.464757166879912,-0.502909585625028,22.3014969601852,16.0606666443026,0.0686048947287638,0.0635084678987814,57,65,1,0,52,63,54,63,0,0,0.962962962962963,1,57,65,1,0,52,51,54,63,0,0,0.962962962962963,0.80952380952381,52,63,-27.7128568390406,-0.0381524187451153,fr,legion,army,légion,armée,légionarmée
arriver,515.061637686646,559.804871423607,-0.620798703038851,-0.439981454613953,14.0409343183282,23.7482833480824,0.0646787291738199,0.124219290020115,70,58,1,0,69,56,70,58,0,0,0.985714285714286,0.96551724137931,70,58,1,0,66,58,70,58,0,0,0.942857142857143,1,69,56,44.743233736961,0.180817248424898,fr,occur,happen,survenir,arriver,survenirarriver
arrière,642.123564615461,549.242055566267,-0.21801696956195,-0.484287537262799,28.342957105948,37.8541561552005,0.109763448365817,0.146502690626464,69,57,0,1,65,54,66,57,0,1,0.984848484848485,0.947368421052632,69,57,0,1,66,55,66,57,0,1,1,0.964912280701754,65,54,-92.8815090491935,-0.266270567700849,fr,front,rear,face,arrière,facearrière
arrogance,618.950183668369,633.449266645562,-0.173386621396005,-0.167271267048149,24.0726492026993,21.9470945226515,0.127683256609107,0.0753721236066073,53,63,1,2,49,60,50,63,0,0,0.98,0.952380952380952,53,63,1,2,50,61,50,63,0,0,1,0.968253968253968,49,60,14.4990829771931,0.00611535434785646,fr,ignorance,arrogance,ignorance,arrogance,ignorancearrogance
arrêter,482.681459016599,524.034983611445,-0.770230453381677,-0.63521588751721,11.3865572486725,21.6452110810873,0.0575617855880262,0.0727969898685555,64,62,0,6,61,61,61,61,0,1,1,1,64,62,0,6,60,61,61,61,0,1,0.983606557377049,1,61,61,41.3535245948464,0.135014565864468,fr,prevent,stop,empêcher,arrêter,empêcherarrêter
arrêter.1,532.48989705201,523.930716669618,-0.675776612251913,-0.56078692633278,20.1796870690186,15.717992942186,0.0749823972209993,0.077685467036413,69,62,1,1,68,60,68,61,0,0,1,0.983606557377049,69,62,1,1,66,58,68,61,0,0,0.970588235294118,0.950819672131147,68,60,-8.55918038239213,0.114989685919133,fr,punish,arrest,punir,arrêter,punirarrêter
artificiel,599.801285735196,596.955387096785,-0.28961719217573,-0.282884071230353,23.5670695425564,21.0070318355657,0.0994423383847674,0.0801013706578511,63,66,2,0,63,62,63,62,0,0,1,1,63,66,2,0,62,60,63,62,0,0,0.984126984126984,0.967741935483871,63,62,-2.84589863841052,0.00673312094537704,fr,natural,artificial,naturel,artificiel,naturelartificiel
artillerie,710.636864627434,849.214500049896,0.221068321611159,0.538316250876703,20.4251165433493,44.9612663761171,0.0931342972588519,0.167124058058969,73,62,3,1,65,47,72,59,2,0,0.902777777777778,0.796610169491525,73,62,3,1,62,59,72,59,2,0,0.861111111111111,1,65,47,138.577635422461,0.317247929265544,fr,cavalry,artillery,cavalerie,artillerie,cavalerieartillerie
artère,643.601711289117,716.950494561319,-0.0916917559820098,0.236055787145363,27.5125792868537,26.6878651633745,0.107169922366171,0.0854900999807675,64,63,1,4,63,55,63,60,0,0,1,0.916666666666667,64,63,1,4,60,60,63,60,0,0,0.952380952380952,1,62,55,73.3487832722017,0.327747543127373,fr,vein,artery,veine,artère,veineartère
assassin,592.506207547979,591.116295104252,-0.315451249784564,-0.349148019704943,34.8386708164803,26.2208932088852,0.120406682980952,0.0839284098442933,57,64,2,1,53,61,56,62,0,0,0.946428571428571,0.983870967741935,57,64,2,1,46,62,56,62,0,0,0.821428571428571,1,53,61,-1.3899124437263,-0.0336967699203787,fr,mercenary,assassin,mercenaire,assassin,mercenaireassassin
assiette,626.744629577658,586.805432835702,-0.293377313944858,-0.338181866787179,31.6644258534533,32.2931440425327,0.107946856960195,0.120808819236037,77,71,1,5,71,67,72,67,0,0,0.986111111111111,1,77,71,1,5,67,66,72,67,0,0,0.930555555555556,0.985074626865672,71,67,-39.9391967419557,-0.044804552842321,fr,bowl,plate,bol,assiette,bolassiette
assis,559.200900000965,633.571907685993,-0.537684102785434,-0.137991042533566,22.3595215986529,32.4747390943216,0.0934075542073454,0.106688545528935,53,67,1,2,50,65,50,65,0,0,1,1,53,67,1,2,46,62,50,65,0,0,0.92,0.953846153846154,50,65,74.371007685028,0.399693060251868,fr,stand,sit,debout,assis,deboutassis
assistance,589.459129644329,569.524657130081,-0.407575477816452,-0.428014316477607,27.0774347677,19.0739823594929,0.068589611925628,0.0655717481818199,56,64,1,0,54,63,54,63,0,0,1,1,56,63,1,1,53,60,54,62,0,1,0.981481481481482,0.967741935483871,54,63,-19.9344725142478,-0.0204388386611549,fr,support,assistance,support,assistance,supportassistance
assistant,595.439466668418,569.574724630372,-0.343710335312537,-0.369349311089539,21.5873260375294,21.162752058982,0.107098549294097,0.0697244452142763,60,71,1,1,60,69,60,70,0,0,1,0.985714285714286,60,71,1,1,60,68,60,70,0,0,1,0.971428571428571,60,69,-25.8647420380458,-0.0256389757770022,fr,secretary,assistant,secrétaire,assistant,secrétaireassistant
assister,585.957377954449,605.13487696748,-0.474077994477319,-0.319276267174772,18.3413155875968,29.8592862409077,0.0652304930507273,0.121970650476256,62,65,2,3,59,65,60,65,0,0,0.983333333333333,1,62,65,2,3,56,65,60,65,0,0,0.933333333333333,1,59,65,19.1774990130305,0.154801727302548,fr,help,assist,aider,assister,aiderassister
atlantique,632.3613333098,719.854877184647,-0.149639758253969,0.234426735822019,23.572414011762,28.4018943499332,0.094696872801452,0.117275423981908,77,64,3,1,75,57,77,61,0,1,0.974025974025974,0.934426229508197,77,64,3,1,74,61,77,61,0,1,0.961038961038961,1,75,57,87.4935438748475,0.384066494075988,fr,pacific,atlantic,pacifique,atlantique,pacifiqueatlantique
atmosphère,666.413333334667,659.111171432024,-0.107305993071902,-0.0784173539526066,17.1372697880307,28.2487737839102,0.0623295053296867,0.0888244526890937,69,60,2,3,66,56,68,56,0,1,0.970588235294118,1,69,60,2,3,67,55,68,56,0,1,0.985294117647059,0.982142857142857,66,56,-7.30216190264366,0.0288886391192949,fr,environment,atmosphere,environnement,atmosphère,environnementatmosphère
