target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,pt_cue,pt_target,pt_word_combo
altura,545.549280000473,573.702200004056,-0.63541633633324,-0.572583476675064,24.3909153597773,28.0339713958239,0.0857107283925151,0.0808600468683443,80,85,1,0,75,75,77,77,0,0,0.974025974025974,0.974025974025974,80,83,1,2,76,75,77,76,0,1,0.987012987012987,0.986842105263158,75,75,28.1529200035832,0.0628328596581765,pt,weight,height,peso,altura,pesoaltura
alucinação,766.417555554064,751.657270827141,0.0441132625651078,0.126963732671581,42.1224303563574,42.9515213386286,0.109751102986965,0.122192104792581,76,53,1,2,72,48,73,49,0,0,0.986301369863014,0.979591836734694,76,54,1,1,71,48,73,49,0,0,0.972602739726027,0.979591836734694,72,48,-14.7602847269229,0.0828504701064736,pt,illusion,hallucination,ilusão,alucinação,ilusãoalucinação
alvorecer,803.247364857623,933.314441184504,0.305422487198771,0.870742086000276,34.4661083084915,82.5566968902869,0.11205040610824,0.246033420536863,89,53,2,1,74,34,87,45,1,1,0.850574712643678,0.755555555555556,90,54,1,0,86,44,88,46,0,0,0.977272727272727,0.956521739130435,74,34,130.067076326881,0.565319598801505,pt,sunset,dawn,pôr do sol,alvorecer,pôr do solalvorecer
amar,540.894351853147,531.887603765093,-0.674138130612581,-0.616448902357175,17.5102155261815,23.7990898011985,0.0465278783579756,0.0686828832246837,111,54,0,0,108,53,109,53,0,0,0.990825688073395,1,111,54,0,0,107,53,109,53,0,0,0.981651376146789,1,108,53,-9.00674808805434,0.0576892282554065,pt,hate,love,odiar,amar,odiaramar
amarelo,563.108159998284,524.957895845763,-0.616627705151465,-0.629473294300632,23.782869421428,19.3805471189968,0.068885468455621,0.0666570237287699,102,55,1,0,100,48,101,48,0,0,0.99009900990099,1,102,55,1,0,99,48,101,48,0,0,0.98019801980198,1,100,48,-38.1502641525209,-0.0128455891491668,pt,red,yellow,vermelho,amarelo,vermelhoamarelo
amedrontar,971.669275858383,853.352710524588,0.713474278154965,0.431278209760838,49.2099450136107,37.5988351425047,0.143822247921959,0.0984655732024207,77,93,1,0,58,76,69,89,0,0,0.840579710144927,0.853932584269663,77,93,1,0,64,88,69,89,0,0,0.927536231884058,0.98876404494382,58,76,-118.316565333796,-0.282196068394127,pt,scare,frighten,susto,amedrontar,sustoamedrontar
amigo,533.884000007354,481.156204087808,-0.737212049908167,-0.79500584628244,20.6320309286002,17.575776691248,0.0585354791458225,0.0611529848992255,69,52,0,0,67,49,67,50,0,0,1,0.98,69,52,0,0,67,43,67,50,0,0,1,0.86,67,49,-52.7277959195462,-0.0577937963742732,pt,colleague,friend,colega,amigo,colegaamigo
amigáveis,687.662459007614,668.81491663684,-0.125109169029471,-0.218585549434083,31.7353274326066,35.8022366718941,0.0913931611463848,0.0894892344954139,72,54,1,0,61,48,61,49,0,0,1,0.979591836734694,72,54,1,0,59,49,61,49,0,0,0.967213114754098,1,61,48,-18.847542370774,-0.0934763804046121,pt,polite,friendly,educado,amigáveis,educadoamigáveis
amizade,581.899823534875,540.453321433899,-0.55297838242988,-0.62366018297416,32.7064098517566,20.9399215016881,0.100091101352378,0.0921126698801583,74,60,0,4,68,56,70,56,0,3,0.971428571428571,1,74,60,0,4,69,55,70,56,0,3,0.985714285714286,0.982142857142857,68,56,-41.4465021009757,-0.0706818005442794,pt,relationship,friendship,relação,amizade,relaçãoamizade
ampla,712.205564512386,700.101109079024,0.0226904893988947,-0.0393548836678407,28.1688836812089,36.8599417192583,0.0941122942098592,0.126405044116952,74,69,1,1,62,55,66,61,0,0,0.93939393939394,0.901639344262295,74,69,1,1,64,58,66,61,0,0,0.96969696969697,0.950819672131147,62,55,-12.1044554333621,-0.0620453730667353,pt,narrow,wide,estreito,ampla,estreitoampla
américa,544.965036150333,580.906548393436,-0.642253005717658,-0.509493635302629,15.0648011118562,25.1717723014781,0.0390177642189094,0.0606465941966989,92,66,0,1,83,62,83,63,0,0,1,0.984126984126984,92,66,0,1,83,54,83,63,0,0,1,0.857142857142857,83,62,35.941512243103,0.132759370415029,pt,africa,america,áfrica,américa,áfricaamérica
andar,529.601230769491,579.875327267818,-0.597277788400078,-0.529711826204267,20.2305974108928,27.1969382116549,0.106870208701527,0.072126880843494,53,58,0,3,52,55,52,55,0,0,1,1,53,58,0,3,52,54,52,55,0,0,1,0.981818181818182,52,55,50.2740964983273,0.0675659621958111,pt,run,walk,correr,andar,correrandar
animal,557.761117119798,574.899757574366,-0.601544599159175,-0.5594191539978,26.1176814420022,19.5322702122627,0.065900322020014,0.0622839512428886,116,77,0,0,111,66,112,68,0,0,0.991071428571429,0.970588235294118,116,77,0,0,101,58,112,68,0,0,0.901785714285714,0.852941176470588,111,66,17.1386404545675,0.0421254451613751,pt,beast,animal,fera,animal,feraanimal
análise,554.008829993206,539.504249993394,-0.591784019348288,-0.502559517035404,19.239383186614,17.6953166815592,0.0547888358816655,0.0639654383603383,109,51,2,0,100,48,101,48,1,0,0.99009900990099,1,109,51,2,0,95,47,101,48,1,0,0.94059405940594,0.979166666666667,100,48,-14.5045799998121,0.0892245023128839,pt,autopsy,analysis,autópsia,análise,autópsiaanálise
apanhar,579.102768292681,581.531559338581,-0.552027557169078,-0.504281247653253,18.4259181667349,23.660036412162,0.0561246092050543,0.07250824017009,85,62,1,0,82,59,83,59,0,0,0.987951807228916,1,84,62,2,0,80,59,82,59,1,0,0.975609756097561,1,82,59,2.42879104589997,0.0477463095158246,pt,grab,catch,agarrar,apanhar,agarrarapanhar
apartamento,604.286557147897,616.838839295272,-0.359164418798149,-0.325947781412048,23.2267851810119,41.3300177392404,0.0705765982903654,0.137796508606305,78,59,1,0,71,56,71,56,1,0,1,1,77,59,2,0,69,55,71,56,1,0,0.971830985915493,0.982142857142857,70,56,12.552282147375,0.0332166373861013,pt,house,apartment,casa,apartamento,casaapartamento
apelido,569.200648145514,594.264779988363,-0.44907996407516,-0.39491908163456,24.0077786830195,33.4952311612879,0.0784510869046234,0.111642243049051,61,54,1,1,54,50,54,50,1,1,1,1,61,54,1,1,49,49,54,50,1,1,0.907407407407407,0.98,54,50,25.0641318428485,0.054160882440599,pt,nickname,surname,alcunha,apelido,alcunhaapelido
apreciar,613.459184785159,666.195811591557,-0.356398836182911,-0.0208467497430818,22.4913649863706,25.9662659615683,0.0753033859004732,0.104779385108194,100,73,2,0,92,69,93,72,1,0,0.989247311827957,0.958333333333333,100,73,2,0,85,72,93,72,1,0,0.913978494623656,1,92,69,52.7366268063979,0.335552086439829,pt,admire,appreciate,admirar,apreciar,admirarapreciar
aprisionamento,884.184830507928,992.085363644282,0.686894326642034,1.08700681084385,46.4033799879966,72.942590851147,0.118330815296843,0.201751732973946,65,54,2,1,59,44,61,48,1,0,0.967213114754098,0.916666666666667,64,54,3,1,59,48,60,48,2,0,0.983333333333333,1,59,44,107.900533136354,0.400112484201813,pt,penalty,imprisonment,pena,aprisionamento,penaaprisionamento
aprovação,577.965155851584,625.770851052689,-0.333112693404137,-0.244120616793935,23.9745643250747,31.339511759752,0.114464164724391,0.105234684415507,85,51,0,1,77,47,78,47,0,0,0.987179487179487,1,85,51,0,1,78,45,78,47,0,0,1,0.957446808510638,77,47,47.8056952011051,0.0889920766102018,pt,permission,approval,permissão,aprovação,permissãoaprovação
aquele,537.756051734097,721.520214281827,-0.514995852063344,0.0467169460163793,17.9530843708271,36.7117636387167,0.0748831709295441,0.139253600106772,67,77,0,1,58,70,59,72,0,0,0.983050847457627,0.972222222222222,67,77,0,1,57,39,59,72,0,0,0.966101694915254,0.541666666666667,58,70,183.76416254773,0.561712798079723,pt,what,that,o quê,aquele,o quêaquele
arame,658.558029850537,661.367125007012,-0.141019755128059,-0.153418679656445,29.4167912594537,22.2798886140773,0.087023229787581,0.0911562161799025,76,92,2,2,67,72,69,87,0,1,0.971014492753623,0.827586206896552,76,92,2,2,62,85,69,87,0,1,0.898550724637681,0.977011494252874,67,72,2.80909515647443,-0.0123989245283863,pt,cable,wire,cabo,arame,caboarame
areia,539.870711520363,597.520759998337,-0.70960315949504,-0.525829568246057,25.5322243532342,27.7243743558898,0.0744711080324752,0.0812152961077424,64,57,1,0,52,50,53,53,1,0,0.981132075471698,0.943396226415094,64,57,1,0,53,51,53,53,1,0,1,0.962264150943396,52,50,57.650048477974,0.183773591248983,pt,mud,sand,lama,areia,lamaareia
arma,536.58972043277,506.218723415237,-0.603297617774955,-0.659109876801107,17.1063468680679,13.798106167754,0.0689623156475621,0.0506572099888731,99,52,2,0,93,47,95,48,0,0,0.978947368421053,0.979166666666667,99,52,2,0,95,47,95,48,0,0,1,0.979166666666667,93,47,-30.3709970175333,-0.0558122590261521,pt,pistol,weapon,pistola,arma,pistolaarma
arma de fogo,686.425500006654,708.249316447828,0.0901614754539312,0.035253099687435,26.1961626033411,29.5593685625596,0.113804434924508,0.0812203704649876,56,86,1,0,50,80,52,81,1,0,0.961538461538462,0.987654320987654,55,85,2,1,46,77,51,80,2,1,0.901960784313726,0.9625,50,79,21.8238164411738,-0.0549083757664962,pt,rifle,gun,espingarda,arma de fogo,espingardaarma de fogo
armaduras,715.096916671406,748.875662347133,-0.117529922181444,0.112884692500273,40.7639896373927,33.7621479792003,0.111593750907896,0.108375652919267,65,82,0,0,60,77,61,80,0,0,0.983606557377049,0.9625,65,82,0,0,59,76,61,80,0,0,0.967213114754098,0.95,60,77,33.7787456757272,0.230414614681718,pt,shield,armor,escudo,armaduras,escudoarmaduras
armaria,680.070146343181,813.636320004673,-0.0587147045666916,0.207199400734314,27.885038627799,59.5651000798692,0.0971362537440922,0.181479283072651,114,75,1,1,82,50,108,66,1,1,0.759259259259259,0.757575757575758,113,75,2,1,93,65,108,66,1,1,0.861111111111111,0.984848484848485,82,50,133.566173661492,0.265914105301005,pt,arsenal,armory,arsenal,armaria,arsenalarmaria
armazenar,638.599562505738,627.274209672046,-0.182037755368385,-0.254337521967306,21.0437500616233,29.323102706694,0.0761987753632469,0.100424818223997,53,70,0,2,48,62,49,63,0,0,0.979591836734694,0.984126984126984,53,70,0,2,46,62,49,63,0,0,0.938775510204082,0.984126984126984,48,62,-11.3253528336916,-0.0722997665989217,pt,shop,store,comprar,armazenar,comprararmazenar
armário,507.082259268922,623.36587998443,-0.679538502581961,-0.335409177773997,17.6486823674984,28.5084041565995,0.058540943956016,0.0965382565675205,58,55,1,0,54,50,54,50,1,0,1,1,58,55,1,0,51,42,54,50,1,0,0.944444444444444,0.84,54,50,116.283620715507,0.344129324807964,pt,cabinet,closet,gabinete,armário,gabinetearmário
arquiteto,624.320540986685,772.117796598951,-0.40300780543701,0.042335224108834,35.6084709434471,63.194278633595,0.0895928889350746,0.163095718758549,66,67,2,0,61,59,61,61,0,0,1,0.967213114754098,65,66,3,1,61,58,61,60,0,1,1,0.966666666666667,61,59,147.797255612266,0.445343029545844,pt,engineer,architect,engenheiro,arquiteto,engenheiroarquiteto
arrepiante,666.838944450173,631.598867915948,-0.0802483712373246,-0.271139605646689,38.4910942825527,27.1177503732082,0.10754338546267,0.072887955553287,58,55,1,2,54,53,54,55,1,1,1,0.963636363636364,59,56,0,1,53,42,55,56,0,0,0.963636363636364,0.75,54,53,-35.2400765342253,-0.190891234409364,pt,scary,creepy,assustador,arrepiante,assustadorarrepiante
arrogância,632.859958920368,721.712078127081,-0.359716413849567,0.00546829542439591,27.6801707762492,45.3437757323866,0.0717056686569852,0.160062876030405,80,71,0,0,73,64,74,67,0,0,0.986486486486487,0.955223880597015,80,71,0,0,74,66,74,67,0,0,1,0.985074626865672,73,64,88.8521192067134,0.365184709273963,pt,ignorance,arrogance,ignorância,arrogância,ignorânciaarrogância
artificial,638.396985711626,605.623903856999,-0.203445712219956,-0.367634423160041,27.3330144990448,23.0050703380336,0.0851725747098581,0.0764250002237407,77,59,0,1,70,52,72,53,0,0,0.972222222222222,0.981132075471698,77,59,0,1,69,52,72,53,0,0,0.958333333333333,0.981132075471698,70,52,-32.7730818546273,-0.164188710940085,pt,natural,artificial,natural,artificial,naturalartificial
artilharia,758.03377778525,712.068734378693,-0.00827234770138298,0.106139273188801,33.2422248172015,23.3239292549265,0.0849171563377916,0.0969257544212029,89,75,2,0,81,64,84,70,1,0,0.964285714285714,0.914285714285714,89,74,2,1,82,67,84,69,1,1,0.976190476190476,0.971014492753623,81,64,-45.9650434065571,0.114411620890184,pt,cavalry,artillery,cavalaria,artilharia,cavalariaartilharia
artéria,616.935737708852,739.682693323792,-0.367056714848197,-0.0325905060882198,22.4578745990476,33.995220290256,0.0606564371544648,0.0903374846614267,67,84,0,2,61,75,64,78,0,1,0.953125,0.961538461538462,67,84,0,2,61,78,64,79,0,0,0.953125,0.987341772151899,61,75,122.74695561494,0.334466208759977,pt,vein,artery,veia,artéria,veiaartéria
assaltar,524.438013886942,606.180853335365,-0.676166716485571,-0.387915005061659,13.0417471659395,18.2710227474426,0.0461253644412612,0.0568852603201519,81,81,1,0,72,75,72,75,0,0,1,1,81,81,1,0,72,74,72,75,0,0,1,0.986666666666667,72,75,81.742839448423,0.288251711423912,pt,steal,rob,roubar,assaltar,roubarassaltar
assalto,551.449000003095,640.25460241794,-0.61788911224376,-0.401939591855676,19.394084185747,32.4838842855584,0.0556485095135154,0.092223540864364,82,85,1,0,74,83,75,83,0,0,0.986666666666667,1,82,85,1,0,73,80,75,83,0,0,0.973333333333333,0.963855421686747,74,83,88.8056024148448,0.215949520388084,pt,theft,robbery,roubo,assalto,rouboassalto
