target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,fa_cue,fa_target,fa_word_combo,unrelated_fa_cue
ترساندن,602.383583319411,582.710624982828,-0.564578793668047,-0.454594490393914,122.685300831502,35.8248712821001,0.22248517727846,0.131819821648625,12,17,1,0,12,16,12,16,0,0,1,1,12,16,1,1,11,12,12,15,0,1,0.916666666666667,0.8,12,16,-19.6729583365824,0.109984303274133,fa,scare,frighten,هراساندن,ترساندن,هراساندنترساندن,کمیسیون
تزریق,504.723200012371,796.595666642843,-0.691050261411571,0.0726784496813155,22.4934623689562,148.35440320692,0.081497097035515,0.336620704419302,11,4,1,0,10,3,10,3,0,0,1,1,11,4,1,0,9,3,10,3,0,0,0.9,1,10,3,291.872466630471,0.763728711092886,fa,dose,injection,دوز,تزریق,دوزتزریق,بعضی وقت ها
تست,517.131500166899,700.09075000152,-0.657727555392023,0.0980191229041804,71.995500119228,69.3615516116716,0.595303911924993,0.332536848088168,4,14,0,0,2,12,2,12,0,0,1,1,4,14,0,0,2,10,2,12,0,0,1,0.833333333333333,2,12,182.959249834621,0.755746678296203,fa,experiment,test,ازمایش,تست,ازمایشتست,بوته
تشنگی,517.119066666955,562.52233334267,-0.716529303617589,-0.61496144723196,21.1421642928806,31.6985222236197,0.0719458782476754,0.0994143215521696,15,7,1,0,15,6,15,6,0,0,1,1,15,7,1,0,15,6,15,6,0,0,1,1,15,6,45.4032666757142,0.101567856385629,fa,hunger,thirst,گرسنگی,تشنگی,گرسنگیتشنگی,کاغذ
تشکر کردن,604.292200006277,516.36014286235,-0.254927269637498,-0.724406796242174,86.3210441066384,32.0023339596001,0.277843190880686,0.0703161787721277,10,7,0,1,10,7,10,7,0,0,1,1,10,7,0,1,10,7,10,7,0,0,1,1,10,7,-87.932057143927,-0.469479526604676,fa,grateful,thank,سپاسگزار,تشکر کردن,سپاسگزارتشکر کردن,غروب خورشید
تصادف,491.694000116142,612.675769236987,-0.747964641283808,-0.30040874953145,60.574784597812,72.8989767893673,0.178457961244768,0.22566270848912,6,14,0,0,6,13,6,13,0,0,1,1,6,14,0,0,6,13,6,13,0,0,1,1,6,13,120.981769120845,0.447555891752358,fa,incident,accident,حادثه,تصادف,حادثهتصادف,پیشنهاد
تصدیق کردن,567.406454553788,750.584199991566,-0.298993127992619,0.160849917851052,43.1241225282964,60.9648228913592,0.163732964705422,0.304352778986992,12,5,0,0,11,5,11,5,0,0,1,1,12,5,0,0,11,5,11,5,0,0,1,1,11,5,183.177745437778,0.459843045843671,fa,check,verify,بررسی,تصدیق کردن,بررسیتصدیق کردن,سرویس
تظاهرات,541.337999992372,571.764444474238,-0.543446090229193,-0.357677077916703,43.6708760135196,37.9968552375859,0.18150577352046,0.134165169619092,11,11,0,0,9,10,10,11,0,0,0.9,0.909090909090909,11,11,0,0,10,10,10,11,0,0,1,0.909090909090909,9,9,30.426444481866,0.18576901231249,fa,protest,demonstration,اعتراض,تظاهرات,اعتراضتظاهرات,مبارز
تعریف,499.86733330957,575.358705774723,-0.560525423748835,-0.430985394544812,65.0549898485567,47.042310435596,0.105817058424135,0.149260152202214,4,17,0,0,3,17,3,17,0,0,1,1,4,17,0,0,3,17,3,17,0,0,1,1,3,17,75.4913724651536,0.129540029204023,fa,concept,definition,مفهوم,تعریف,مفهومتعریف,دانش آموز
تعطیلات,571.116333307611,491.355666671841,-0.569463414916474,-0.854644136431781,43.5471878953375,29.5459314738893,0.11301612753621,0.11603103174348,13,10,0,0,12,9,13,9,0,0,0.923076923076923,1,13,10,0,0,12,9,13,9,0,0,0.923076923076923,1,12,9,-79.7606666357703,-0.285180721515307,fa,christmas,holiday,نوروز,تعطیلات,نوروزتعطیلات,شاه
تعقیب کردن,642.482333343372,553.368249970731,-0.155963375896065,-0.485331126430626,62.2945301148955,27.4726385159699,0.204345930717674,0.11825767044491,10,12,0,1,9,12,9,12,0,0,1,1,10,12,0,1,9,12,9,12,0,0,1,1,9,12,-89.1140833726413,-0.329367750534561,fa,follow,chase,دنبال کردن,تعقیب کردن,دنبال کردنتعقیب کردن,بازتاب
تعلق خاطر,776.099941170923,723.906624974203,0.369570167776635,0.171849180718251,74.5987094215638,66.1826785094254,0.28723157760324,0.213216726538277,19,9,2,0,17,8,17,8,0,0,1,1,19,9,2,0,17,8,17,8,0,0,1,1,17,8,-52.19331619672,-0.197720987058384,fa,fidelity,devotion,سرسپردگی,تعلق خاطر,سرسپردگیتعلق خاطر,دزد
تعمیر کردن,632.971769250483,618.958363640974,-0.249181263014065,-0.36935767956697,68.8271186130766,54.5847308388008,0.25810087105293,0.116935114440139,13,11,1,0,13,11,13,11,1,0,1,1,13,11,1,0,13,11,13,11,1,0,1,1,13,11,-14.0134056095093,-0.120176416552905,fa,fix,repair,درست کردن,تعمیر کردن,درست کردنتعمیر کردن,روباه
تعویض کردن,603.104374993669,587.479599963644,-0.370042233645651,-0.337516482826186,52.571470202686,36.9138741525112,0.181086700197824,0.120254704827655,10,17,0,1,8,15,8,17,0,0,1,0.88235294117647,10,17,0,1,8,17,8,17,0,0,1,1,8,15,-15.6247750300245,0.0325257508194656,fa,replace,substitute,جایگزین کردن,تعویض کردن,جایگزین کردنتعویض کردن,دادگاه
تقلب,642.903200023151,643.409700007824,-0.38602994332877,-0.00807645028517123,56.062701100007,60.2991071135928,0.159484232736612,0.306480850154957,10,12,1,0,10,10,10,11,1,0,1,0.909090909090909,10,12,1,0,10,11,10,11,1,0,1,1,10,10,0.506499984672814,0.377953493043598,fa,conspiracy,fraud,توطئه,تقلب,توطئهتقلب,بوسه
تلفن,561.421199696074,591.685733365548,-0.613909673564335,-0.352010880561366,58.1411475984409,55.5813620893161,0.183616826052367,0.202494343435255,10,15,0,0,10,15,10,15,0,0,1,1,10,15,0,0,10,14,10,15,0,0,1,0.933333333333333,10,15,30.2645336694741,0.261898793002969,fa,call,telephone,زنگ زدن,تلفن,زنگ زدنتلفن,تحسین
تلویزیون,588.566333346243,608.706625044698,-0.81182589670332,-0.363889443788274,74.3776997649818,92.796831799066,0.179846478835429,0.276108108215337,6,10,1,0,6,8,6,9,0,0,1,0.888888888888889,6,10,1,0,6,8,6,9,0,0,1,0.888888888888889,6,8,20.1402916984547,0.447936452915045,fa,radio,television,رادیو,تلویزیون,رادیوتلویزیون,سرپناه
تماشا کردن,599.627999989548,593.838624990309,-0.475821301635033,-0.265970577822983,74.1865996194229,48.7211109515691,0.348479451179597,0.240787280757737,8,17,0,1,8,16,8,16,0,0,1,1,8,17,0,1,8,16,8,16,0,0,1,1,8,16,-5.7893749992395,0.20985072381205,fa,look,watch,نگاه کردن,تماشا کردن,نگاه کردنتماشا کردن,عمو
تماشایی,563.074928561562,595.624999983764,-0.537391177308774,-0.463683580419252,54.109749446478,98.200818843123,0.119508043163041,0.1275142721081,14,12,0,0,14,11,14,11,0,0,1,1,14,12,0,0,9,11,14,11,0,0,0.642857142857143,1,14,11,32.5500714222017,0.073707596889522,fa,sensational,spectacular,مهیج,تماشایی,مهیجتماشایی,بودجه
تمام کردن,565.855999985217,623.878899960556,-0.394509380539254,-0.243979899196277,35.8498424028375,58.973008116333,0.178068018472232,0.214408678423176,13,20,0,0,13,20,13,20,0,0,1,1,13,20,0,0,13,20,13,20,0,0,1,1,13,20,58.0228999753389,0.150529481342977,fa,end,finish,پایان دادن,تمام کردن,پایان دادنتمام کردن,استخدام
تمدن,448.35357143453,607.997199996404,-0.86040022039688,-0.261080168017527,28.511158328765,32.6020249789145,0.108608929508493,0.127505757437426,15,10,1,0,14,10,14,10,0,0,1,1,15,10,1,0,14,9,14,10,0,0,1,0.9,14,10,159.643628561873,0.599320052379353,fa,culture,civilization,فرهنگ,تمدن,فرهنگتمدن,سیر
تمرکز,718.898636344685,563.532571393764,-0.0930115104327919,-0.720615555076786,175.33381891055,45.0933693499908,0.572343675387384,0.0828260239810683,11,15,1,2,11,14,11,14,0,0,1,1,11,15,1,2,11,14,11,14,0,0,1,1,11,14,-155.366064950922,-0.627604044643994,fa,focus,concentrate,توجه,تمرکز,توجهتمرکز,رژ لب
تنها,586.678636295747,669.462999977352,-0.421924545253602,-0.153247196395645,44.6263222870758,131.178619385014,0.223940746657393,0.397928073406431,11,10,0,1,11,10,11,10,0,0,1,1,11,10,0,1,11,10,11,10,0,0,1,1,11,10,82.784363681605,0.268677348857957,fa,alone,lonely,بی کس,تنها,بی کستنها,بین المللی
تنیس,650.844208332349,702.996666719251,0.0382152067208384,0.101609997270671,54.0340058641281,62.0803414264562,0.221856671234569,0.226806293249201,25,22,3,0,24,21,25,22,0,0,0.96,0.954545454545455,25,22,3,0,20,19,25,22,0,0,0.8,0.863636363636364,24,21,52.1524583869026,0.063394790549833,fa,golf,tennis,گلف,تنیس,گلفتنیس,بازرس
تهویه,694.887555384687,748.183388902135,-0.101570317794363,0.134129424637897,41.3961238005454,74.0616589715257,0.134398582389549,0.20369017621934,18,19,0,0,18,18,18,18,0,0,1,1,18,19,0,0,18,16,18,18,0,0,1,0.888888888888889,18,18,53.2958335174482,0.23569974243226,fa,valve,ventilation,دریچه,تهویه,دریچهتهویه,رسما
توافق,675.970928582076,781.88911109734,-0.190743602562575,0.388353157382491,46.7598045612991,202.984870039593,0.142871385316194,0.824856113531535,14,9,1,0,14,9,14,9,1,0,1,1,14,9,1,0,14,9,14,9,1,0,1,1,14,9,105.918182515264,0.579096759945066,fa,contract,agreement,قرارداد,توافق,قراردادتوافق,سلطنتی
توانایی,530.034500072536,488.566285734693,-0.674966076175325,-0.717944453740687,37.2510146197246,24.7287488316837,0.119839832701644,0.0512321327034795,16,7,0,0,16,7,16,7,0,0,1,1,16,7,0,0,15,7,16,7,0,0,0.9375,1,16,7,-41.468214337843,-0.0429783775653615,fa,capacity,ability,ظرفیت,توانایی,ظرفیتتوانایی,استراحت
توت فرنگی,602.644176464444,678.098499984106,-0.411097475944178,-0.00145344666014117,28.1805077443693,77.4275774347232,0.108414978704881,0.351846125942197,18,19,1,0,17,18,17,18,0,0,1,1,18,18,1,1,17,17,17,17,0,1,1,1,17,18,75.4543235196616,0.409644029284036,fa,banana,strawberry,موز,توت فرنگی,موزتوت فرنگی,امبولانس
توسعه,530.55391664585,640.761299997701,-0.767268116852026,-0.260530859818475,55.0538362827034,57.5712777965199,0.172469788564885,0.182347933797572,12,21,0,0,12,20,12,20,0,0,1,1,12,21,0,0,12,19,12,20,0,0,1,0.95,12,20,110.207383351851,0.506737257033551,fa,progress,development,پیشرفت,توسعه,پیشرفتتوسعه,بیمارستان
توصیف,627.889166670657,523.186333139769,-0.366226513784024,-0.673520506757022,72.5367605360488,29.1932629756578,0.223751386397446,0.136615770311073,7,15,0,2,6,15,6,15,0,2,1,1,7,15,0,2,6,15,6,15,0,2,1,1,6,15,-104.702833530889,-0.307293992972997,fa,profile,description,مشخصات,توصیف,مشخصاتتوصیف,کشور
توصیه,643.161142876297,678.824923084726,-0.140366513107894,-0.338486180712064,88.7786149659076,105.595618098801,0.483824142649871,0.330997173394205,8,14,2,0,7,13,7,13,0,0,1,1,8,14,2,0,7,13,7,13,0,0,1,1,7,13,35.6637802084293,-0.19811966760417,fa,propose,suggest,پیشنهاد,توصیه,پیشنهادتوصیه,احترام
تولید,483.958000017135,604.265875098874,-0.672351946535209,-0.379794902547769,36.0261585836113,82.0304998526803,0.181991961905634,0.249453662063697,17,18,0,1,16,16,16,16,0,0,1,1,17,18,0,1,16,16,16,16,0,0,1,1,16,16,120.307875081738,0.29255704398744,fa,factory,production,کارخانه,تولید,کارخانهتولید,بابا
تولید کردن,564.10425002197,526.058333288113,-0.692299538017068,-0.481306929380665,39.5131273620695,36.7953606615241,0.119379547862413,0.114641733396436,13,16,0,0,12,15,12,15,0,0,1,1,13,16,0,0,12,15,12,15,0,0,1,1,12,15,-38.0459167338572,0.210992608636403,fa,create,produce,ساختن,تولید کردن,ساختنتولید کردن,گروگان
تونل,575.564545422141,579.621571423024,-0.278237306293319,-0.520553320017643,63.9153929128639,44.279869612386,0.264461738411547,0.128942599064621,12,14,0,0,11,14,12,14,0,0,0.916666666666667,1,12,14,0,0,12,14,12,14,0,0,1,1,11,14,4.05702600088307,-0.242316013724324,fa,bridge,tunnel,پل,تونل,پلتونل,مریخ
توپخانه,744.283562502173,778.218545673487,0.419333420081442,0.0950068845909435,61.4145462279387,76.4482739699387,0.292616972861217,0.249178051694617,17,12,0,0,16,11,17,12,0,0,0.941176470588235,0.916666666666667,17,12,0,0,16,12,17,12,0,0,0.941176470588235,1,16,11,33.9349831713139,-0.324326535490498,fa,cavalry,artillery,سواره نظام,توپخانه,سواره نظامتوپخانه,قفل شده
تک تیرانداز,637.093300007901,673.678818194811,0.00981589885047627,-0.0220238965048946,52.681453897204,55.1360473695832,0.222083410410774,0.15502224541182,12,13,0,2,10,11,10,11,0,0,1,1,12,13,0,2,10,11,10,11,0,0,1,1,10,11,36.58551818691,-0.0318397953553709,fa,shooter,sniper,تیرانداز,تک تیرانداز,تیراندازتک تیرانداز,نجات
تکنیک,647.052500002984,578.380874986848,-0.365129734510887,-0.508245466156596,51.1397950593849,43.9520604700467,0.186175719609618,0.123846957621892,12,8,0,0,12,8,12,8,0,0,1,1,12,8,0,0,12,7,12,8,0,0,1,0.875,12,8,-68.6716250161361,-0.143115731645709,fa,method,technique,روش,تکنیک,روشتکنیک,صدراعظم
تکه,719.039624916681,606.514133333003,-0.104084460194726,-0.267532424010596,86.9502632926972,41.2521550778528,0.293982062209404,0.194210399785412,8,15,0,0,8,15,8,15,0,0,1,1,8,15,0,0,8,14,8,15,0,0,1,0.933333333333333,8,15,-112.525491583678,-0.16344796381587,fa,fragment,piece,قطعه,تکه,قطعهتکه,گاهی
تیم,760.155600000022,612.75258332888,0.324359054353639,-0.173166742601923,116.666934047568,36.1292276184582,0.355154220139785,0.19270221909257,6,14,2,0,5,12,6,13,0,0,0.833333333333333,0.923076923076923,6,14,2,0,5,13,6,13,0,0,0.833333333333333,1,5,12,-147.403016671142,-0.497525796955561,fa,league,team,لیگ,تیم,لیگتیم,باز
ثروت,642.769666718319,550.052499992739,-0.486862381115365,-0.400193205738638,169.30734706195,30.4934657476833,0.271165590643647,0.100154122399476,3,13,0,0,3,12,3,12,0,0,1,1,3,13,0,0,2,12,3,12,0,0,0.666666666666667,1,3,12,-92.7171667255803,0.0866691753767271,fa,treasure,wealth,گنج,ثروت,گنجثروت,رئیس دانشگاه
ثروتمند,543.10115396126,530.747571458882,-0.559999114785572,-0.635370850045279,41.0743311420603,39.0018441722363,0.134800323122088,0.120226573130609,13,7,0,0,13,7,13,7,0,0,1,1,13,7,0,0,13,7,13,7,0,0,1,1,13,7,-12.3535825023775,-0.075371735259707,fa,poor,rich,فقیر,ثروتمند,فقیرثروتمند,جراح
جادوگر,569.291307744694,564.535000000748,-0.505305029569963,-0.352471266344084,24.0388685908445,40.18545144185,0.121808002533006,0.208972132316735,13,10,0,2,13,10,13,10,0,0,1,1,13,10,0,2,12,8,13,10,0,0,0.923076923076923,0.8,13,10,-4.75630774394585,0.152833763225878,fa,magic,wizard,جادو,جادوگر,جادوجادوگر,غرق شدن
جادوگر,569.291307744694,564.535000000748,-0.505305029569963,-0.352471266344084,24.0388685908445,40.18545144185,0.121808002533006,0.208972132316735,13,10,0,2,13,10,13,10,0,0,1,1,13,10,0,2,12,8,13,10,0,0,0.923076923076923,0.8,13,10,-4.75630774394585,0.152833763225878,fa,magic,wizard,جادو,جادوگر,جادوجادوگر,بتن
جادوگر.1,519.778222291119,545.797874988075,-0.461974126237678,-0.368142205158069,60.4848498135801,28.7134012373017,0.249538158880983,0.173170218710672,9,8,0,0,9,8,9,8,0,0,1,1,9,8,0,0,9,8,9,8,0,0,1,1,9,8,26.0196526969559,0.0938319210796086,fa,curse,witch,نفرین,جادوگر,نفرینجادوگر,غرق شدن
جادوگر.1,519.778222291119,545.797874988075,-0.461974126237678,-0.368142205158069,60.4848498135801,28.7134012373017,0.249538158880983,0.173170218710672,9,8,0,0,9,8,9,8,0,0,1,1,9,8,0,0,9,8,9,8,0,0,1,1,9,8,26.0196526969559,0.0938319210796086,fa,curse,witch,نفرین,جادوگر,نفرینجادوگر,بتن
جالب,534.821666767503,401.228500071505,-0.580839145982288,-0.782411673535948,39.3460509420792,4.4655001192005,0.15064860616846,0.169613215812537,12,2,1,0,12,2,12,2,1,0,1,1,12,2,1,0,12,2,12,2,1,0,1,1,12,2,-133.593166695998,-0.20157252755366,fa,exciting,interesting,هیجان انگیز,جالب,هیجان انگیزجالب,کمپانی
جای زخم,589.303399997694,717.438571428492,-0.495720927310319,0.122068374691662,28.2349722828385,76.3102247391582,0.115524367570254,0.334507111145901,10,15,1,0,10,14,10,14,0,0,1,1,10,15,1,0,10,14,10,14,0,0,1,1,10,14,128.135171430798,0.61778930200198,fa,tattoo,scar,خال کوبی,جای زخم,خال کوبیجای زخم,تعجب
جایزه,598.25666671169,592.251199940097,-0.406979772052558,-0.364387561940949,40.1038640594685,54.3061021426345,0.210875719202534,0.218189692178992,9,12,0,0,9,10,9,10,0,0,1,1,9,12,0,0,8,10,9,10,0,0,0.888888888888889,1,9,10,-6.0054667715932,0.042592210111609,fa,nobel,prize,نوبل,جایزه,نوبلجایزه,مسجد
جایزه,598.25666671169,592.251199940097,-0.406979772052558,-0.364387561940949,40.1038640594685,54.3061021426345,0.210875719202534,0.218189692178992,9,12,0,0,9,10,9,10,0,0,1,1,9,12,0,0,8,10,9,10,0,0,0.888888888888889,1,9,10,-6.0054667715932,0.042592210111609,fa,nobel,prize,نوبل,جایزه,نوبلجایزه,غذا
جایزه.1,563.876799927116,589.40492307705,-0.408370825698203,-0.318125074129338,23.4821378899805,71.4591540074193,0.162005476147303,0.263623712184912,5,13,3,2,5,13,5,13,1,1,1,1,5,13,3,2,5,13,5,13,1,1,1,1,5,13,25.5281231499343,0.0902457515688652,fa,bonus,reward,پاداش,جایزه,پاداشجایزه,مسجد
جایزه.1,563.876799927116,589.40492307705,-0.408370825698203,-0.318125074129338,23.4821378899805,71.4591540074193,0.162005476147303,0.263623712184912,5,13,3,2,5,13,5,13,1,1,1,1,5,13,3,2,5,13,5,13,1,1,1,1,5,13,25.5281231499343,0.0902457515688652,fa,bonus,reward,پاداش,جایزه,پاداشجایزه,غذا
جایی,484.030399942794,680.241882344213,-0.806338657519323,0.0457841531652252,28.1132775093188,47.5792036727341,0.144097823978752,0.2531298497991,5,20,1,0,5,17,5,19,0,0,1,0.894736842105263,5,20,1,0,5,17,5,19,0,0,1,0.894736842105263,5,17,196.211482401419,0.852122810684549,fa,elsewhere,somewhere,در جای دیگر,جایی,در جای دیگرجایی,سرقت
جذاب,579.73566667561,602.31463155354,-0.543758735293168,-0.282081843925328,81.8953097430915,92.2429918603707,0.156646122659373,0.479425980205357,6,20,1,3,6,19,6,19,0,1,1,1,6,20,1,3,5,19,6,19,0,1,0.833333333333333,1,6,19,22.5789648779304,0.26167689136784,fa,sweet,cute,دلنشین,جذاب,دلنشینجذاب,رنج کشیدن
جذاب,579.73566667561,602.31463155354,-0.543758735293168,-0.282081843925328,81.8953097430915,92.2429918603707,0.156646122659373,0.479425980205357,6,20,1,3,6,19,6,19,0,1,1,1,6,20,1,3,5,19,6,19,0,1,0.833333333333333,1,6,19,22.5789648779304,0.26167689136784,fa,sweet,cute,دلنشین,جذاب,دلنشینجذاب,پذیرش
جذاب.1,568.726611116283,592.149374997029,-0.437215532300758,-0.509238364663832,56.7302653804912,53.0067912090092,0.41637310777281,0.199229431535558,19,8,0,0,18,8,18,8,0,0,1,1,19,8,0,0,18,8,18,8,0,0,1,1,18,8,23.4227638807455,-0.0720228323630732,fa,attractive,charming,زیبا,جذاب,زیباجذاب,رنج کشیدن
جذاب.1,568.726611116283,592.149374997029,-0.437215532300758,-0.509238364663832,56.7302653804912,53.0067912090092,0.41637310777281,0.199229431535558,19,8,0,0,18,8,18,8,0,0,1,1,19,8,0,0,18,8,18,8,0,0,1,1,18,8,23.4227638807455,-0.0720228323630732,fa,attractive,charming,زیبا,جذاب,زیباجذاب,پذیرش
جذب کردن,611.566333353384,609.561727242917,-0.408993281493383,-0.333957539995501,54.1230247449576,43.4731531839805,0.184820723325132,0.139101853050925,9,11,0,0,9,11,9,11,0,0,1,1,9,11,0,0,9,10,9,11,0,0,1,0.909090909090909,9,11,-2.00460611046651,0.075035741497882,fa,attention,attract,توجه,جذب کردن,توجهجذب کردن,مبارزه کردن
جراحت,624.501714292465,555.146666682377,-0.171704792321539,-0.54410353708699,70.6030379306242,31.7348382920981,0.28675980301442,0.155130398243912,7,9,1,0,7,9,7,9,0,0,1,1,7,9,1,0,6,9,7,9,0,0,0.857142857142857,1,7,9,-69.3550476100878,-0.372398744765451,fa,wound,injury,زخم,جراحت,زخمجراحت,داغ
جرعه,717.29430770397,709.559454540037,0.191328773123861,0.102576392664568,55.9948890378138,68.149053099095,0.240130313393653,0.206548805400899,14,13,0,0,13,11,13,12,0,0,1,0.916666666666667,14,13,0,0,13,12,13,12,0,0,1,1,13,11,-7.73485316393237,-0.0887523804592925,fa,drop,sip,قطره,جرعه,قطرهجرعه,آدم ساده
جرم,545.327666665803,613.148500029808,-0.626869098767097,-0.28123128588812,34.1994151652732,66.6575259488177,0.0732579398347512,0.306039062382249,13,9,0,0,12,6,12,6,0,0,1,1,13,9,0,0,11,6,12,6,0,0,0.916666666666667,1,12,6,67.8208333640046,0.345637812878977,fa,sin,crime,گناه,جرم,گناهجرم,منشی
جسد,560.361999965707,593.242333351235,-0.680914295956678,-0.323740794645779,36.5646667390832,86.6488114114477,0.130078281046374,0.275981067596422,13,15,0,0,13,15,13,15,0,0,1,1,13,15,0,0,13,14,13,15,0,0,1,0.933333333333333,13,15,32.8803333855275,0.3571735013109,fa,body,corpse,بدن,جسد,بدنجسد,نظر
جشنواره,540.376099993149,551.475461484117,-0.499033928849673,-0.57390632262091,36.9070688841483,31.0057670417229,0.0981658255251286,0.125147696515702,10,14,0,0,10,13,10,13,0,0,1,1,10,14,0,0,7,13,10,13,0,0,0.7,1,10,13,11.0993614909679,-0.0748723937712371,fa,carnival,festival,کارناوال,جشنواره,کارناوالجشنواره,زیردریایی
جمجمه,557.125499997589,688.119777782005,-0.497973889042996,-0.179951769168362,30.7692964328445,26.6724304442428,0.133211022654494,0.0608759848292321,12,9,0,0,12,9,12,9,0,0,1,1,12,9,0,0,12,9,12,9,0,0,1,1,12,9,130.994277784416,0.318022119874635,fa,bone,skull,استخوان,جمجمه,استخوانجمجمه,ارزش
جمع آوری,674.303409135853,538.316882359946,0.0115614327849684,-0.543993904360094,58.746477354162,33.4715072698785,0.268657016732191,0.136096771473774,23,17,1,0,22,17,22,17,0,0,1,1,22,17,2,0,21,15,21,17,1,0,1,0.88235294117647,22,17,-135.986526775907,-0.555555337145063,fa,collect,gather,جمع کردن,جمع آوری,جمع کردنجمع آوری,پرنسس
جمله,604.055200036074,520.554923074396,-0.363837445378501,-0.540393025204741,71.5726377156255,35.9934235992683,0.346033729882178,0.148676787466938,10,14,0,2,10,13,10,13,0,0,1,1,10,14,0,2,10,13,10,13,0,0,1,1,10,13,-83.5002769616779,-0.17655557982624,fa,word,sentence,کلمه,جمله,کلمهجمله,نگهبانی
جنگجو,560.953583313472,591.510083361867,-0.3324424153799,-0.448170160070574,39.8303574089575,46.1020397104306,0.173780992163275,0.146522940541885,12,15,2,0,12,12,12,12,1,0,1,1,12,15,2,0,12,11,12,12,1,0,1,0.916666666666667,12,12,30.556500048395,-0.115727744690674,fa,soldier,warrior,سرباز,جنگجو,سربازجنگجو,بخش
جنگنده,638.205235322718,616.231875026075,-0.240228892138921,-0.242385272991313,71.1008290850907,43.4840786770137,0.217712613268523,0.276969022003935,17,8,0,1,17,8,17,8,0,0,1,1,17,8,0,1,16,8,17,8,0,0,0.941176470588235,1,17,8,-21.9733602966434,-0.00215638085239128,fa,champion,fighter,مبارز,جنگنده,مبارزجنگنده,ماه
جنگیدن,675.909000017939,519.225562585511,-0.387506743652031,-0.651677613651402,80.8086869195252,20.9049491991862,0.197548931019459,0.111144882470487,9,16,1,0,9,16,9,16,0,0,1,1,9,16,1,0,9,16,9,16,0,0,1,1,9,16,-156.683437432428,-0.26417086999937,fa,combat,fight,مبارزه کردن,جنگیدن,مبارزه کردنجنگیدن,شبکه
جهان,538.565499992547,611.60092859782,-0.560008597181881,-0.300537594576015,112.897835924259,49.2828415831056,0.376231630457954,0.213654288901145,8,15,0,0,6,14,6,14,0,0,1,1,8,15,0,0,5,12,6,14,0,0,0.833333333333333,0.857142857142857,6,14,73.0354286052733,0.259471002605867,fa,international,world,بین المللی,جهان,بین المللیجهان,سیمان
جهانی,496.579333351977,551.399714257383,-0.643836137455785,-0.476918054007007,45.9077483325988,45.2572504499922,0.146054710096532,0.153753494278725,11,16,0,0,9,14,9,14,0,0,1,1,11,15,0,1,9,7,9,13,0,1,1,0.538461538461538,9,14,54.8203809054063,0.166918083448778,fa,national,global,ملی,جهانی,ملیجهانی,تپانچه
جهش,651.514714288708,704.506841959938,-0.103669168278755,-0.0428808585207616,69.345367488991,89.8446045589223,0.275947514833181,0.300896733452024,7,20,0,1,7,19,7,19,0,0,1,1,7,20,0,1,7,18,7,19,0,0,1,0.947368421052632,7,19,52.9921276712299,0.0607883097579937,fa,evolution,mutation,تکامل,جهش,تکاملجهش,دغدغه
جهنم,523.649583288641,504.311230710479,-0.808765048584241,-0.727733951716278,49.4415658978212,22.3416307017796,0.136271900438876,0.0822734060972147,12,15,0,0,12,13,12,13,0,0,1,1,12,15,0,0,12,13,12,13,0,0,1,1,12,13,-19.3383525781613,0.0810310968679636,fa,paradise,hell,بهشت,جهنم,بهشتجهنم,اجازه
جواب,609.640181814622,607.837000001248,-0.241868543967138,-0.246785133913426,74.0651795873174,44.5000460051323,0.27788684917929,0.170856992078044,11,20,0,0,11,19,11,19,0,0,1,1,11,20,0,0,10,18,11,19,0,0,0.909090909090909,0.947368421052632,11,19,-1.80318181337407,-0.00491658994628816,fa,answer,reply,پاسخ,جواب,پاسخجواب,چشم
جوان,577.436909112299,464.58399999364,-0.516578959985662,-0.739477734604277,54.3451543794941,35.8153825885586,0.165394264163415,0.129304680087257,12,14,0,0,11,14,11,14,0,0,1,1,12,14,0,0,11,13,11,14,0,0,1,0.928571428571429,11,14,-112.852909118659,-0.222898774618615,fa,teenage,teenager,نوجوان,جوان,نوجوانجوان,غیر مجاز
جوان,577.436909112299,464.58399999364,-0.516578959985662,-0.739477734604277,54.3451543794941,35.8153825885586,0.165394264163415,0.129304680087257,12,14,0,0,11,14,11,14,0,0,1,1,12,14,0,0,11,13,11,14,0,0,1,0.928571428571429,11,14,-112.852909118659,-0.222898774618615,fa,teenage,teenager,نوجوان,جوان,نوجوانجوان,شراب
