target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,ur_cue,ur_target,ur_word_combo
بہرا,663.723272763648,893.588142876573,-0.854415920722101,-0.18034736524114,67.5363712523238,73.1746692513065,0.118118991393102,0.14630413644974,22,52,1,2,11,28,12,30,0,0,0.916666666666667,0.933333333333333,22,54,1,0,12,28,12,30,0,0,1,0.933333333333333,11,28,229.864870112924,0.674068555480961,ur,blind,deaf,اندھا,بہرا,اندھابہرا
بیئر,1116.88629630831,1363.56200001726,0.50981822733884,1.15725408309478,104.289837104344,125.963557451614,0.235712353876848,0.31796369028969,47,44,1,2,27,14,30,28,0,1,0.9,0.5,47,46,1,0,29,16,30,29,0,0,0.966666666666667,0.551724137931034,27,14,246.675703708949,0.647435855755935,ur,drink,beer,شراب نوشی,بیئر,شراب نوشیبیئر
بیان,644.947000042654,657.326545455701,-0.754605943782538,-0.723049367971741,24.0043135372595,48.8099705789746,0.0583160329697695,0.126246698861447,27,41,0,3,13,22,13,22,0,0,1,1,27,41,0,3,13,22,13,22,0,0,1,1,13,22,12.3795454130465,0.0315565758107964,ur,comment,statement,تبصرہ,بیان,تبصرہبیان
بیرونی,560.076133400427,759.407500014084,-0.879387608288791,-0.44220465965381,26.9351920582642,51.9309531711856,0.065824796920001,0.1167616060445,29,36,3,0,15,22,15,22,1,0,1,1,29,36,3,0,15,22,15,22,1,0,1,1,15,22,199.331366613657,0.43718294863498,ur,internal,external,اندرونی,بیرونی,اندرونیبیرونی
بیس بال,936.038307701346,867.398681816003,0.0304718029965677,0.0833035320720284,89.8228528024888,77.8754558632357,0.174737721729703,0.200185279289515,33,43,2,1,13,22,15,24,0,1,0.866666666666667,0.916666666666667,33,43,2,1,12,24,15,24,0,1,0.8,1,13,22,-68.639625885343,0.0528317290754607,ur,stadium,baseball,اسٹیڈیم,بیس بال,اسٹیڈیمبیس بال
بیمار,601.596826110563,645.18312497413,-0.886269675109793,-0.543136469044562,33.5014655183642,63.1647347925999,0.0974471160059107,0.225888430786242,39,32,0,2,23,16,24,16,0,0,0.958333333333333,1,39,32,0,2,18,12,24,16,0,0,0.75,0.75,23,16,43.586298863567,0.343133206065231,ur,ill,sick,علیل,بیمار,علیلبیمار
بیماری,636.013266659961,718.938249996413,-0.811861433798335,-0.651266018467893,40.4373734151711,73.7082463529407,0.066857841306882,0.123602406568331,50,25,1,0,30,12,31,12,0,0,0.967741935483871,1,50,25,1,0,27,10,31,12,0,0,0.870967741935484,0.833333333333333,30,12,82.924983336452,0.160595415330442,ur,flu,disease,فلو,بیماری,فلوبیماری
بین الاقوامی,666.633578935607,763.939900034107,-0.606435969133959,-0.214349960505822,36.62077763638,49.0829662074048,0.0931722183373116,0.0928625952594781,40,39,1,2,19,20,19,21,1,1,1,0.952380952380952,40,40,1,1,20,20,20,22,0,0,1,0.909090909090909,19,20,97.3063210985001,0.392086008628137,ur,national,global,قومی,بین الاقوامی,قومیبین الاقوامی
بینڈ,1113.56709087639,899.347272765465,0.183839071571745,-0.138994311026194,117.797182248725,133.661922534781,0.176357086688596,0.219103759148841,56,25,1,1,22,11,27,15,0,0,0.814814814814815,0.733333333333333,54,25,3,1,12,15,26,15,1,0,0.461538461538462,1,22,11,-214.219818110922,-0.322833382597939,ur,orchestra,band,آرکسٹرا,بینڈ,آرکسٹرابینڈ
بیوقوف,679.793299985648,737.547259222553,-0.707600194499063,-0.58370338277531,66.5839717048246,69.0499805198185,0.105539471248076,0.109605520781837,37,50,0,1,20,27,20,27,0,0,1,1,37,50,0,1,17,26,20,27,0,0,0.85,0.962962962962963,20,27,57.753959236905,0.123896811723753,ur,naive,stupid,سادہ لوح,بیوقوف,سادہ لوحبیوقوف
بیوقوفی,725.7756842267,945.936357132072,-0.432725584992966,-0.0899752765763776,62.5796944407101,96.4249576596436,0.157272716686617,0.226561824099466,36,51,0,1,19,28,19,29,0,0,1,0.96551724137931,35,51,1,1,19,27,19,29,0,0,1,0.931034482758621,19,28,220.160672905372,0.342750308416589,ur,madness,stupidity,پاگل پن,بیوقوفی,پاگل پنبیوقوفی
بیوی,554.297812462348,706.904519997527,-0.948405629836401,-0.591738649198636,53.3841867266248,66.3200098007664,0.104745480348235,0.106644388489592,51,48,1,0,32,25,32,25,0,0,1,1,51,48,1,0,31,24,32,25,0,0,0.96875,0.96,32,25,152.606707535179,0.356666980637765,ur,husband,wife,شوہر,بیوی,شوہربیوی
بیٹ مین,813.804999975569,1321.71983331149,-0.148906182334795,1.14865847837461,50.5814480279007,129.956877246341,0.133852389056952,0.334394987423946,34,22,1,0,19,6,21,10,1,0,0.904761904761905,0.6,33,22,2,0,19,10,22,10,0,0,0.863636363636364,1,19,6,507.914833335921,1.29756466070941,ur,superman,batman,سپرمین,بیٹ مین,سپرمینبیٹ مین
بیٹا,528.567857128984,580.49773335441,-1.03297274521929,-0.815477475233628,22.8910904546173,28.8350539191543,0.0836080335580429,0.0780555590003024,51,22,2,3,28,15,28,15,0,0,1,1,51,23,2,2,28,14,28,15,0,0,1,0.933333333333333,28,15,51.9298762254258,0.217495269985658,ur,daughter,son,بیٹی,بیٹا,بیٹیبیٹا
بیٹھنا,645.190580544466,889.334999951729,-0.640138860400038,-0.0805708491681775,48.9045955885893,86.6258702167702,0.1231727583417,0.210379319449167,54,31,0,0,31,17,31,17,0,0,1,1,54,30,0,1,30,13,31,17,0,0,0.967741935483871,0.764705882352941,31,17,244.144419407264,0.559568011231861,ur,stand,sit,کھڑا ھونا,بیٹھنا,کھڑا ھونابیٹھنا
بیچنا,678.11880772433,916.244166729618,-0.575645429837818,-0.137733841682247,40.7707221044857,113.502913560061,0.184870209646334,0.217991762875567,52,25,2,0,26,12,26,12,0,0,1,1,52,25,2,0,25,8,26,12,0,0,0.961538461538462,0.666666666666667,26,12,238.125359005288,0.43791158815557,ur,buy,sell,خریدنا,بیچنا,خریدنابیچنا
بیڈروم,705.262035641063,871.469086956284,-0.504010627822923,-0.246759272139473,42.6318334564745,50.4873035471088,0.0786414041772097,0.12478772489022,51,43,2,1,28,23,28,25,0,1,1,0.92,52,44,1,0,28,24,28,26,0,0,1,0.923076923076923,28,23,166.20705131522,0.25725135568345,ur,room,bedroom,کمرہ,بیڈروم,کمرہبیڈروم
بیڑے,1066.51795452802,1022.46619999359,0.262605990795557,0.445574490831413,80.5576563473418,51.8612153658376,0.177688801910819,0.223000928760399,50,40,3,1,22,20,26,24,0,0,0.846153846153846,0.833333333333333,50,39,3,2,21,14,26,22,0,2,0.807692307692308,0.636363636363636,22,20,-44.0517545344305,0.182968500035855,ur,naval,fleet,بحریہ,بیڑے,بحریہبیڑے
بے بس,800.904590921301,698.431450009468,-0.143969019354646,-0.534919552965563,57.4295045282876,29.6319674587149,0.208459105245467,0.0929042527577274,36,40,1,0,22,20,22,23,0,0,1,0.869565217391304,36,40,1,0,22,20,22,23,0,0,1,0.869565217391304,22,20,-102.473140911833,-0.390950533610917,ur,helpless,powerless,مایوس,بے بس,مایوسبے بس
تائید کرنا,734.924823553341,906.952999817405,-0.373402463350175,0.0444133054805304,53.6941989330042,66.7793155817298,0.138339021572588,0.129274033563012,34,46,1,2,17,22,18,25,0,0,0.944444444444444,0.88,33,45,2,3,18,23,18,25,0,0,1,0.92,17,22,172.028176264064,0.417815768830705,ur,form,sign,اطلاع دینا,تائید کرنا,اطلاع دیناتائید کرنا
تابکاری,1252.7934705504,1370.45524997237,0.928815334584365,1.42990664729747,112.856097875385,182.298483695402,0.271344312360987,0.460575190925081,45,40,2,2,17,8,26,18,1,0,0.653846153846154,0.444444444444444,46,39,1,3,25,16,26,17,1,1,0.961538461538462,0.941176470588235,17,8,117.661779421972,0.501091312713103,ur,contamination,radiation,آلودگی,تابکاری,آلودگیتابکاری
تار,670.867750006386,603.250444409984,-0.689888051177854,-0.763967632417206,71.2471446566882,43.2989025469251,0.122370607932778,0.0983807018677084,37,23,0,0,24,9,24,9,0,0,1,1,37,22,0,1,22,9,24,9,0,0,0.916666666666667,1,24,9,-67.617305596402,-0.0740795812393525,ur,cable,wire,کیبل,تار,کیبلتار
تازگی بخشنا,1040.95604536852,1027.85542107713,0.51077810468744,0.404033828734032,56.2127878866438,72.2483044658104,0.1829626055071,0.167495773244249,42,39,3,0,22,19,23,20,0,0,0.956521739130435,0.95,44,38,1,1,23,16,23,20,0,0,1,0.8,22,19,-13.100624291385,-0.106744275953408,ur,fresh,refresh,تازه,تازگی بخشنا,تازهتازگی بخشنا
تالہ,650.719666623414,748.293517199102,-0.573000543006568,-0.561663013705952,43.8004470942722,56.6303713201088,0.142890257977744,0.117712371880672,50,48,0,0,30,29,31,30,0,0,0.967741935483871,0.966666666666667,50,45,0,3,29,27,31,30,0,0,0.935483870967742,0.9,30,29,97.5738505756881,0.0113375293006157,ur,key,lock,چابی,تالہ,چابیتالہ
تاوان,716.071857154409,853.956384608665,-0.538047878233804,-0.0668936570588242,50.0801035885703,101.313356654013,0.0955446649248852,0.239670598095845,50,25,0,0,28,13,31,16,0,0,0.903225806451613,0.8125,50,25,0,0,30,16,31,16,0,0,0.967741935483871,1,28,13,137.884527454256,0.47115422117498,ur,kidnapper,ransom,اغوا,تاوان,اغواتاوان
تباہی,735.145441182312,708.020777769037,-0.398686240706571,-0.547934385791155,42.9831475009035,57.5385845523327,0.134278211700831,0.0928218297084442,51,41,1,1,34,18,35,18,0,0,0.971428571428571,1,51,41,1,1,33,15,34,18,1,0,0.970588235294118,0.833333333333333,34,18,-27.1246634132748,-0.149248145084584,ur,creation,destruction,تخلیق,تباہی,تخلیقتباہی
تجزیہ,655.075121233373,709.099260791625,-0.717989910025915,-0.523204463967419,34.9192847610124,44.5376858343094,0.0685090495080812,0.0954363834555152,51,34,2,1,33,23,33,25,1,0,1,0.92,51,34,2,1,33,25,34,25,0,0,0.970588235294118,1,33,23,54.0241395582514,0.194785446058497,ur,autopsy,analysis,پوسٹ مارٹم,تجزیہ,پوسٹ مارٹمتجزیہ
تحفہ,692.496904727383,642.608259246564,-0.652855522445405,-0.786805215659019,102.079082267173,31.5040242309006,0.225081177929968,0.0884049943381599,37,50,2,0,21,27,21,27,1,0,1,1,36,49,3,1,20,26,20,27,2,0,1,0.962962962962963,21,27,-49.888645480819,-0.133949693213614,ur,compliment,gift,تعریف,تحفہ,تعریفتحفہ
تخت,659.72293752756,723.228681942955,-0.783476935219184,-0.504944843753664,57.5208286488964,39.5964985147173,0.118868513232326,0.110379405899896,31,40,0,1,16,22,16,22,0,0,1,1,31,40,0,1,16,21,16,22,0,0,1,0.954545454545455,16,22,63.5057444153947,0.27853209146552,ur,crown,throne,تاج,تخت,تاجتخت
تخریب کاری,969.246874985874,1143.57857141345,0.0989181772886784,0.452271799563385,87.0909126477924,93.73697446059,0.170618638559099,0.168947764382151,44,37,0,0,16,21,17,21,0,0,0.941176470588235,1,44,36,0,1,17,10,17,21,0,0,1,0.476190476190476,16,21,174.331696427578,0.353353622274706,ur,espionage,sabotage,جاسوسی,تخریب کاری,جاسوسیتخریب کاری
تخلیقی صلاحیت,1131.27014284385,1056.50046875945,0.461220586094418,0.332263518866187,104.753207607698,55.6512223167996,0.263481999151819,0.118748318239426,31,50,1,0,21,32,21,33,0,0,1,0.96969696969697,31,50,1,0,18,27,21,33,0,0,0.857142857142857,0.818181818181818,21,32,-74.7696740843928,-0.128957067228231,ur,imagination,creativity,تخیل,تخلیقی صلاحیت,تخیلتخلیقی صلاحیت
تخیل,905.706050052297,913.875111107748,-0.0840519155525135,-0.00329891587797014,116.706282323005,167.957501329131,0.230544296941017,0.322815466467683,38,18,1,2,20,9,27,10,0,1,0.740740740740741,0.9,38,18,1,2,27,10,27,10,0,1,1,1,20,9,8.16906105545024,0.0807529996745434,ur,reality,fantasy,حقیقت,تخیل,حقیقتتخیل
ترتیب دینا,758.366551747427,772.778517276303,-0.499860732029153,-0.467776516496621,43.0992044476328,70.0276490693411,0.113812943811732,0.113108464179647,51,46,1,1,29,29,30,29,0,1,0.966666666666667,1,49,46,3,1,28,26,29,29,1,1,0.96551724137931,0.896551724137931,29,29,14.4119655288755,0.0320842155325323,ur,arrange,organize,انتظام کرنا,ترتیب دینا,انتظام کرناترتیب دینا
ترقی,706.442142861879,600.464935357074,-0.698239567341855,-0.765535167263418,79.9648485447051,30.5217544802903,0.176233781783466,0.0983824172009459,18,50,1,0,7,31,7,31,0,0,1,1,18,50,1,0,7,29,7,31,0,0,1,0.935483870967742,7,31,-105.977207504805,-0.0672955999215633,ur,progress,development,پیش قدمی,ترقی,پیش قدمیترقی
ترک کرنا,776.907749976131,783.458823482136,-0.457273859467078,-0.48328444356584,67.2842547702201,73.0079056421054,0.123049071617356,0.103306848699515,50,44,7,1,28,17,28,17,2,0,1,1,50,44,7,1,28,13,28,17,2,0,1,0.764705882352941,28,17,6.55107350600508,-0.0260105840987624,ur,leave,abandon,چھوڑ دینا,ترک کرنا,چھوڑ دیناترک کرنا
تشخیص,879.839300031584,827.636230756628,-0.320719787847032,-0.250079566761077,59.4718823977002,105.084694689709,0.1204466247325,0.176275134576904,50,32,0,0,30,13,30,14,0,0,1,0.928571428571429,50,32,0,0,30,12,30,14,0,0,1,0.857142857142857,30,13,-52.203069274956,0.0706402210859545,ur,observation,evaluation,مشاہدہ,تشخیص,مشاہدہتشخیص
تشدد,780.391912960774,692.090000040633,-0.311539624836467,-0.567270583103964,47.0716269271654,47.7686710544513,0.113148564507326,0.115437486196574,48,21,2,0,24,11,24,13,0,0,1,0.846153846153846,48,21,2,0,24,11,24,13,0,0,1,0.846153846153846,23,11,-88.3019129201402,-0.255730958267497,ur,torment,torture,عذاب,تشدد,عذابتشدد
تشکر,763.795214240526,977.658846122394,-0.483515049881277,0.0597793829978173,57.2470030336347,80.9623286917399,0.0985173639500579,0.222965380540755,50,50,2,2,28,26,31,32,0,0,0.903225806451613,0.8125,50,50,2,2,30,32,31,32,0,0,0.967741935483871,1,28,26,213.863631881869,0.543294432879095,ur,hospitality,gratitude,تواضع,تشکر,تواضعتشکر
تصدیق,656.454285758642,715.185470605074,-0.698355315264407,-0.48320952189202,35.2206449940101,60.0314618278299,0.079972227752908,0.145413250148056,43,32,1,0,28,17,28,17,0,0,1,1,43,32,1,0,27,17,28,17,0,0,0.964285714285714,1,28,17,58.7311848464317,0.215145793372386,ur,check,verify,چیک کرنا,تصدیق,چیک کرناتصدیق
تعریف,598.87115790547,657.260684271564,-0.844804043771539,-0.715154123325236,48.0755700536287,63.6635766116229,0.0973964107466259,0.146178793904366,28,34,0,0,19,19,19,19,0,0,1,1,28,34,0,0,18,19,19,19,0,0,0.947368421052632,1,19,19,58.3895263660941,0.129649920446303,ur,concept,definition,تصور,تعریف,تصورتعریف
تعلق,658.779148150512,731.774999999137,-0.674364913832819,-0.393845962795855,49.3136426107175,59.2765477437265,0.116791990905998,0.15476367586046,46,27,0,0,27,17,28,17,0,0,0.964285714285714,1,46,26,0,1,27,16,28,16,0,1,0.964285714285714,1,27,17,72.9958518486246,0.280518951036964,ur,contact,connection,رابطہ,تعلق,رابطہتعلق
تعلیم,641.588608704776,630.375259211399,-0.599884917657287,-0.667763302854682,56.8238758579054,46.643614838217,0.159472432072936,0.164822934854996,42,46,2,2,23,27,23,28,0,0,1,0.964285714285714,42,46,2,2,23,28,23,28,0,0,1,1,23,27,-11.2133494933773,-0.0678783851973943,ur,health,education,صحت,تعلیم,صحتتعلیم
تفتیش کرنے والا,1363.75279998956,1268.32919229436,1.00184921733816,0.910652727619194,136.725275915229,129.641750935588,0.34347827165949,0.267802618453624,28,41,3,1,15,26,17,26,0,1,0.88235294117647,1,30,42,1,0,17,25,17,27,0,0,1,0.925925925925926,15,26,-95.4236076952022,-0.091196489718963,ur,analyst,investigator,تجزیہ کار,تفتیش کرنے والا,تجزیہ کارتفتیش کرنے والا
تفریح,633.252705844619,735.481307712647,-0.57031822695772,-0.457194254643743,29.9395162482698,50.9310320336302,0.0678635535885407,0.093085319643709,36,38,1,1,17,26,18,26,0,0,0.944444444444444,1,35,38,2,1,16,26,18,26,0,0,0.888888888888889,1,17,26,102.228601868027,0.113123972313977,ur,play,game,کھیل,تفریح,کھیلتفریح
تفریق,781.117470579341,875.109842098106,-0.352093122863819,-0.184751459930346,68.6085788770355,57.1094517864691,0.15623939166682,0.118130099635129,36,30,1,1,17,19,18,19,0,0,0.944444444444444,1,35,30,2,1,16,12,18,19,0,0,0.888888888888889,0.631578947368421,17,19,93.9923715187647,0.167341662933473,ur,plus,minus,جمع,تفریق,جمعتفریق
تفشیش کرنا,884.725272718182,1308.95507688193,0.0178738903078964,0.526654096431818,93.7882945898395,192.301728550048,0.210463966106432,0.339189534232338,35,32,3,0,11,13,14,15,1,0,0.785714285714286,0.866666666666667,32,31,6,1,11,11,13,14,2,1,0.846153846153846,0.785714285714286,11,13,424.229804163744,0.508780206123922,ur,examine,investigate,جانچ پڑتال,تفشیش کرنا,جانچ پڑتالتفشیش کرنا
تفصیل,753.587315747991,787.519086957196,-0.475854798269398,-0.379026117817325,52.2325765951449,67.7913056112157,0.166231140404491,0.13843861178575,31,46,1,0,19,23,19,26,0,0,1,0.884615384615385,29,46,3,0,17,25,18,26,1,0,0.944444444444444,0.961538461538462,19,23,33.931771209205,0.096828680452073,ur,profile,description,پروفائل,تفصیل,پروفائلتفصیل
تقریب,754.498999974828,771.658227236753,-0.643507123213493,-0.425530170822715,78.6090802112572,79.1662086097925,0.132327848462097,0.203131759081852,21,47,1,1,11,22,12,22,0,0,0.916666666666667,1,19,48,3,0,12,20,12,22,0,0,1,0.909090909090909,11,22,17.1592272619251,0.217976952390779,ur,ritual,ceremony,رسم,تقریب,رسمتقریب
تقریب.1,698.618290170875,752.33951999729,-0.648769016767348,-0.406126390856931,40.1450103438387,48.2026988102918,0.0851362845672021,0.147640448191595,51,38,0,3,31,25,32,25,0,1,0.96875,1,50,35,1,6,19,22,32,23,0,3,0.59375,0.956521739130435,31,25,53.7212298264149,0.242642625910417,ur,phenomenon,event,مظہرقدرت,تقریب,مظہرقدرتتقریب
تقسیم,576.829537917448,906.445555553325,-0.683143234776565,0.0435585866186405,49.4274161033093,127.681669757334,0.109539859348293,0.365945160837713,28,21,0,0,13,9,13,9,0,0,1,1,28,20,0,1,9,4,13,9,0,0,0.692307692307692,0.444444444444444,13,9,329.616017635878,0.726701821395205,ur,unit,division,اکائی,تقسیم,اکائیتقسیم
تلفظ,737.722800009523,788.763749964234,-0.467466191180067,-0.176938983575089,54.6041710898888,56.3549420628467,0.124961949681748,0.26288619381924,31,27,0,2,15,12,15,15,0,0,1,0.8,31,27,0,2,12,13,15,15,0,0,0.8,0.866666666666667,15,12,51.0409499547116,0.290527207604978,ur,voice,accent,آواز,تلفظ,آوازتلفظ
تمغہ,815.080692328155,726.868166594771,-0.161644374255995,-0.448010262991064,67.9393742422034,59.3346694696922,0.135118476257656,0.088800447465233,18,27,0,0,13,12,14,15,0,0,0.928571428571429,0.8,18,27,0,0,12,14,14,15,0,0,0.857142857142857,0.933333333333333,13,12,-88.2125257333839,-0.286365888735069,ur,trophy,medal,ٹرافی,تمغہ,ٹرافیتمغہ
تنخواہ,761.008000034471,706.07436839933,-0.439073825875035,-0.573792058673873,59.8878688810185,59.1790342881406,0.119607052803883,0.092965757451695,37,41,0,1,19,19,20,20,0,0,0.95,0.95,37,42,0,0,20,19,20,20,0,0,1,0.95,19,19,-54.9336316351415,-0.134718232798838,ur,pension,salary,پینشن,تنخواہ,پینشنتنخواہ
تنگ گلی,1016.48135297227,1161.75747365725,0.0543773716602096,0.883443041191031,75.7917371313484,79.0949840097272,0.174118252096275,0.209368935094566,38,53,2,0,17,19,20,20,0,0,0.85,0.95,39,53,1,0,15,19,20,20,0,0,0.75,0.95,17,19,145.276120684985,0.829065669530821,ur,corner,alley,کونہ,تنگ گلی,کونہتنگ گلی
تنہا,631.964333341386,706.443333395175,-0.75417336857026,-0.358203241285814,51.3226361814058,94.7694512623033,0.106115088798132,0.321100340272907,35,22,1,1,18,12,18,12,0,0,1,1,35,23,1,0,18,11,18,12,0,0,1,0.916666666666667,18,12,74.4790000537887,0.395970127284446,ur,alone,lonely,اکیلا,تنہا,اکیلاتنہا
توانائی,823.436818202554,706.019559947553,-0.32437960613316,-0.600358068612349,63.3985130411866,32.386862728719,0.171145188504495,0.080723220669862,50,44,0,1,33,25,34,26,0,1,0.970588235294118,0.961538461538462,49,45,1,0,34,25,34,27,0,0,1,0.925925925925926,33,25,-117.417258255002,-0.275978462479189,ur,power,energy,طاقت,توانائی,طاقتتوانائی
توجہ مرکوز کرنا,1121.94270588883,1343.43748000658,0.519524301468144,1.00066582632346,83.9945376981181,131.748714919423,0.172076490070068,0.275934824452451,31,49,0,2,17,25,19,25,0,1,0.894736842105263,1,30,50,1,1,11,22,19,26,0,0,0.578947368421053,0.846153846153846,17,25,221.494774117746,0.481141524855319,ur,focus,concentrate,نقطہ ارتکاز,توجہ مرکوز کرنا,نقطہ ارتکازتوجہ مرکوز کرنا
توقع,581.248437497474,772.667749967875,-0.849802795990722,-0.48403229950406,29.6301660788461,52.4272765056745,0.076685118678904,0.0803293365645984,34,35,0,2,16,16,17,18,0,0,0.941176470588235,0.888888888888889,34,35,0,2,17,7,17,18,0,0,1,0.388888888888889,16,16,191.419312470402,0.365770496486662,ur,wait,expect,انتظار,توقع,انتظارتوقع
تولیہ,758.470571430988,768.158374978393,-0.422588015310508,-0.271951057680331,81.7481382083643,76.8646351119372,0.173671534730116,0.159230767226338,41,19,1,1,21,8,23,8,0,0,0.91304347826087,1,41,20,1,0,20,7,23,8,0,0,0.869565217391304,0.875,21,8,9.68780354740534,0.150636957630178,ur,blanket,towel,کمبل,تولیہ,کمبلتولیہ
توپ خانے,1102.02553846752,1019.08568420869,0.480663577167136,0.241350748305673,143.327686083394,98.9740627408194,0.2587463517973,0.186884097794726,21,35,0,0,13,19,13,20,0,0,1,0.95,21,33,0,2,13,10,13,20,0,0,1,0.5,13,19,-82.9398542588334,-0.239312828861463,ur,cavalry,artillery,رسالہ,توپ خانے,رسالہتوپ خانے
توڑنا,631.147176463492,756.841000020609,-0.789569190122645,-0.499864055244073,28.259612736053,58.170088724983,0.0635300276670203,0.144795367359453,40,43,0,0,17,26,17,26,0,0,1,1,40,42,0,1,17,26,17,26,0,0,1,1,17,26,125.693823557117,0.289705134878573,ur,smash,break,پاش پاش کرنا,توڑنا,پاش پاش کرناتوڑنا
تکبر,642.271878818353,669.534736833459,-0.745409780167778,-0.726100919791284,28.7654572787649,35.2978379179035,0.0858997250718683,0.0805863240716171,47,37,2,2,33,19,34,19,0,0,0.970588235294118,1,47,37,2,2,34,19,34,19,0,0,1,1,33,19,27.2628580151052,0.0193088603764937,ur,ignorance,arrogance,جہالت,تکبر,جہالتتکبر
تکنیک,996.729428525158,1132.85244450302,0.0497740141917275,0.177047335829481,100.811512929892,115.892911382991,0.17280039109854,0.182167032769493,32,40,1,0,14,18,17,23,1,0,0.823529411764706,0.782608695652174,33,40,0,0,18,23,18,23,0,0,1,1,14,18,136.123015977866,0.127273321637754,ur,method,technique,طریقہ,تکنیک,طریقہتکنیک
تھیلا,743.221285697849,724.342333306126,-0.290951717431977,-0.444775753590958,58.7751441304325,47.5641028785124,0.150900944385645,0.138624589648214,39,26,1,0,21,15,23,18,0,0,0.91304347826087,0.833333333333333,39,26,1,0,22,18,23,18,0,0,0.956521739130435,1,21,15,-18.8789523917231,-0.153824036158982,ur,box,bag,ڈبہ,تھیلا,ڈبہتھیلا
تھیٹر,872.594533336533,981.165684218391,0.131215859386817,0.294199821064164,85.1514976015265,87.2478218633978,0.275042916814227,0.246198779017097,33,40,2,1,15,19,16,20,0,0,0.9375,0.95,34,39,1,2,14,18,16,19,0,1,0.875,0.947368421052632,15,19,108.571150881858,0.162983961677348,ur,cinema,theater,سنیما,تھیٹر,سنیماتھیٹر
تہذیب,577.442999946637,648.154558808192,-0.713464813043662,-0.785426421341226,35.099302803984,32.140962713852,0.111648184423505,0.0568964318844133,26,50,1,0,15,34,15,34,1,0,1,1,26,50,1,0,13,34,15,34,1,0,0.866666666666667,1,15,34,70.7115588615553,-0.0719616082975639,ur,culture,civilization,ثقافت,تہذیب,ثقافتتہذیب
تہوار,670.219954616251,703.403043485772,-0.559226496138713,-0.569628918121555,45.1162687384939,46.2630235930652,0.131260723365722,0.0978712429223628,42,38,1,1,22,23,22,23,0,0,1,1,42,38,1,1,21,21,22,23,0,0,0.954545454545455,0.91304347826087,22,23,33.1830888695206,-0.0104024219828414,ur,carnival,festival,جشن,تہوار,جشنتہوار
تیار,795.218789486227,702.032874995537,-0.543275333435138,-0.633516063539092,78.2558082541739,120.516085317101,0.149888672343137,0.353241420134495,45,28,1,1,19,8,19,8,0,0,1,1,44,28,2,1,14,8,19,8,0,0,0.736842105263158,1,19,8,-93.1859144906898,-0.0902407301039537,ur,ready,prepare,مستعد,تیار,مستعدتیار
تیرنا,831.373407356623,834.445043465259,-0.434348693309089,-0.199001437196237,90.3950629329168,86.8959938341317,0.139424811174147,0.178889674726078,41,42,0,2,27,23,27,24,0,0,1,0.958333333333333,39,43,2,1,25,21,26,24,1,0,0.961538461538462,0.875,27,23,3.07163610863665,0.235347256112852,ur,drown,swim,ڈوبنا,تیرنا,ڈوبناتیرنا
تیز,674.247719991654,685.768047574589,-0.691465926942233,-0.782261154863827,54.0523531951802,66.5763339631046,0.134232279438726,0.131421064317635,41,42,0,1,25,21,25,21,0,0,1,1,41,42,0,1,20,21,25,21,0,0,0.8,1,25,21,11.5203275829351,-0.0907952279215942,ur,slow,fast,سست,تیز,سستتیز
تیل,623.857749995732,644.797958305802,-0.656339811367711,-0.702559328194573,54.3617093616083,33.7601337802667,0.142131566885766,0.072405295111332,30,37,1,1,12,24,12,26,0,0,1,0.923076923076923,30,36,1,2,10,25,12,26,0,0,0.833333333333333,0.961538461538462,12,24,20.9402083100699,-0.0462195168268618,ur,coal,oil,کوئلہ,تیل,کوئلہتیل
تین,630.547576870765,699.442703674891,-0.738900214220772,-0.708410336404038,40.3786640147143,55.9498783479321,0.109468573607244,0.10309871194809,42,47,0,1,26,27,26,28,0,1,1,0.964285714285714,42,43,0,5,22,21,26,26,0,3,0.846153846153846,0.807692307692308,26,27,68.8951268041263,0.0304898778167342,ur,one,three,ایک,تین,ایکتین
تین گنا,918.475571439096,1062.67886653711,-0.134366763517154,0.4257419961368,130.228487815579,127.516891098636,0.242521429866117,0.26397697765161,29,34,0,0,14,15,14,17,0,0,1,0.88235294117647,28,34,1,0,11,14,14,17,0,0,0.785714285714286,0.823529411764706,14,15,144.20329509801,0.560108759653954,ur,double,triple,دگنا,تین گنا,دگناتین گنا
