target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,ro_cue,ro_target,ro_word_combo,unrelated_ro_cue
armă.1,555.630571433612,659.036148129036,-0.720330121165595,-0.359042758453819,29.724876297168,25.5291771277505,0.0723450269067427,0.0763578446005211,54,60,0,3,49,54,50,54,0,1,0.98,1,54,60,0,3,49,53,50,54,0,1,0.98,0.981481481481482,49,54,103.405576695424,0.361287362711777,ro,rifle,gun,puşcă,armă,puşcăarmă,plus
aroganţă,674.514260929064,687.588509807525,-0.307170485143214,-0.277641227047112,33.353711895994,30.6122466814132,0.088382300838773,0.0774864352185078,50,54,0,0,46,51,47,52,0,0,0.978723404255319,0.980769230769231,50,54,0,0,46,49,47,52,0,0,0.978723404255319,0.942307692307692,46,51,13.0742488784618,0.0295292580961014,ro,ignorance,arrogance,ignoranţă,aroganţă,ignoranţăaroganţă,inel
arteră,671.73472726749,761.942946465836,-0.25056517248777,0.0191279525039122,22.3159221533209,34.6370306121408,0.0680434541788294,0.109495030778378,52,65,2,3,44,56,45,59,0,0,0.977777777777778,0.949152542372881,51,65,3,3,44,59,44,59,1,0,1,1,44,56,90.2082191983461,0.269693124991682,ro,vein,artery,venă,arteră,venăarteră,tineret
artificial,618.518644445231,626.516829236121,-0.492109708300039,-0.448772519569794,19.6329088323924,19.8916157398793,0.0579217136536904,0.0687244957257738,50,50,0,2,45,42,47,43,0,0,0.957446808510638,0.976744186046512,50,50,0,2,47,41,47,43,0,0,1,0.953488372093023,45,41,7.99818479088981,0.0433371887302456,ro,natural,artificial,natural,artificial,naturalartificial,secretar
artilerie,726.382132093323,970.712361718147,-0.189018885262878,0.53563812447628,33.9033492676486,63.4655485580828,0.0880333106725046,0.138948032854516,63,54,3,4,53,47,56,52,0,1,0.946428571428571,0.903846153846154,63,53,3,5,53,50,56,51,0,2,0.946428571428571,0.980392156862745,53,47,244.330229624824,0.724657009739158,ro,cavalry,artillery,cavalerie,artilerie,cavalerieartilerie,blocat
asasin,782.668199989582,762.504090915026,-0.0636339777909965,0.00871146355285258,42.2028093185769,41.0080463779796,0.118581697884128,0.145615802749427,55,52,0,2,51,44,52,47,0,0,0.980769230769231,0.936170212765957,55,52,0,2,43,44,52,47,0,0,0.826923076923077,0.936170212765957,50,44,-20.1641090745558,0.0723454413438491,ro,mercenary,assassin,mercenar,asasin,mercenarasasin,steag
ascundere,669.434276608743,768.858234034434,-0.340024928647507,-0.0155918522310531,55.1120136324573,57.2917857634553,0.153238742897509,0.166517597039187,52,54,4,2,47,47,48,51,1,0,0.979166666666667,0.92156862745098,52,53,4,3,46,50,48,50,1,1,0.958333333333333,1,47,47,99.4239574256912,0.324433076416454,ro,cover,hide,acoperire,ascundere,acoperireascundere,bilet
asigurat,733.147849999919,713.02281250196,-0.0225843140963799,-0.196503593022003,31.5381556370136,28.0307294398327,0.10115896207321,0.0903551896368472,68,53,0,0,60,48,64,48,0,0,0.9375,1,68,53,0,0,64,45,64,48,0,0,1,0.9375,60,48,-20.1250374979586,-0.173919278925623,ro,safe,secure,în siguranță,asigurat,în siguranțăasigurat,de fapt
asistare,795.21554003975,893.085909083307,0.0766670627473995,0.460439759966865,35.9763384784921,51.7353768459641,0.0922447613920196,0.161275448519386,58,51,3,4,50,44,52,46,0,2,0.961538461538462,0.956521739130435,58,51,3,4,52,45,52,46,0,2,1,0.978260869565217,50,44,97.8703690435572,0.383772697219465,ro,help,assist,ajutare,asistare,ajutareasistare,gust
asistent,672.216560047258,712.352939386376,-0.366340127257078,-0.249782864103235,29.7836842069088,34.2731754252783,0.101264247450559,0.101709513923908,53,72,3,3,50,66,50,68,0,2,1,0.970588235294118,53,72,3,3,50,65,50,68,0,2,1,0.955882352941177,50,66,40.1363793391179,0.116557263153843,ro,secretary,assistant,secretar,asistent,secretarasistent,cizmă
asistenţă,691.538760888112,761.564346942721,-0.262258426531697,0.0424115055748826,27.3073384150641,50.8939904153825,0.0880031044605725,0.20411544000441,54,57,3,0,46,49,47,52,1,0,0.978723404255319,0.942307692307692,54,57,3,0,44,43,47,52,1,0,0.936170212765957,0.826923076923077,46,49,70.025586054609,0.30466993210658,ro,support,assistance,sprijin,asistenţă,sprijinasistenţă,adineaori
atac,605.646241375167,613.501813948937,-0.553827522534609,-0.485908511709313,26.4106935740188,30.3447870631995,0.0856148600147142,0.0905672287504145,60,50,2,3,58,43,58,44,0,0,1,0.977272727272727,60,50,2,3,56,38,58,44,0,0,0.96551724137931,0.863636363636364,58,43,7.8555725737699,0.0679190108252954,ro,invasion,attack,invazie,atac,invazieatac,bancher
atacator,693.416225801875,758.952961534572,-0.243831359022361,-0.171704769446392,24.0630494643726,36.0489417938382,0.0778501140336236,0.0991004728421643,71,60,4,1,62,52,64,52,0,0,0.96875,1,70,60,5,1,64,52,64,52,0,0,1,1,62,52,65.5367357326973,0.0721265895759699,ro,victim,attacker,victimă,atacator,victimăatacator,conferinţă
atitudine,627.376945469856,700.290075476765,-0.450098549855679,-0.106386011306802,20.0870735978244,34.3216115585806,0.0614697010720778,0.128080434618313,58,59,4,0,55,53,56,53,2,0,0.982142857142857,1,58,59,4,0,56,50,56,53,2,0,1,0.943396226415094,55,53,72.9131300069087,0.343712538548877,ro,opinion,attitude,opinie,atitudine,opinieatitudine,grădină zoologică
atlantic,662.296666663814,746.885346183195,-0.342274687138865,-0.1665460409073,24.3054626928722,41.7370692789586,0.0720148182637062,0.091415757881379,52,61,2,1,48,52,48,56,0,0,1,0.928571428571429,52,61,2,1,44,54,48,56,0,0,0.916666666666667,0.964285714285714,48,52,84.588679519381,0.175728646231564,ro,pacific,atlantic,pacific,atlantic,pacificatlantic,celebritate
atmosferă,652.484094329688,655.33793749868,-0.349716997287284,-0.338591325344321,26.0645397686141,30.4545176529225,0.0786221956642371,0.103700821873657,56,54,1,2,53,48,54,49,0,1,0.981481481481482,0.979591836734694,56,54,1,2,53,43,54,49,0,1,0.981481481481482,0.877551020408163,53,48,2.85384316899228,0.0111256719429628,ro,environment,atmosphere,mediu,atmosferă,mediuatmosferă,valoros
atrage,617.472076930318,633.362631586302,-0.499518195343634,-0.507960513895745,30.3391672456379,20.2909614010958,0.10467556448627,0.0519625573162305,54,62,2,0,52,57,53,58,1,0,0.981132075471698,0.982758620689655,54,62,2,0,52,58,53,58,1,0,0.981132075471698,1,52,57,15.890554655984,-0.00844231855211136,ro,attention,attract,atenţie,atrage,atenţieatrage,luptă
auină,922.910999988089,339.264500001475,0.536083803884316,-1.21957010908056,,4.8054999985325,,0.0125017053594197,52,52,3,0,1,2,49,48,1,0,0.0204081632653061,0.0416666666666667,53,52,2,0,49,42,49,48,1,0,1,0.875,1,2,-583.646499986614,-1.75565391296487,ro,grain,flour,cereale,auină,cerealeauină,jura
autobuz,601.174754418753,650.415666746141,-0.617394616173708,-0.325567029753776,25.8642690815449,50.1088251588499,0.0669470711987625,0.137633456196944,62,50,3,0,57,48,57,48,0,0,1,1,62,50,3,0,57,45,57,48,0,0,1,0.9375,57,48,49.2409123273879,0.291827586419932,ro,train,bus,tren,autobuz,trenautobuz,nepot
autoritate,728.990139987785,653.769549007345,-0.257317992843045,-0.311527449510436,42.7815531004803,38.3280315874194,0.105473757773293,0.113288900433859,58,52,1,1,51,51,51,51,0,0,1,1,58,53,1,0,39,49,51,51,0,0,0.764705882352941,0.96078431372549,50,51,-75.2205909804393,-0.054209456667391,ro,jurisdiction,authority,jurisdicție,autoritate,jurisdicțieautoritate,vacă
autostradă,760.34091662956,764.915509454687,-0.150520381763055,-0.0236305557199717,55.6576733770587,36.7644218220058,0.127570907484308,0.0932499670643453,53,60,2,1,48,53,49,55,0,1,0.979591836734694,0.963636363636364,53,60,2,1,48,53,49,55,0,1,0.979591836734694,0.963636363636364,48,53,4.57459282512718,0.126889826043083,ro,road,highway,drum,autostradă,drumautostradă,cuvânt
auzi,569.309898034575,611.224963012314,-0.608437434806655,-0.487129180118633,22.2667079923451,33.8365508365569,0.0675942444056911,0.122066883197713,52,54,0,1,49,54,49,54,0,0,1,1,52,54,0,1,48,54,49,54,0,0,0.979591836734694,1,49,54,41.9150649777393,0.121308254688022,ro,listen,hear,asculta,auzi,ascultaauzi,ochelari
baie,509.330659580534,544.672531901403,-0.868253294255561,-0.734065346031482,18.6319996833602,30.7868360105088,0.0555220539479845,0.0802793077977451,53,50,1,3,47,47,47,48,0,1,1,0.979166666666667,53,50,1,3,47,46,47,48,0,1,1,0.958333333333333,47,47,35.3418723208688,0.134187948224079,ro,shower,bathroom,duș,baie,dușbaie,monument
