target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,sr_cue,sr_target,sr_word_combo,unrelated_sr_cue
биолошки,699.235081634171,803.679697687662,-0.577855337747248,-0.264342926967764,37.3011179588258,52.7837985585005,0.05737961989826,0.0982566800295242,51,51,0,1,49,43,50,44,0,0,0.98,0.977272727272727,51,51,0,1,49,44,50,44,0,0,0.98,1,49,43,104.444616053491,0.313512410779484,sr,chemical,biological,хемијски,биолошки,хемијскибиолошки,жив
битка,599.211422219728,666.021840006731,-0.845549269443685,-0.689457216246166,23.1264408725157,29.4982873148756,0.0604001933645192,0.0672625327758787,51,50,5,1,45,50,45,50,1,0,1,1,50,49,6,2,45,47,45,49,1,1,1,0.959183673469388,45,50,66.8104177870032,0.156092053197519,sr,war,battle,рат,битка,ратбитка,грађевина
богат,554.260365379361,650.492326535396,-0.911247297186533,-0.617336126305814,18.2728675201164,26.9392049572835,0.0521928941106793,0.0696864144502505,56,51,3,0,52,49,54,49,0,0,0.962962962962963,1,55,51,4,0,52,48,53,49,1,0,0.981132075471698,0.979591836734694,52,49,96.2319611560347,0.293911170880719,sr,poor,rich,сиромашан,богат,сиромашанбогат,објашњење
богатство,760.284093015276,841.371576933683,-0.390502734380734,-0.31008307907618,36.5324316256096,38.3940438059794,0.0879833899036771,0.0870323584770613,50,56,1,1,43,52,47,52,0,0,0.914893617021277,1,50,56,1,1,46,51,47,52,0,0,0.978723404255319,0.980769230769231,43,52,81.0874839184069,0.0804196553045541,sr,treasure,wealth,благо,богатство,благобогатство,софа
божански,703.29736541595,820.470590912325,-0.463731986205002,-0.115841333917177,27.2957445432158,36.2863122299976,0.062163007174363,0.113552362395458,53,51,0,2,52,44,52,46,0,0,1,0.956521739130435,53,51,0,2,51,44,52,46,0,0,0.980769230769231,0.956521739130435,52,44,117.173225496376,0.347890652287825,sr,god,divine,бог,божански,богбожански,коцкање
бол,568.30463042579,603.797081640797,-0.907736323993214,-0.753017335177311,26.4902891153054,24.0185474289027,0.0653016226724881,0.0906367446428288,50,52,3,2,47,49,47,50,1,0,1,0.98,51,52,2,2,46,43,48,50,0,0,0.958333333333333,0.86,46,49,35.4924512150078,0.154718988815903,sr,suffering,pain,патња,бол,патњабол,сродник
болест,567.991830188569,586.817122480664,-0.852482454068998,-0.804692823958329,16.8276196721428,19.1462045479714,0.0509349791255123,0.0437760605198538,54,50,4,0,53,49,53,50,1,0,1,0.98,54,50,4,0,48,49,53,50,1,0,0.905660377358491,0.98,53,49,18.8252922920947,0.0477896301106688,sr,flu,disease,грип,болест,грипболест,изабрати
болестан,666.596899999345,706.545062495439,-0.630149106306819,-0.60145839633396,31.0490465714707,51.3632961676007,0.0718818369609657,0.101110702022004,56,50,1,0,50,48,50,48,0,0,1,1,56,50,1,0,46,48,50,48,0,0,0.92,1,50,48,39.948162496094,0.0286907099728594,sr,ill,sick,нездрав,болестан,нездравболестан,слобода
борац,648.546562479834,667.891469394521,-0.693904064275207,-0.592123191254203,31.0331529730554,27.3641292260328,0.0836159953628164,0.0752328142645191,51,52,0,3,48,49,48,50,0,0,1,0.98,51,52,0,3,48,49,48,50,0,0,1,0.98,48,49,19.3449069146876,0.101780873021004,sr,champion,fighter,шампион,борац,шампионборац,неспособан
борба,612.067588240253,645.760428577209,-0.769337551233597,-0.6731438814359,47.3602892118164,34.3584980236327,0.175274287703147,0.0974569399012039,55,54,2,0,51,49,52,50,0,0,0.980769230769231,0.98,55,54,2,0,52,49,52,50,0,0,1,0.98,51,49,33.6928403369564,0.0961936697976966,sr,combat,fight,битка,борба,биткаборба,вечера
бостон,864.892434780399,947.843171433423,-0.0783749355742259,0.313764795772957,68.9101370606875,55.4564352385843,0.149530889021607,0.192206346040629,51,50,0,2,46,35,50,44,0,0,0.92,0.795454545454545,50,50,1,2,39,43,49,44,1,0,0.795918367346939,0.977272727272727,46,35,82.9507366530244,0.392139731347183,sr,washington,boston,вашингтон,бостон,вашингтонбостон,члан
боца,704.301799973167,727.598934782351,-0.443496230635106,-0.524226861906534,34.8380879975912,24.7111276979389,0.111574453136174,0.0741248289962488,55,53,4,0,50,46,52,48,3,0,0.961538461538462,0.958333333333333,55,53,4,0,52,43,52,48,3,0,1,0.895833333333333,50,46,23.2971348091841,-0.080730631271428,sr,glass,bottle,стакло,боца,стаклобоца,менаџер
бојно поље,955.773239994985,1036.46345651072,0.155714280526367,0.365190279987217,61.8069629533565,54.8132407344615,0.135472235228172,0.105818993691231,52,52,2,1,50,46,50,48,0,0,1,0.958333333333333,51,52,3,1,45,44,49,48,1,0,0.918367346938776,0.916666666666667,50,46,80.6902165157333,0.20947599946085,sr,arena,battlefield,арена,бојно поље,аренабојно поље,стар
брава,608.948127653489,635.774695699929,-0.816466013261062,-0.72498180575434,26.0346599675459,27.6836472131026,0.0724591080548538,0.0615593718497198,52,50,0,0,47,46,47,48,0,0,1,0.958333333333333,52,50,0,0,47,46,47,48,0,0,1,0.958333333333333,47,46,26.8265680464401,0.0914842075067213,sr,key,lock,кључ,брава,кључбрава,забрањен
брада,639.137957431678,690.686791665414,-0.767079753351103,-0.610472446334398,40.043845941077,45.7048904581225,0.117324958706547,0.124263011112404,51,51,0,1,47,48,47,48,0,0,1,1,51,51,0,1,46,47,47,48,0,0,0.978723404255319,0.979166666666667,47,48,51.5488342337361,0.156607307016704,sr,hair,beard,коса,брада,косабрада,прст
брак,589.460199990453,547.062461549969,-0.815156857208827,-0.885218793054404,18.1145404260135,18.7580040107402,0.0671181956456927,0.0418228113281092,51,55,3,4,45,53,46,53,0,1,0.978260869565217,1,51,55,3,4,45,52,46,53,0,1,0.978260869565217,0.981132075471698,45,52,-42.3977384404847,-0.0700619358455764,sr,divorce,marriage,развод,брак,разводбрак,играти
брат,578.68040425189,621.711369543295,-0.912246615190546,-0.757871907709533,29.1850918077144,28.1970335264181,0.0760872654356705,0.100464440346799,51,52,0,2,47,46,48,47,0,0,0.979166666666667,0.978723404255319,51,52,0,2,46,46,48,47,0,0,0.958333333333333,0.978723404255319,47,46,43.0309652914048,0.154374707481012,sr,dude,bro,ортак,брат,ортакбрат,телеграм
брат,578.68040425189,621.711369543295,-0.912246615190546,-0.757871907709533,29.1850918077144,28.1970335264181,0.0760872654356705,0.100464440346799,51,52,0,2,47,46,48,47,0,0,0.979166666666667,0.978723404255319,51,52,0,2,46,46,48,47,0,0,0.958333333333333,0.978723404255319,47,46,43.0309652914048,0.154374707481012,sr,dude,bro,ортак,брат,ортакбрат,оргазам
брат.1,562.660653060849,637.288702122054,-0.99915685116467,-0.752029070686711,34.7586006273989,39.375243851874,0.0605715494195497,0.0960910687076142,50,51,1,3,49,47,49,49,0,0,1,0.959183673469388,50,51,1,3,47,47,49,49,0,0,0.959183673469388,0.959183673469388,49,47,74.6280490612043,0.247127780477959,sr,sister,brother,сестра,брат,сестрабрат,телеграм
брат.1,562.660653060849,637.288702122054,-0.99915685116467,-0.752029070686711,34.7586006273989,39.375243851874,0.0605715494195497,0.0960910687076142,50,51,1,3,49,47,49,49,0,0,1,0.959183673469388,50,51,1,3,47,47,49,49,0,0,0.959183673469388,0.959183673469388,49,47,74.6280490612043,0.247127780477959,sr,sister,brother,сестра,брат,сестрабрат,оргазам
брашно,627.01464580827,634.99728000186,-0.7699844460888,-0.75532393750432,23.2267552027592,26.1797127399898,0.0509369311524424,0.0467292894007862,51,53,3,2,48,50,48,50,0,0,1,1,51,53,3,2,48,40,48,50,0,0,1,0.8,48,50,7.98263419358977,0.0146605085844803,sr,grain,flour,зрно,брашно,зрнобрашно,рочиште
брз,568.015679977277,607.627086948651,-0.852399161694215,-0.801954901660342,26.8060589635774,23.7275997373276,0.0706875343925103,0.0640259982002196,50,50,0,1,50,46,50,46,0,0,1,1,50,50,0,1,47,46,50,46,0,0,0.94,1,50,46,39.6114069713743,0.0504442600338726,sr,slow,fast,спор,брз,спорбрз,фреквенција
брзина,646.012936163625,674.309186019491,-0.798234198933913,-0.586112372406646,30.5547990319177,46.8253628343765,0.059171991411992,0.112409841587804,50,50,0,1,47,43,47,44,0,0,1,0.977272727272727,50,49,0,2,47,39,47,43,0,1,1,0.906976744186046,47,43,28.296249855866,0.212121826527267,sr,distance,speed,растојање,брзина,растојањебрзина,надахнути
брзо,545.983604176598,590.700062498424,-0.941667110318659,-0.778384676935281,28.4439132701407,25.392997678152,0.0810707339228168,0.0723011910149559,52,51,2,0,48,48,48,48,0,0,1,1,52,51,2,0,48,47,48,48,0,0,1,0.979166666666667,48,48,44.7164583218262,0.163282433383378,sr,slowly,quickly,полако,брзо,полакобрзо,унук
брига,657.898300009404,592.696104154463,-0.591176287774023,-0.786731485664089,32.7796699778749,23.2362146206111,0.0903483981652669,0.0755361977821017,54,51,0,3,50,48,52,49,0,0,0.961538461538462,0.979591836734694,54,51,0,3,50,49,52,49,0,0,0.961538461538462,1,50,48,-65.2021958549414,-0.195555197890065,sr,concern,worry,забринутост,брига,забринутостбрига,возило
брод,588.744795911208,639.644705882924,-0.874975343615033,-0.691808690509709,17.8058651696656,43.9473014071411,0.0592711359065792,0.0953306641130394,50,56,2,1,49,51,49,51,0,0,1,1,50,55,2,2,46,49,49,51,0,0,0.938775510204082,0.96078431372549,49,51,50.8999099717151,0.183166653105324,sr,crew,ship,посада,брод,посадаброд,отварање
важан,673.981820002376,591.466181828344,-0.681358403713661,-0.810652310024309,39.3353133876724,21.716851129301,0.105969755744825,0.0580005938836405,51,51,0,1,50,45,50,45,0,0,1,1,51,51,0,1,50,42,50,45,0,0,1,0.933333333333333,50,44,-82.5156381740318,-0.129293906310648,sr,valuable,important,вредан,важан,вреданважан,сто
вакцина,731.902340001438,725.275709072453,-0.352177853984565,-0.522246382211549,37.8197179016531,33.9484596565839,0.10223277986459,0.0744093174837388,51,59,2,3,50,55,50,56,0,1,1,0.982142857142857,51,59,2,3,34,56,50,56,0,1,0.68,1,50,55,-6.62663092898526,-0.170068528226984,sr,antidote,vaccine,противотров,вакцина,противотроввакцина,утицај
вампир,648.438879994795,656.125938797038,-0.665028009526512,-0.678435779351688,35.424269883867,24.6150069714867,0.0929605545001222,0.0574787176880322,52,55,1,1,50,49,50,49,0,0,1,1,52,55,1,1,45,49,50,49,0,0,0.9,1,50,49,7.68705880224343,-0.0134077698251762,sr,zombie,vampire,зомби,вампир,зомбивампир,јабука
ванземаљски,1142.33969046696,1048.07257690347,0.676410966898639,0.418368147317819,66.4378247129045,42.6505883549431,0.19570211567246,0.114070035996452,53,59,1,1,42,52,52,55,0,0,0.807692307692308,0.945454545454545,54,59,0,1,4,55,52,55,0,0,0.0769230769230769,1,42,52,-94.2671135634905,-0.25804281958082,sr,ufo,alien,нло,ванземаљски,нлованземаљски,певач
ванила,701.046285693172,714.517999970922,-0.55738403215929,-0.517679885099442,47.7757754358473,42.4351758122606,0.10816188972755,0.0833215572294914,52,50,0,0,49,47,49,47,0,0,1,1,51,50,1,0,43,44,48,47,1,0,0.895833333333333,0.936170212765957,49,47,13.4717142777495,0.0397041470598479,sr,cinnamon,vanilla,цимет,ванила,циметванила,кацига
веб,797.739553193788,881.161849984798,-0.0586386385729986,0.0316823155975482,54.7873836395255,73.3163723162885,0.175209537940969,0.194645985188239,52,55,0,1,47,40,49,53,0,0,0.959183673469388,0.754716981132076,52,55,0,1,49,53,49,53,0,0,1,1,47,40,83.4222967910092,0.0903209541705468,sr,internet,web,интернет,веб,интернетвеб,соба
вежба,563.563795456715,602.032765943994,-0.896791010265918,-0.816227796146505,20.2115415963253,34.3254675458903,0.0713743137128191,0.0904811061250262,50,50,1,0,44,47,44,47,0,0,1,1,50,50,1,0,44,43,44,47,0,0,1,0.914893617021277,44,47,38.4689704872796,0.0805632141194134,sr,practice,exercise,вежбање,вежба,вежбањевежба,туна
веза,618.589568630653,902.833137262438,-0.777882310312719,0.00527897209466516,28.1149647187704,70.5257177892392,0.105462467507773,0.18006302297324,51,54,0,5,51,51,51,52,0,1,1,0.980769230769231,50,54,1,5,50,29,50,52,1,1,1,0.557692307692308,51,51,284.243568631785,0.783161282407384,sr,contact,connection,контакт,веза,контактвеза,вц шоља
