target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,ja_cue,ja_target,ja_word_combo,unrelated_ja_cue
おいしい,541.698275846583,617.713262270299,-0.777497493834846,-0.469775793363734,12.8965323455807,28.6342793489188,0.0401719162712091,0.101953790340644,71,68,3,5,59,61,60,61,0,0,0.983333333333333,1,71,66,3,7,59,59,60,60,0,1,0.983333333333333,0.983333333333333,58,61,76.0149864237161,0.307721700471111,ja,tasty,delicious,うまい,おいしい,うまいおいしい,反対側の
おそらく,686.821117647651,617.583660541871,-0.158213741420167,-0.481519782215756,18.2511819090484,13.2693191697164,0.0643861332744342,0.0507335557479864,103,129,5,5,86,109,87,111,0,0,0.988505747126437,0.981981981981982,103,129,5,5,84,109,87,110,0,1,0.96551724137931,0.990909090909091,85,109,-69.2374571057801,-0.323306040795589,ja,probability,likely,確率,おそらく,確率おそらく,視線を向ける
おぞましい,748.335377049663,801.9087758532,-0.0550738919107006,0.129032618381352,22.2890221487663,36.9199462534046,0.0791096787799202,0.120361006918182,73,70,5,3,62,58,63,66,0,2,0.984126984126984,0.878787878787879,72,70,6,3,60,64,63,66,0,2,0.952380952380952,0.96969696969697,61,58,53.5733988035365,0.184106510292053,ja,dirty,disgusting,汚れた,おぞましい,汚れたおぞましい,地震
おもちゃ,620.902753607356,664.580676495277,-0.448767944424584,-0.452328099737951,32.2669273618967,27.1269806566653,0.0982736145794002,0.0697525882586332,82,76,4,10,70,69,70,69,1,0,1,1,81,77,5,9,68,66,69,69,2,0,0.985507246376812,0.956521739130435,69,68,43.677922887921,-0.00356015531336634,ja,doll,toy,人形,おもちゃ,人形おもちゃ,保守的
お墓,677.572694909806,777.385592606678,-0.259893037478238,-0.0998799537348123,27.8374650264081,45.4332252714067,0.0918368643634812,0.115631337641946,70,61,3,4,60,54,61,56,0,1,0.983606557377049,0.964285714285714,70,61,3,4,58,52,61,56,0,1,0.950819672131147,0.928571428571429,59,54,99.8128976968721,0.160013083743426,ja,grave,cemetery,墓,お墓,墓お墓,適用する
お尻,622.501166680889,621.039800015723,-0.469499152916037,-0.601629974111415,20.9905961924343,18.0533737958724,0.0696787917906758,0.0519312836586203,71,62,3,4,60,55,60,57,0,1,1,0.964912280701754,71,62,3,4,58,56,60,57,0,1,0.966666666666667,0.982456140350877,60,55,-1.46136666516634,-0.132130821195378,ja,ass,butt,尻,お尻,尻お尻,うまい
お店,616.883600006976,610.761116667472,-0.598135216469558,-0.547646319035936,20.2720408191044,17.0275415820529,0.0586221054129194,0.0574560690758108,81,70,0,1,75,60,75,62,0,0,1,0.967741935483871,81,70,0,1,74,61,75,62,0,0,0.986666666666667,0.983870967741935,75,60,-6.12248333950379,0.0504888974336212,ja,shop,store,店,お店,店お店,海
お母さん,627.249069764683,595.422649999231,-0.554464264083153,-0.684812742046371,23.4924029229671,23.01368389551,0.0979689134864428,0.0608985725966881,98,72,0,3,86,60,86,61,0,0,1,0.983606557377049,98,71,0,4,85,60,86,61,0,0,0.988372093023256,0.983606557377049,86,60,-31.8264197654514,-0.130348477963218,ja,daddy,mum,お父ちゃん,お母さん,お父ちゃんお母さん,ヘルメット
お父さん,565.116033323446,581.515982751167,-0.703106317638743,-0.67187998733897,12.1558304638894,17.8009544246315,0.0374591863721312,0.0560028239938846,103,67,1,0,91,58,91,58,0,0,1,1,103,66,1,1,89,57,91,57,0,1,0.978021978021978,1,90,58,16.3999494277213,0.0312263302997728,ja,uncle,dad,おじさん,お父さん,おじさんお父さん,発生する
お肉,575.454491848449,630.633504057167,-0.742268203953435,-0.512240217083637,19.6225766382044,17.5421479883076,0.0553599853955953,0.0532582234837158,69,140,2,4,61,123,61,125,1,2,1,0.984,69,140,2,4,60,123,61,125,1,2,0.983606557377049,0.984,61,123,55.1790122087183,0.230027986869798,ja,pork,meat,豚肉,お肉,豚肉お肉,男性
お腹がすいた,672.260765622078,704.681267851098,-0.229922554875884,-0.12713747900161,19.9474818610667,24.1591125217409,0.0680387417188794,0.0914982544166192,73,60,2,2,64,56,64,56,2,1,1,1,73,61,2,1,63,54,64,57,2,0,0.984375,0.947368421052632,64,56,32.42050222902,0.102785075874274,ja,tired,hungry,疲れた,お腹がすいた,疲れたお腹がすいた,症状
お金,614.294308821082,593.637312502044,-0.601668944245273,-0.649760978176041,22.1846217313121,21.9023038593475,0.0666614350246342,0.069090753819214,81,71,1,5,68,64,68,65,0,0,1,0.984615384615385,81,71,1,5,68,63,68,65,0,0,1,0.969230769230769,68,64,-20.6569963190373,-0.0480920339307686,ja,cash,money,現金,お金,現金お金,楽園
お食事,615.704633804486,677.529761584266,-0.533081727573601,-0.330485453266593,24.3440796700319,21.479721016439,0.0685849778299554,0.0800876908668396,78,141,3,5,71,123,71,123,0,1,1,1,78,142,3,4,70,122,71,124,0,0,0.985915492957746,0.983870967741935,71,123,61.8251277797801,0.202596274307008,ja,food,meal,食物,お食事,食物お食事,西
かわいい,530.837862060615,690.937333336695,-0.840425639162982,-0.275515691938195,15.6873891290671,27.3719408609687,0.046455948666011,0.0903386697318087,71,85,4,1,58,66,58,66,1,1,1,1,72,86,3,0,58,67,59,67,0,0,0.983050847457627,1,58,66,160.09947127608,0.564909947224787,ja,sweet,cute,甘い,かわいい,甘いかわいい,歓迎会
けが,650.889379303972,751.139054538368,-0.384606359795172,0.00143481398503596,18.8118962577009,27.8601218619889,0.0692832673164122,0.106130935964292,69,69,4,2,58,55,60,63,0,1,0.966666666666667,0.873015873015873,68,68,5,3,59,59,60,62,0,2,0.983333333333333,0.951612903225806,58,55,100.249675234396,0.386041173780208,ja,wound,injury,傷,けが,傷けが,密林
これまで,608.754538455698,669.795524595536,-0.58632478302973,-0.304213071864107,26.9921259856517,27.4462817134881,0.0771957406739359,0.0948067128282822,75,69,2,2,65,62,65,62,0,0,1,1,75,69,2,2,65,61,65,62,0,0,1,0.983870967741935,65,61,61.0409861398377,0.282111711165622,ja,never,ever,一度もない,これまで,一度もないこれまで,シルク
さよなら,590.212876912592,611.404135581552,-0.669462174616546,-0.572444916059261,15.8948827771843,21.6714060900622,0.0466924012934741,0.0648185904041721,76,65,2,4,65,59,65,61,0,1,1,0.967213114754098,75,65,3,4,65,58,65,61,0,1,1,0.950819672131147,65,59,21.1912586689607,0.0970172585572845,ja,hello,bye,こんにちは,さよなら,こんにちはさよなら,影
しばしば,648.6469138018,754.415118409899,-0.364407996004045,0.0222151516700252,25.8173958700075,34.344933898101,0.0831018865894375,0.103130921740651,69,87,1,3,58,76,58,80,0,0,1,0.95,69,87,1,3,57,80,58,80,0,0,0.982758620689655,1,58,76,105.7682046081,0.38662314767407,ja,sometimes,often,ときどき,しばしば,ときどきしばしば,経歴
しょっちゅう,954.797844820536,1096.19962589106,0.729985509067208,1.07780292821894,61.5207328621693,66.1253024183119,0.229382055945507,0.207110623455712,75,67,5,5,58,56,62,58,0,1,0.935483870967742,0.96551724137931,74,67,6,5,56,58,61,58,1,1,0.918032786885246,1,58,56,141.40178107052,0.347817419151735,ja,always,constantly,いつも,しょっちゅう,いつもしょっちゅう,皮肉
じっと見る,651.931642857893,711.455206350065,-0.294717030991631,-0.251319290033272,42.6582800296073,22.3555651867023,0.166019363924158,0.055056095639367,59,74,5,2,56,63,56,64,1,0,1,0.984375,57,73,7,3,53,64,54,64,3,0,0.981481481481482,1,56,63,59.523563492172,0.0433977409583591,ja,look,watch,視線を向ける,じっと見る,視線を向けるじっと見る,おじさん
すぐに,559.149542410276,631.941060609649,-0.806202003927714,-0.484289532138999,21.6931708768712,18.3903577334535,0.0605485107268918,0.0844215378341518,65,88,1,4,59,66,59,70,0,2,1,0.942857142857143,65,89,1,3,55,67,59,71,0,1,0.932203389830508,0.943661971830986,59,66,72.7915181993733,0.321912471788716,ja,slowly,quickly,ゆっくりと,すぐに,ゆっくりとすぐに,タバコ
すごい,586.908958771508,590.164024982311,-0.657398031620932,-0.56029564476891,14.7440906578073,14.3218458795479,0.04296584149269,0.0526908412964797,77,94,5,3,67,80,67,80,1,0,1,1,78,92,4,5,63,79,67,79,1,1,0.940298507462687,1,67,80,3.2550662108024,0.0971023868520219,ja,excellent,great,優秀な,すごい,優秀なすごい,近く
すばらしい,613.796586201365,663.601909078478,-0.584865108652677,-0.410804283689129,17.103187088479,28.8069096422301,0.062203952077676,0.0773890962094257,64,75,6,1,59,66,60,66,2,0,0.983333333333333,1,64,75,6,1,58,63,60,66,2,0,0.966666666666667,0.954545454545455,58,66,49.8053228771123,0.174060824963547,ja,impressive,amazing,印象的,すばらしい,印象的すばらしい,煙
そこの,629.895000008229,817.757151526691,-0.487867263776874,0.171695017689575,17.0187600483352,43.138415183927,0.0507112672475901,0.113522346519071,80,81,0,2,72,66,72,74,0,0,1,0.891891891891892,79,81,1,2,65,73,72,74,0,0,0.902777777777778,0.986486486486487,71,66,187.862151518462,0.659562281466449,ja,here,there,ここ,そこの,ここそこの,石炭
その周り,898.65848274507,808.446530300718,0.574371544939689,0.276486268846451,58.087651947108,52.5613201073638,0.186727214703872,0.189592422445811,74,79,3,6,58,66,67,71,0,0,0.865671641791045,0.929577464788732,74,79,3,6,61,62,67,71,0,0,0.91044776119403,0.873239436619718,58,66,-90.2119524443517,-0.297885276093238,ja,round,around,円形,その周り,円形その周り,ジェスチャー
それ,624.944526323148,715.788271200249,-0.51931322139305,-0.0959019622234611,20.2251264325567,37.771060624498,0.0654022573327632,0.139345815524481,73,81,4,3,57,59,59,69,1,1,0.966101694915254,0.855072463768116,73,81,4,3,59,69,59,69,1,1,1,1,57,59,90.8437448771015,0.423411259169589,ja,what,that,何,それ,何それ,独身
たばこ,612.558491838029,648.651101695732,-0.542981654543272,-0.472671144067352,16.9516886605842,31.2500111493022,0.0880207514753418,0.0968900861938829,72,64,2,4,61,59,63,59,0,0,0.968253968253968,1,72,64,2,4,57,56,63,59,0,0,0.904761904761905,0.949152542372881,61,59,36.0926098577037,0.0703105104759201,ja,smoke,cigar,煙,たばこ,煙たばこ,肩
だいたい,861.118462692165,718.850086941375,0.303804469713899,-0.102742332089171,32.3989511721453,28.4840903599109,0.0930839750377171,0.0807497637076739,87,80,1,3,67,69,72,69,0,0,0.930555555555556,1,85,79,3,4,66,67,71,68,1,1,0.929577464788732,0.985294117647059,67,69,-142.26837575079,-0.40654680180307,ja,out,about,アウト,だいたい,アウトだいたい,砂漠
とても,556.349252427295,638.387905404436,-0.774174171476947,-0.534704117851284,17.6298355301565,25.9582703207036,0.0553154813890985,0.0657528087116245,113,82,2,0,103,74,103,74,0,0,1,1,113,81,2,1,103,73,103,74,0,0,1,0.986486486486487,103,74,82.0386529771413,0.239470053625662,ja,extremely,very,非常に,とても,非常にとても,押す
どこかに,624.259314283604,627.860116650476,-0.47897737496035,-0.388663865542145,39.8307315179478,19.5890067810469,0.113530698083727,0.069489360056111,89,68,1,5,72,60,73,60,1,3,0.986301369863014,1,88,69,2,4,68,58,72,61,2,2,0.944444444444444,0.950819672131147,70,60,3.60080236687202,0.0903135094182055,ja,elsewhere,somewhere,他の場所で,どこかに,他の場所でどこかに,咳
どっかりと,922.741964285505,1026.12232691212,0.50465645544179,0.856860211905989,51.4050374189456,68.6335012233111,0.173561466696668,0.213587814323744,81,77,6,3,57,52,68,70,2,3,0.838235294117647,0.742857142857143,82,77,5,3,67,68,69,70,1,3,0.971014492753623,0.971428571428571,56,52,103.380362626616,0.3522037564642,ja,heavy,heavily,重い,どっかりと,重いどっかりと,ガチョウ
なにか,821.443696435913,646.291859357741,0.0931391151060459,-0.327392327420434,44.2774716186366,28.4722332684476,0.132867382894225,0.0908393710300491,68,73,6,5,57,64,60,66,2,0,0.95,0.96969696969697,68,73,6,5,56,62,60,66,2,0,0.933333333333333,0.93939393939394,56,64,-175.151837078173,-0.42053144252648,ja,nothing,something,何もない,なにか,何もないなにか,不幸な
ふさわしい,699.278117654379,895.590041107363,-0.185746939445904,0.488265736903928,25.0603804364688,43.8356341074739,0.0783104391407402,0.12450962792996,79,85,1,2,68,73,70,76,1,1,0.971428571428571,0.960526315789474,79,84,1,3,65,68,70,75,1,2,0.928571428571429,0.906666666666667,68,73,196.311923452984,0.674012676349832,ja,deserve,worthy,値する,ふさわしい,値するふさわしい,祭典
ふもと,810.879352926743,976.340066658679,0.201115625988203,0.653981363831561,33.666787564211,40.0207445134224,0.102547976764117,0.146772698032989,94,97,5,3,68,60,80,87,1,0,0.85,0.689655172413793,93,97,6,3,79,86,79,87,2,0,1,0.988505747126437,68,60,165.460713731936,0.452865737843358,ja,top,bottom,頂上,ふもと,頂上ふもと,確認する
ほうび,730.746249988564,783.572779412902,-0.160754093465989,0.117042964036531,51.1299529334748,26.5192300193621,0.18676847881957,0.0868799238923289,76,76,6,2,64,69,66,71,4,0,0.96969696969697,0.971830985915493,77,76,5,2,65,59,67,71,3,0,0.970149253731343,0.830985915492958,64,68,52.8265294243384,0.277797057502521,ja,bonus,reward,ボーナス,ほうび,ボーナスほうび,二次
ほこり,624.778046163888,726.694982134467,-0.558559260947974,-0.199975324427741,19.3925670264087,43.6207387060817,0.0615332968674317,0.116783801485161,74,66,5,0,65,56,65,56,3,0,1,1,74,66,5,0,63,54,65,56,3,0,0.969230769230769,0.964285714285714,65,56,101.916935970579,0.358583936520233,ja,ash,dust,灰,ほこり,灰ほこり,川
ほこりの多い,833.054812500094,1024.74079167103,0.209615390142062,1.06919471337225,37.2839264889272,55.7158709491139,0.118111987360901,0.193594923670351,75,80,7,1,64,72,65,73,4,0,0.984615384615385,0.986301369863014,76,80,6,1,58,72,66,73,3,0,0.878787878787879,0.986301369863014,64,72,191.68597917094,0.859579323230191,ja,rusty,dusty,さびた,ほこりの多い,さびたほこりの多い,低い
まだ,575.016374999183,752.819983617304,-0.74696093143843,-0.135880770993002,31.1903597021069,39.8538500702939,0.0888174570747534,0.128227201013458,65,80,6,1,58,61,59,64,2,0,0.983050847457627,0.953125,66,79,5,2,59,62,60,64,1,0,0.983333333333333,0.96875,56,61,177.803608618121,0.611080160445428,ja,already,still,すでに,まだ,すでにまだ,怪物
めったに,686.893701749285,726.2994126938,-0.191904680812742,0.0119669929701199,32.6539511550125,24.3559311326973,0.119054442295374,0.0865996412344067,75,74,3,3,57,64,60,67,1,0,0.95,0.955223880597015,74,74,4,3,57,62,59,67,2,0,0.966101694915254,0.925373134328358,57,63,39.4057109445145,0.203871673782862,ja,occasionally,rarely,たまに,めったに,たまにめったに,静脈
もっともらしい,1004.47968056832,863.141901631482,1.12808781145702,0.517221404975068,47.0440419438943,53.8718541663561,0.151082402984092,0.17103793273626,95,77,3,2,72,61,76,62,0,0,0.947368421052632,0.983870967741935,95,77,3,2,72,62,75,62,1,0,0.96,1,72,61,-141.337778936841,-0.610866406481953,ja,explanation,plausible,説明,もっともらしい,説明もっともらしい,同僚
わからない,716.129081956228,695.901928569968,-0.126944692912392,-0.215781322701,37.8199955730002,32.4138732416445,0.108124298969794,0.11093072171592,71,66,2,3,61,57,61,59,0,1,1,0.966101694915254,71,66,2,3,59,58,61,59,0,1,0.967213114754098,0.983050847457627,61,56,-20.2271533862601,-0.088836629788608,ja,anonymous,unknown,匿名,わからない,匿名わからない,打つ
わざと,690.067868843805,788.668617639581,-0.122316910926988,0.155521887591327,29.8553804526655,37.1184899025756,0.106193628733942,0.116482699232296,70,80,4,2,61,68,62,70,1,0,0.983870967741935,0.971428571428571,70,80,4,2,62,66,62,70,1,0,1,0.942857142857143,61,68,98.6007487957761,0.277838798518315,ja,accidentally,intentionally,偶然,わざと,偶然わざと,影響
アクセント,606.278172389638,580.193225789773,-0.461221190828548,-0.595197560952575,14.0898335521201,15.4377838327385,0.0555308773972464,0.0491254179136641,68,69,4,6,58,62,58,62,0,0,1,1,68,69,4,6,57,61,58,62,0,0,0.982758620689655,0.983870967741935,58,62,-26.0849465998654,-0.133976370124027,ja,voice,accent,ボイス,アクセント,ボイスアクセント,空腹
アクティビティ,852.096745771484,827.983023557422,0.325084141465549,0.230917107546695,37.0053787123577,31.5265709450558,0.10692315684583,0.0897836511082174,73,73,4,3,59,60,61,63,0,0,0.967213114754098,0.952380952380952,73,73,4,3,61,63,61,63,0,0,1,1,59,60,-24.1137222140624,-0.094167033918854,ja,active,activity,アクティブ,アクティビティ,アクティブアクティビティ,兵士
アシスタント,708.306114326652,810.101236351626,-0.20908752689106,0.191555196503306,36.8410978480244,48.0362189481753,0.127973369049534,0.159843534218379,78,63,2,1,71,55,71,56,0,1,1,0.982142857142857,73,63,7,1,67,54,67,56,4,1,1,0.964285714285714,70,55,101.795122024974,0.400642723394366,ja,secretary,assistant,秘書,アシスタント,秘書アシスタント,秘密
アッパー,869.504964756674,894.875280693226,0.344432630148154,0.604368749664357,36.1323204850659,27.6433657969768,0.124125562067136,0.111060701795542,72,83,4,1,59,57,63,66,0,0,0.936507936507937,0.863636363636364,72,83,4,1,61,54,63,66,0,0,0.968253968253968,0.818181818181818,59,57,25.3703159365519,0.259936119516202,ja,lower,upper,低い,アッパー,低いアッパー,さびた
アドバイス,633.964714277112,682.558983875943,-0.413056070705714,-0.268776441698612,19.9445130654679,24.2614966060129,0.0811015928809758,0.0730410987296868,74,71,6,3,56,62,58,64,2,1,0.96551724137931,0.96875,74,71,6,3,56,63,59,64,1,1,0.949152542372881,0.984375,56,62,48.594269598831,0.144279629007102,ja,advice,advise,助言,アドバイス,助言アドバイス,予算
アドレナリン,750.07660317984,824.203140352141,-0.0854617082956295,0.319643088725755,29.3141301962179,50.1181785672912,0.0937767874439948,0.130880619024222,74,58,0,5,63,57,67,57,0,3,0.940298507462687,1,74,58,0,5,66,56,67,57,0,3,0.985074626865672,0.982456140350877,63,57,74.1265371723006,0.405104797021384,ja,hormone,adrenaline,ホルモン,アドレナリン,ホルモンアドレナリン,塗る
アパート,662.286737712553,633.599237264547,-0.453763942125166,-0.460221689627707,29.3277880904314,40.4243267459013,0.0928003331973538,0.116223242035706,72,68,3,7,61,59,62,60,0,0,0.983870967741935,0.983333333333333,72,68,3,7,60,58,62,59,0,1,0.967741935483871,0.983050847457627,61,59,-28.687500448006,-0.00645774750254102,ja,house,apartment,家,アパート,家アパート,数える
アヒル,600.100344833244,605.403468746949,-0.577795407295395,-0.423923610590911,17.2185848851931,13.4427224034855,0.0714687717022197,0.0640057155417698,72,72,3,3,59,64,59,64,1,1,1,1,73,73,2,2,59,65,60,65,0,0,0.983333333333333,1,58,64,5.30312391370535,0.153871796704483,ja,goose,duck,ガチョウ,アヒル,ガチョウアヒル,猿
アメリカ,603.213144918208,626.713714268025,-0.587272292367714,-0.436527720649512,16.005056593022,14.9335877624877,0.0588736454686534,0.055564989319566,79,96,0,2,69,85,70,86,0,0,0.985714285714286,0.988372093023256,79,96,0,2,68,86,70,86,0,0,0.971428571428571,1,69,84,23.5005693498169,0.150744571718202,ja,africa,america,アフリカ,アメリカ,アフリカアメリカ,食物
アライグマ,704.733269849042,757.198258620853,-0.270090287441596,0.061465294703466,18.6141081808697,26.4706542717401,0.0462661984286749,0.100960843242565,78,66,0,4,63,58,63,58,0,0,1,1,78,65,0,5,55,54,63,57,0,1,0.873015873015873,0.947368421052632,63,58,52.4649887718111,0.331555582145062,ja,squirrel,raccoon,リス,アライグマ,リスアライグマ,潜水艦
アリバイ,725.373561654233,748.58950847658,-0.160423720586176,-0.0460427778589017,17.2882293267683,44.6192019142545,0.065962151656351,0.153222272936832,82,64,2,2,73,59,74,59,0,2,0.986486486486487,1,81,63,3,3,70,57,73,59,1,2,0.958904109589041,0.966101694915254,73,59,23.2159468223471,0.114380942727275,ja,motive,alibi,動機,アリバイ,動機アリバイ,不合理な
アルファ,675.53811111429,771.292161289209,-0.267452816985469,0.177125904673796,19.3893128490486,36.2676155674356,0.0824098716616273,0.131426996056596,67,75,1,5,63,62,64,66,0,1,0.984375,0.93939393939394,67,75,1,5,63,64,64,66,0,1,0.984375,0.96969696969697,63,62,95.7540501749191,0.444578721659266,ja,bravo,alpha,ブラボー,アルファ,ブラボーアルファ,宇宙飛行士
インスピレーション,691.720842851229,702.133045452546,-0.220898381811566,-0.14714233790472,22.9028880000757,16.9556631930915,0.0681271123349391,0.0507448806059752,77,71,1,1,70,66,71,66,1,0,0.985915492957746,1,78,71,0,1,57,66,72,66,0,0,0.791666666666667,1,70,66,10.4122026013168,0.0737560439068461,ja,inspire,inspiration,インスパイヤ,インスピレーション,インスパイヤインスピレーション,問題
ウェイトレス,678.147492551053,853.565518530752,-0.286852467834513,0.357579337522721,26.9090913594071,52.2850704806379,0.12105857354504,0.201275226082258,76,63,7,6,68,55,68,56,1,1,1,0.982142857142857,77,63,6,6,67,56,69,56,0,1,0.971014492753623,1,67,54,175.418025979699,0.644431805357234,ja,waiter,waitress,ウェイター,ウェイトレス,ウェイターウェイトレス,全体の
ウェブ,672.373763880977,860.495294380072,-0.241696548376827,0.351499832312661,18.3730962961451,29.8820234145575,0.0696863347180913,0.112073239153092,83,85,4,4,72,66,72,71,0,1,1,0.929577464788732,83,85,4,4,72,69,72,71,0,1,1,0.971830985915493,72,66,188.121530499096,0.593196380689488,ja,internet,web,インターネット,ウェブ,インターネットウェブ,唇
ウォッカ,607.212614030825,716.493203410888,-0.480753678793293,-0.075051316186327,23.3192214458102,17.79946003827,0.098562590272863,0.0768472308186869,73,68,0,5,57,60,58,61,0,0,0.982758620689655,0.983606557377049,72,67,1,6,56,41,57,61,1,0,0.982456140350877,0.672131147540984,57,59,109.280589380064,0.405702362606966,ja,whiskey,vodka,ウィスキー,ウォッカ,ウィスキーウォッカ,熟達者
ウサギ,626.965437494157,685.734483344445,-0.376022691353645,-0.263544976869009,18.4801768040909,24.0808369191849,0.0700968669490352,0.0769049816932132,98,69,6,5,80,60,81,60,1,0,0.987654320987654,1,98,69,6,5,75,57,81,60,1,0,0.925925925925926,0.95,80,60,58.769045850288,0.112477714484637,ja,fox,rabbit,狐,ウサギ,狐ウサギ,敵
エイチアイブイ,1537.29140385332,1572.68872222222,3.15414854312063,3.12962095627186,80.9729160361048,85.0052419911016,0.317242164527611,0.311319218894992,123,142,13,7,52,54,110,125,11,4,0.472727272727273,0.432,134,147,2,2,119,126,121,129,0,0,0.983471074380165,0.976744186046512,52,54,35.3973183689004,-0.0245275868487709,ja,aids,hiv,エイズ,エイチアイブイ,エイズエイチアイブイ,忍耐
