target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,ko_cue,ko_target,ko_word_combo,unrelated_ko_cue
가슴,526.781649111197,566.232473694811,-0.622314158562309,-0.536974988414414,17.9170290012885,21.1116921779043,0.0623257510264788,0.066160320565252,66,65,1,0,57,59,58,59,0,0,0.982758620689655,1,65,65,2,0,57,58,57,59,1,0,1,0.983050847457627,57,57,39.450824583614,0.0853391701478952,ko,stomach,chest,배,가슴,배가슴,관리하다
가을,483.477379316198,512.791842112488,-0.839477784323709,-0.696879286183822,15.2511547825934,19.3846415963393,0.0584801014674067,0.0723855279597136,64,67,4,2,58,57,58,57,1,0,1,1,64,67,4,2,56,55,58,57,1,0,0.96551724137931,0.964912280701754,58,57,29.3144627962908,0.142598498139887,ko,spring,autumn,봄,가을,봄가을,사람
가족,468.945982091411,577.520634602836,-0.852777581752074,-0.435734347796683,10.5328546682287,41.2792186709562,0.0394063720811273,0.131035999285162,70,56,3,2,56,52,56,52,1,0,1,1,70,56,3,2,55,51,56,52,1,0,0.982142857142857,0.980769230769231,56,52,108.574652511425,0.417043233955391,ko,clan,family,집안,가족,집안가족,공기
가지고 있다,605.900323540978,660.870203708494,-0.300193984283655,-0.00716800695685264,18.5934751399647,45.3920276363382,0.0566056821790378,0.126424358818441,80,58,5,3,69,54,70,54,2,1,0.985714285714286,1,80,59,5,2,66,53,70,55,2,0,0.942857142857143,0.963636363636364,68,54,54.9698801675156,0.293025977326803,ko,hold,keep,잡고있다,가지고 있다,잡고있다가지고 있다,관리
가치 없는,693.936474579963,720.890846156495,0.0672133260427562,0.392912491996649,37.8531888632714,50.3544534904392,0.231767187682365,0.248818633039269,79,60,3,2,59,53,60,53,0,0,0.983333333333333,1,78,60,4,2,56,52,59,53,1,0,0.949152542372881,0.981132075471698,59,52,26.9543715765315,0.325699165953893,ko,useless,worthless,쓸모없는,가치 없는,쓸모없는가치 없는,컵
가치 있는,585.931474584007,631.035169504189,-0.310901605205987,-0.151068722075774,32.9911756196754,20.0206916627099,0.18502795074448,0.0781737255198911,64,72,1,4,59,60,60,61,0,1,0.983333333333333,0.983606557377049,60,72,5,4,55,61,57,61,3,1,0.964912280701754,1,59,59,45.103694920182,0.159832883130214,ko,deserve,worthy,자격이 있는,가치 있는,자격이 있는가치 있는,축제
간,581.628125013132,572.805686285294,-0.394888316673603,-0.370150451486862,15.1997363991517,16.1905192583634,0.0505854592062202,0.0686652818895249,65,63,1,1,56,52,58,55,1,0,0.96551724137931,0.945454545454545,66,63,0,1,56,54,59,55,0,0,0.949152542372881,0.981818181818182,56,51,-8.82243872783772,0.0247378651867411,ko,kidney,liver,신장,간,신장간,드라마
감독,502.810849981219,545.157923092681,-0.724953347916091,-0.565231212301957,12.6026735417682,28.7064797868695,0.0495036550459666,0.0935996659851612,71,62,1,0,61,52,62,52,0,0,0.983870967741935,1,71,62,1,0,61,49,62,52,0,0,0.983870967741935,0.942307692307692,60,52,42.3470731114621,0.159722135614133,ko,producer,director,제작자,감독,제작자감독,태블릿
감사하다,530.331852427174,573.13914000992,-0.603231363968115,-0.462719528152182,13.4377671554338,16.8505023838037,0.0535855685804168,0.049974055352868,76,56,3,0,61,50,63,51,1,0,0.968253968253968,0.980392156862745,75,56,4,0,63,47,63,51,1,0,1,0.92156862745098,61,50,42.807287582746,0.140511835815933,ko,grateful,thank,고맙다,감사하다,고맙다감사하다,일몰
감옥,509.604592586426,555.72118181716,-0.577448579885274,-0.558986339099559,14.7280489328725,32.6780560138454,0.0605131870910778,0.112195143715014,65,62,2,2,54,55,54,55,0,1,1,1,65,62,2,2,52,54,54,55,0,1,0.962962962962963,0.981818181818182,54,55,46.1165892307336,0.0184622407857152,ko,cell,prison,유치장,감옥,유치장감옥,준비
감정,516.455906248017,620.576821448793,-0.589208906791354,-0.147221053643815,14.09011556956,40.89485311008,0.0473802915933031,0.203449967105619,78,64,0,4,64,56,64,58,0,0,1,0.96551724137931,77,63,1,5,63,56,64,57,0,1,0.984375,0.982456140350877,64,56,104.120915200776,0.441987853147539,ko,impression,feeling,인상,감정,인상감정,피크닉
감정을 상하게 하다,962.7731272768,940.421742269908,1.29982680434902,1.06118341197575,34.4074386925144,31.2183371488115,0.145539633960909,0.110653330634037,66,114,0,5,55,98,56,98,0,1,0.982142857142857,1,66,115,0,4,54,98,56,99,0,0,0.964285714285714,0.98989898989899,55,97,-22.3513850068923,-0.238643392373266,ko,insult,offend,모욕하다,감정을 상하게 하다,모욕하다감정을 상하게 하다,첫 번째
감정적 인,658.516580650043,1101.43837255174,-0.144151020562582,1.75470130956408,36.9373367097559,66.3206112758874,0.118379864797602,0.259694408756563,92,89,8,3,62,51,74,76,4,2,0.837837837837838,0.671052631578947,89,87,11,5,55,3,73,75,5,3,0.753424657534247,0.04,62,51,442.921791901697,1.89885233012666,ko,mental,emotional,정신적 인,감정적 인,정신적 인감정적 인,단다나게
감탄시키다,618.616851847549,739.213655169408,-0.263876643271593,0.302526364609232,26.5287996390716,41.0766679220728,0.0901163565435321,0.145708996044937,68,69,1,0,54,58,55,61,0,0,0.981818181818182,0.950819672131147,68,69,1,0,43,60,55,61,0,0,0.781818181818182,0.983606557377049,54,58,120.59680332186,0.566403007880825,ko,flatter,impress,아첨하다,감탄시키다,아첨하다감탄시키다,척추
갑옷,521.138928573741,631.556607858839,-0.648007950608515,-0.13540613223218,16.8602784010297,31.8046372985316,0.0564413123667564,0.151274862040687,65,62,1,1,56,52,56,53,1,0,1,0.981132075471698,65,62,1,1,55,50,56,52,1,1,0.982142857142857,0.961538461538462,56,51,110.417679285098,0.512601818376335,ko,shield,armor,방패,갑옷,방패갑옷,잔인한 것
갑판,648.299593205589,640.109096156402,-0.105435209903136,-0.138534437941593,33.7950549744907,20.3871507363463,0.106110549226178,0.0892214287803347,73,69,0,1,59,52,60,56,0,0,0.983333333333333,0.928571428571429,73,68,0,2,40,56,60,56,0,0,0.666666666666667,1,59,52,-8.19049704918655,-0.0330992280384575,ko,cabin,deck,선실,갑판,선실갑판,활동적인
강도,508.374216678967,592.673163643763,-0.71748995812533,-0.398795174829843,18.1359355658689,33.1059002054524,0.0737812476003835,0.114870100789322,70,60,3,3,61,55,61,56,0,0,1,0.982142857142857,69,59,4,4,59,54,61,55,0,1,0.967213114754098,0.981818181818182,60,55,84.2989469647958,0.318694783295487,ko,theft,robbery,절도,강도,절도강도,무게
강의,531.372214265466,590.060923080496,-0.620862983844076,-0.418017744560497,17.6149270495363,35.3388768012656,0.0738488223687945,0.0608498250695548,70,65,5,1,56,52,56,54,2,0,1,0.962962962962963,70,65,5,1,55,44,56,54,2,0,0.982142857142857,0.814814814814815,56,52,58.6887088150306,0.202845239283579,ko,seminar,lecture,세미나,강의,세미나강의,초자연의
강철,577.94605356942,569.261153836765,-0.526130924215881,-0.453247224395354,22.8677314129583,17.357037539519,0.0714078912343733,0.0716976331409375,69,61,5,3,56,52,57,53,1,0,0.982456140350877,0.981132075471698,69,61,5,3,55,53,57,53,1,0,0.964912280701754,1,56,52,-8.6848997326548,0.0728836998205268,ko,concrete,steel,콘크리트,강철,콘크리트강철,연습
강하게,762.535087729932,532.05367307096,0.194097948956667,-0.442839173681469,55.4621426402662,16.0162396259804,0.191853373036129,0.0745932862004452,72,65,5,5,57,52,59,52,3,0,0.966101694915254,1,72,68,5,2,1,41,58,52,4,0,0.0172413793103448,0.788461538461538,57,52,-230.481414658972,-0.636937122638136,ko,firmly,strongly,단다나게,강하게,단다나게강하게,부검
개미,538.822462977342,503.986703692416,-0.518488574548522,-0.68683820424544,20.8989802338343,12.1606816458701,0.0899337083677808,0.0422137683157099,64,62,0,2,54,54,54,55,0,0,1,0.981818181818182,63,62,1,2,53,52,54,55,0,0,0.981481481481482,0.945454545454545,54,54,-34.8357592849256,-0.168349629696918,ko,bee,ant,벌,개미,벌개미,좋은
개발,560.388791669172,584.536249973547,-0.545669552338893,-0.407532470762997,15.1066380197757,22.6695885347604,0.0597420112592137,0.0694919781567192,120,83,1,7,97,72,97,75,0,2,1,0.96,118,84,3,6,89,73,96,75,1,2,0.927083333333333,0.973333333333333,96,72,24.1474583043749,0.138137081575896,ko,progress,development,진전,개발,진전개발,쉬다
개선,567.304000004467,620.11790742065,-0.507281376898998,-0.200327528052733,22.6243662372569,24.8822702531214,0.0724403475595782,0.089607675204321,72,62,1,4,59,55,61,56,0,0,0.967213114754098,0.982142857142857,73,62,0,4,61,55,61,56,0,0,1,0.982142857142857,56,54,52.8139074161832,0.306953848846264,ko,change,improvement,변화,개선,변화개선,경비원
개인,545.778870347294,569.629822600171,-0.524034425499235,-0.480343136910543,32.4090675266236,29.4646304042427,0.12427414045521,0.085005769668989,57,76,0,5,54,62,54,62,0,0,1,1,57,76,0,5,54,61,54,62,0,0,1,0.983870967741935,54,62,23.850952252877,0.0436912885886913,ko,person,individual,사람,개인,사람개인,역겨운
거대한,533.970923088334,547.075803577006,-0.655920261843792,-0.519075787222891,15.9633510244402,13.8016396527055,0.0511768845674219,0.0473402001719874,99,64,5,1,78,57,79,57,1,0,0.987341772151899,1,98,64,6,1,75,54,79,57,1,0,0.949367088607595,0.947368421052632,78,56,13.1048804886721,0.136844474620901,ko,big,huge,큰,거대한,큰거대한,열다
거리,531.170137931232,559.408599998333,-0.591727792201208,-0.414172737193599,15.2920385923022,25.2363367536223,0.0781753512409621,0.0890139984132593,69,57,4,3,58,50,58,51,1,1,1,0.980392156862745,69,57,4,3,56,50,58,51,1,1,0.96551724137931,0.980392156862745,58,50,28.2384620671006,0.177555055007609,ko,avenue,street,길,거리,길거리,작동하다
거만,681.891257574016,687.493509434468,-0.0916690269244468,0.0823964415482427,30.659256460838,33.4735337915528,0.0960667894157747,0.117637072616816,86,74,1,2,66,53,68,62,0,1,0.970588235294118,0.854838709677419,86,74,1,2,67,62,68,62,0,1,0.985294117647059,1,66,53,5.60225186045261,0.17406546847269,ko,ignorance,arrogance,무지함,거만,무지함거만,사전
거북이,512.138089306343,628.914285688936,-0.678158219132492,-0.305470036022538,11.3466250942771,43.9712177953382,0.0448693959548226,0.0949147500265011,64,62,3,1,57,56,58,58,0,0,0.982758620689655,0.96551724137931,64,62,3,1,58,55,58,58,0,0,1,0.948275862068966,56,56,116.776196382593,0.372688183109954,ko,snail,turtle,달팽이,거북이,달팽이거북이,진행
거울,515.702719268463,554.575482142626,-0.568621756565092,-0.557601482699008,13.545375142053,22.6939391934933,0.0568932668188546,0.0672049064131622,74,63,3,1,57,56,58,57,0,1,0.982758620689655,0.982456140350877,73,63,4,1,54,55,58,57,0,1,0.931034482758621,0.964912280701754,57,56,38.8727628741632,0.0110202738660838,ko,reflection,mirror,반사,거울,반사거울,더하기
거짓,518.491884602651,663.568462966577,-0.569241577277257,-0.153474138047805,29.3228497211815,32.3394757416704,0.129938021800367,0.0992526640689248,65,67,1,0,52,54,53,54,0,0,0.981132075471698,1,65,66,1,1,51,53,53,53,0,1,0.962264150943396,1,52,54,145.076578363926,0.415767439229452,ko,fake,false,가짜,거짓,가짜거짓,월요일
거짓말 쟁이,734.610036356698,767.145448276743,0.32965699149978,0.293668692113608,51.7323284478469,34.059009872692,0.201072757517119,0.114815154453558,67,73,3,6,55,58,60,62,1,1,0.916666666666667,0.935483870967742,67,72,3,7,59,61,60,62,1,1,0.983333333333333,0.983870967741935,55,58,32.5354119200454,-0.0359882993861717,ko,lie,liar,거짓말하다,거짓말 쟁이,거짓말하다거짓말 쟁이,출구
걱정하다,522.375741392447,583.369685175415,-0.66213533144921,-0.419348403005852,13.9159852846173,34.9113221897435,0.0454028322923692,0.140988863666909,69,61,2,1,59,54,59,55,1,0,1,0.981818181818182,68,61,3,1,56,53,59,55,1,0,0.949152542372881,0.963636363636364,58,54,60.9939437829686,0.242786928443359,ko,concern,worry,염려,걱정하다,염려걱정하다,셔츠
건물,557.8276964292,527.717526334243,-0.416286612107529,-0.602268736852221,24.9315435341215,17.4796187898258,0.124257569131575,0.0764880222334547,66,70,3,1,56,58,56,58,0,1,1,1,67,70,2,1,50,57,56,58,0,1,0.892857142857143,0.982758620689655,56,57,-30.1101700949574,-0.185982124744692,ko,tower,building,탑,건물,탑건물,따뜻한
건축가,604.41384482881,584.637096189634,-0.166116773538513,-0.391011219370777,52.9147201861755,17.6616824675433,0.275550314469965,0.0554785551827052,66,63,0,1,58,52,58,53,0,0,1,0.981132075471698,63,62,3,2,54,52,55,52,3,1,0.981818181818182,1,58,52,-19.7767486391762,-0.224894445832265,ko,engineer,architect,엔지니어,건축가,엔지니어건축가,액체
걷다,575.538537042933,563.405574073901,-0.396862037372952,-0.467569644272758,29.5027729014436,17.7901370926976,0.144768655036749,0.0493406620352058,65,67,5,0,54,55,55,55,0,0,0.981818181818182,1,66,67,4,0,51,55,55,55,0,0,0.927272727272727,1,54,54,-12.1329629690321,-0.0707076068998058,ko,run,walk,달리다,걷다,달리다걷다,가능성
검사,546.820703715245,514.176018845056,-0.535799253468466,-0.621986583857017,23.7590224081337,14.4993116152759,0.104948061849093,0.0487147536496881,63,67,5,3,54,53,54,53,1,0,1,1,64,66,4,4,53,51,55,53,0,0,0.963636363636364,0.962264150943396,54,53,-32.6446848701894,-0.086187330388551,ko,lawyer,prosecutor,변호사,검사,변호사검사,비단
검사,546.820703715245,514.176018845056,-0.535799253468466,-0.621986583857017,23.7590224081337,14.4993116152759,0.104948061849093,0.0487147536496881,63,67,5,3,54,53,54,53,1,0,1,1,64,66,4,4,53,51,55,53,0,0,0.963636363636364,0.962264150943396,54,53,-32.6446848701894,-0.086187330388551,ko,lawyer,prosecutor,변호사,검사,변호사검사,군중
검사.1,,545.022654549119,,-0.566726931381879,,21.0612544854003,,0.092775768740789,,62,,5,,55,,56,,2,,0.982142857142857,,62,,5,,52,,56,,2,,0.928571428571429,,55,,,ko,,,,,,
검은 색,573.441653838528,773.47236364123,-0.407393755287324,0.45993386950575,24.3616063363133,37.9455092857557,0.0828100504312439,0.16285263728243,61,63,0,2,52,55,53,58,0,1,0.981132075471698,0.948275862068966,61,63,0,2,51,2,53,59,0,0,0.962264150943396,0.0338983050847458,52,55,200.030709802701,0.867327624793074,ko,white,black,하얀색,검은 색,하얀색검은 색,첩죄
검증,596.368792456545,593.310879129349,-0.351731366240694,-0.372389018965594,25.9159605014812,22.2460043079169,0.0898034272228381,0.0763230136504219,59,120,2,5,53,91,55,92,1,0,0.963636363636364,0.989130434782609,59,121,2,4,55,90,55,92,1,0,1,0.978260869565217,53,91,-3.05791332719593,-0.0206576527248997,ko,check,verify,확인하다,검증,확인하다검증,집안
게이,580.30122221168,817.772537033777,-0.264284730153204,0.530873189151111,20.0621115782519,38.0002049416177,0.111317144037731,0.134543072758398,61,88,1,7,54,54,56,72,0,1,0.964285714285714,0.75,61,86,1,9,53,67,56,71,0,2,0.946428571428571,0.943661971830986,54,54,237.471314822096,0.795157919304315,ko,lesbian,gay,레즈비언,게이,레즈비언게이,호위
게임,649.830116666227,524.15653703977,-0.104280433976692,-0.588332340282871,41.1092061497283,18.4863122289766,0.147857447680271,0.0784796793531118,66,65,1,3,60,54,61,54,0,2,0.983606557377049,1,65,65,2,3,25,53,60,54,1,2,0.416666666666667,0.981481481481482,60,54,-125.673579626457,-0.48405190630618,ko,play,game,눌다,게임,눌다게임,입맞춤
겨울,462.327480738029,530.526024688977,-0.915692038463141,-0.658307743230368,15.0536891868063,19.0043647170546,0.0581341009530347,0.0724236670422736,68,96,0,5,52,81,52,81,0,0,1,1,68,97,0,4,52,80,52,81,0,0,1,0.987654320987654,52,81,68.1985439509488,0.257384295232773,ko,summer,winter,여름,겨울,여름겨울,동기
격노,644.84084747172,607.826169805957,-0.09627229136028,-0.249169937436857,16.548794807768,15.4810803997262,0.0718336748519656,0.0641756372109956,71,63,4,1,59,54,60,56,0,0,0.983333333333333,0.964285714285714,71,63,4,1,57,56,60,56,0,0,0.95,1,59,53,-37.0146776657631,-0.152897646076577,ko,anger,rage,화,격노,화격노,바나나
결과,523.133581827442,624.146980768113,-0.574278703675462,-0.290459984352955,16.6589353854007,42.9623082492269,0.0540980290596482,0.13739081748522,58,61,3,2,55,52,56,53,1,0,0.982142857142857,0.981132075471698,59,61,2,2,53,53,57,53,0,0,0.929824561403509,1,55,52,101.013398940671,0.283818719322507,ko,result,outcome,성과,결과,성과결과,가짜
결국,497.057982448364,512.351419987982,-0.637187701300615,-0.604517835275629,14.8013006068648,13.4776476832438,0.0815142774835581,0.0572953991599744,71,67,2,2,57,50,58,52,1,0,0.982758620689655,0.961538461538462,71,67,2,2,58,51,58,52,1,0,1,0.980769230769231,57,50,15.2934375396177,0.0326698660249858,ko,finally,eventually,드디어,결국,드디어결국,인정하다
결석,614.452018540866,571.166901956592,-0.248166965088743,-0.461370145830093,21.8523104350828,25.7146615468149,0.123031661417486,0.0801772677191718,68,63,0,4,54,52,54,52,0,4,1,1,68,63,0,4,54,52,54,52,0,4,1,1,54,51,-43.2851165842737,-0.21320318074135,ko,presence,absence,참석,결석,참석결석,멋진
결심,564.776600001555,550.927942324969,-0.498574767754325,-0.562454454396209,22.1033924328123,21.9229473119891,0.0931369001620188,0.0778463946834161,63,55,3,2,55,52,55,52,0,0,1,1,63,54,3,3,52,48,55,51,0,1,0.945454545454545,0.941176470588235,55,52,-13.8486576765853,-0.0638796866418845,ko,courage,determination,용기,결심,용기결심,구석
결혼,591.773150937707,534.989981152097,-0.420545187097159,-0.568289520968337,28.5893026957061,15.3430714330431,0.102138959743465,0.0648146720265717,76,58,3,2,53,54,55,54,1,0,0.963636363636364,1,75,58,4,2,53,51,53,54,3,0,1,0.944444444444444,53,53,-56.7831697856101,-0.147744333871178,ko,divorce,marriage,이혼,결혼,이혼결혼,단위
경기,525.741620667891,551.477207555213,-0.57459108571232,-0.566955706703167,18.7738216376625,19.0257845864564,0.0791663585030731,0.0702065316663762,67,62,1,4,58,54,58,54,0,1,1,1,66,63,2,3,54,53,58,54,0,1,0.931034482758621,0.981481481481482,58,53,25.7355868873223,0.00763537900915334,ko,tournament,match,시합,경기,시합경기,의지할 곳이 없는
경보,519.693454562218,630.661327596901,-0.569648785784951,-0.162106693121394,11.3553963975598,44.0479213598872,0.0505109004496845,0.149574980374798,68,64,5,1,55,58,55,59,2,0,1,0.983050847457627,72,64,1,1,56,57,57,59,0,0,0.982456140350877,0.966101694915254,55,58,110.967873034683,0.407542092663557,ko,alert,alarm,알림,경보,알림경보,무지함
경제적인,629.6896379258,640.488207554114,-0.237596601291996,-0.167839251152269,18.7547824785927,20.0892818692114,0.0554058554153138,0.0759964567165648,72,57,4,2,58,53,59,54,1,0,0.983050847457627,0.981481481481482,74,55,2,4,57,17,60,53,0,1,0.95,0.320754716981132,58,53,10.798569628314,0.069757350139727,ko,banking,financial,은행업,경제적인,은행업경제적인,시저
경주,532.634838687936,573.152301881186,-0.657709373672455,-0.40829522643525,21.3013584592652,16.8505402940619,0.078558442036919,0.0824106367507735,68,59,4,1,62,53,63,53,2,0,0.984126984126984,1,64,59,8,1,59,50,59,53,6,0,1,0.943396226415094,62,53,40.5174631932492,0.249414147237205,ko,marathon,race,마라톤,경주,마라톤경주,벌하다
계란,583.885679248426,545.146054535623,-0.392290064384542,-0.52407175846182,36.1600724118072,30.1773787038276,0.146695402110774,0.132967516712231,61,60,4,4,53,55,53,55,0,2,1,1,61,58,4,6,44,53,53,53,0,4,0.830188679245283,1,53,55,-38.7396247128033,-0.131781694077278,ko,nest,egg,둥지,계란,둥지계란,단계
계산하다,547.535649133165,617.684618169551,-0.502412632588758,-0.235145533035097,14.3438080435624,54.8734607700324,0.050562392169081,0.178846535583437,71,68,5,1,57,55,58,55,1,0,0.982758620689655,1,72,67,4,2,57,54,59,54,0,1,0.966101694915254,1,57,55,70.1489690363858,0.267267099553662,ko,count,calculate,세다,계산하다,세다계산하다,꿀
계속하다,485.455561396361,568.625249996908,-0.801183092637663,-0.391959879156455,10.3087322439036,25.5656296238554,0.0418057619353287,0.114809844606002,68,62,0,2,57,57,57,57,0,0,1,1,67,62,1,2,57,48,57,57,0,0,1,0.842105263157895,57,56,83.1696886005471,0.409223213481208,ko,proceed,continue,진행하다,계속하다,진행하다계속하다,내각
계획,503.893169797307,567.62729629344,-0.673639350347026,-0.427991345495543,15.121555355429,26.1819042363266,0.0509360032705361,0.0751083686758826,72,62,4,4,53,54,54,56,0,1,0.981481481481482,0.964285714285714,72,61,4,5,54,16,54,55,0,2,1,0.290909090909091,53,54,63.7341264961326,0.245648004851483,ko,preparation,planning,준비,계획,준비계획,주 장관
고객,476.244428557102,527.799179999083,-0.754549653859514,-0.604354306961381,12.4743584682637,18.5599030124246,0.0421256268371954,0.0593325578731537,70,57,2,0,56,50,56,50,0,0,1,1,70,57,2,0,56,47,56,50,0,0,1,0.94,56,50,51.5547514419814,0.150195346898133,ko,patient,client,환자,고객,환자고객,진흙
고기,529.735355938881,529.112999999361,-0.635619512529526,-0.632754965725807,22.8717397561802,17.7278946943232,0.0639137531407573,0.0671066919688844,72,68,5,2,60,54,60,58,0,1,1,0.931034482758621,70,69,7,1,57,44,58,59,2,0,0.982758620689655,0.745762711864407,59,54,-0.622355939520276,0.00286454680371917,ko,pork,meat,돼지 고기,고기,돼지 고기고기,세미나
고르다,579.621166656913,638.866442263435,-0.39960987677153,-0.0987718424981185,22.2017443454789,36.1242888943237,0.0758941434845804,0.19243847194427,61,64,5,1,54,52,55,54,0,0,0.981818181818182,0.962962962962963,61,63,5,2,54,49,55,53,0,1,0.981818181818182,0.924528301886792,54,52,59.245275606522,0.300838034273411,ko,choose,select,선택하다,고르다,선택하다고르다,전보
고릴라,581.838966661584,572.170074066576,-0.420248609499484,-0.399799577149707,22.0667252038647,15.8072735181835,0.0949419272691896,0.063805060168057,66,70,4,1,60,54,61,55,1,0,0.983606557377049,0.981818181818182,66,70,4,1,60,55,61,55,1,0,0.983606557377049,1,60,54,-9.66889259500726,0.0204490323497767,ko,monkey,gorilla,원숭이,고릴라,원숭이고릴라,설명
고마움,521.770910699536,535.327637910494,-0.666443324465022,-0.623110569811677,34.9077069224,20.5571689562522,0.0913273710099488,0.0757879246831164,62,68,2,6,56,58,56,59,1,3,1,0.983050847457627,62,69,2,5,54,59,56,60,1,2,0.964285714285714,0.983333333333333,56,58,13.556727210958,0.0433327546533447,ko,hospitality,gratitude,환대,고마움,환대고마움,결론
